start	end	text
0	13000	They want to show you, I understand everything, I understand English, I understand how to drink wine, I understand how to eat food, it's shit, it's bullshit, you never know, we just tell you the truth, I don't know, that's bad, right?
13000	20000	You are go to China, you don't know how to use chopstick, you can use, you can compare with me?
20000	21000	I can't compare with you.
21000	22000	That's why, yeah.
22000	23000	You are a liar.
23000	25000	You are a liar.
27000	28000	You liar.
29000	31000	The guy is crazy.
31000	34000	They are, he told my friend, it's the BBC.
34000	37000	He said yesterday we got a big problem.
37000	39000	So now it's a place to our research.
43000	47000	Gentlemen, did we love that flowers while we are waiting for the next course?
47000	55000	We have some flower options if you'd like to select your options for the cocktail tables and for dinner tables.
55000	56000	So you have three options for each.
56000	59000	So if you select which one you like the best, we'll order those.
59000	62000	All the girls, all the girls, we all try.
64000	67000	So when you don't understand, don't pretend to understand.
67000	70000	Just like me, I really eat steak like Mr. He.
70000	71000	Right?
71000	73000	Mr. He knows English, right?
74000	77000	人家翻译走了,我来给他问外国英文好.
77000	79000	他以为天的江泽民办公室干活的.
79000	81000	This one, this one, this one, this one.
81000	82000	This one完了.
82000	86000	一会儿就像这饺儿一样,我站在那饺儿里,我说咋回事啊?
86000	93000	一个汤,一个更大的汤,一个更大的汤,一样来了四个汤.
95000	97000	每个人四个汤,你都能喝死,你知道吗?
97000	99000	那美国的汤,能喝死人,你知道吗?
99000	102000	然后来牛肉,6盎司,8盎司.
103000	108000	12盎司,哇塞,12盎司这么大,这么大啊,12盎司啊.
108000	112000	我说人家为啥厨师出来笑我,是吧?
112000	113000	真的是把我们吃成牛了.
113000	116000	然后他还在那边真的是询问这人.
116000	117000	This one, this one.
117000	120000	四个汤,三个牛肉,十四个牛肉.
120000	123000	点了好几个土豆啊.
123000	125000	你不懂就不懂就完了.
125000	128000	This one, this one, yeah, yeah, yeah.
128000	132000	这个世界上最可悲的就是不懂装秋冬,最可怕的.
132000	136000	做错了,我做错了就很正常,没有人是永远正确的.
136000	144000	什么叫永远正确的打,和永远正确的领袖,纯扯王八毒子,都是骗子.
144000	148000	没有任何人是永远正确的,没有任何人懂天下的一切.
153000	155000	我不知道他讲什么英文.
156000	158000	他们不懂啊?
159000	161000	你真以为我不知道?
162000	166000	我是李克强知道吗?开玩笑。
166000	169000	李克强就是人家一耍菜,这什么菜是吧?
169000	172000	还加什么了是吧?我说我求求他。
172000	176000	这李克强在餐桌上,简直是疯了。
176000	178000	我现在搞酒店的人都没有他懂。
180000	183000	但是第二个我就在餐桌上讲的是礼貌。
