start	end	text
0	9760	2020年1月15號 尊敬的戰友們好 你們健身了嗎?
9760	13760	川普CCP病毒香港危機真相了嗎?
13760	14760	Yeah!
14760	17760	哈哈 氣永是爆出一下
17760	22000	兄弟姐妹們 這都2020年1月15號了
22000	26000	時間吶 是一切的力量啊
26000	30000	兄弟姐妹們 這個世界上最昂貴的
30000	34000	最要珍惜的 最難安排的就是時間
34000	37000	我就難免這個世界上為什麼會有無聊這個詞兒
37000	39000	多少時間都不夠用的
39000	43000	七哥幾忙活萬忙活趕著12點前趕快大家報個平安
43000	47000	兄弟姐妹們 過去這幾天你們發現了什麼?
47000	53000	就這幾天 從1月6號到1月20號之間
53000	57000	蓬佩奧國務卿和美國政府部門和川普總統
57000	62000	採取的對滅共的行動 還有真正的措施
62000	66000	是過去70年的 70年的核
67000	71000	所以說 兄弟姐妹們一定要看到這個本質
71000	77000	這個美國這個國家呀 就像珍珠島被襲擊一樣
77000	80000	包括二戰一樣 它不打疼不流血 它不行動的
80000	84000	它是個資本主義型 自私型的國家
84000	89000	這個國家已經真的是遠離了上帝和他的信仰
89000	96000	遠離了他的粗衝 這個真是民主法治已經遠離了
96000	99000	包括信奉上帝 trust by God
99000	102000	這個就是說 這次讓他疼了
102000	106000	所以說 1月6號到1月20號是
106000	111000	這是新中國聯邦和所有中國人最大的受益者
112000	116000	任何一個美國總統不可能隨隨便便的
116000	120000	把一個總統和美國政府、前屆政府下達的命令隨便推翻
120000	122000	這不可能的
122000	126000	這真是 這就像一個人端上來一盤
126000	131000	廚師端上來了一盆燉鍋、酸菜
131000	135000	你想把它放回去 回到原來被燉熟之前
135000	137000	那是錢 那是不可能的
137000	141000	你要把這個燉鍋給砸了、給扣了 那是另外一回事
141000	144000	砸了扣了你要負責任的 你沒人給你付錢
144000	149000	所以說把你這個整個做熟的牛排放在這兒了
149000	152000	你可以吃不吃這個牛肉已經做熟了
152000	156000	所以共產黨已經是成了美國餐桌上的大餐
156000	159000	至於美國人你吃不吃 那是你的事
160000	165000	共產黨已經充了美國的牛排了
165000	168000	已經燉成火鍋了
168000	171000	你說不現在那些企業什麼小米啊
171000	174000	這幾天最重要的事情
174000	178000	我希望他最後一分鐘要把這幾個金融集團全給他燴了
178000	180000	也燉到鍋裡面去
180000	184000	缺那一把鹽 缺那一把鹽 還缺一把辣椒
184000	188000	所以兄弟姐妹們 這幫孫子們
188000	194000	他們對中國人民的敲詐 喝血吸髓了70年
194000	197000	他們在海外的錢還沒查呢
197000	200000	海外的錢還沒給他封呢
200000	203000	還有他的金融機構還沒打呢
203000	206000	百度 微信 是不是
206000	209000	阿里巴巴這仨結構還沒弄呢
