start	end	text
0	9760	2020年1月15号 尊敬的战友们好 你们健身了吗?
9760	13760	川普CCP病毒香港危机真相了吗?
13760	14760	Yeah!
14760	17760	哈哈 气永是爆出一下
17760	22000	兄弟姐妹们 这都2020年1月15号了
22000	26000	时间呐 是一切的力量啊
26000	30000	兄弟姐妹们 这个世界上最昂贵的
30000	34000	最要珍惜的 最难安排的就是时间
34000	37000	我就难免这个世界上为什么会有无聊这个词儿
37000	39000	多少时间都不够用的
39000	43000	七哥几忙活万忙活赶著12点前赶快大家报个平安
43000	47000	兄弟姐妹们 过去这几天你们发现了什么?
47000	53000	就这几天 从1月6号到1月20号之间
53000	57000	蓬佩奥国务卿和美国政府部门和川普总统
57000	62000	采取的对灭共的行动 还有真正的措施
62000	66000	是过去70年的 70年的核
67000	71000	所以说 兄弟姐妹们一定要看到这个本质
71000	77000	这个美国这个国家呀 就像珍珠岛被袭击一样
77000	80000	包括二战一样 它不打疼不流血 它不行动的
80000	84000	它是个资本主义型 自私型的国家
84000	89000	这个国家已经真的是远离了上帝和他的信仰
89000	96000	远离了他的粗冲 这个真是民主法治已经远离了
96000	99000	包括信奉上帝 trust by God
99000	102000	这个就是说 这次让他疼了
102000	106000	所以说 1月6号到1月20号是
106000	111000	这是新中国联邦和所有中国人最大的受益者
112000	116000	任何一个美国总统不可能随随便便的
116000	120000	把一个总统和美国政府、前届政府下达的命令随便推翻
120000	122000	这不可能的
122000	126000	这真是 这就像一个人端上来一盘
126000	131000	厨师端上来了一盆炖锅、酸菜
131000	135000	你想把它放回去 回到原来被炖熟之前
135000	137000	那是钱 那是不可能的
137000	141000	你要把这个炖锅给砸了、给扣了 那是另外一回事
141000	144000	砸了扣了你要负责任的 你没人给你付钱
144000	149000	所以说把你这个整个做熟的牛排放在这儿了
149000	152000	你可以吃不吃这个牛肉已经做熟了
152000	156000	所以共产党已经是成了美国餐桌上的大餐
156000	159000	至于美国人你吃不吃 那是你的事
160000	165000	共产党已经充了美国的牛排了
