- 兄弟姐妹们 大家好 大家好
- This is 1984 Newspeak
- Yes, New Thought
- New Thought, New Thought
- 兄弟姐妹们 大家好
- 今天下午 今天7月4号下午
- 有我和小王子班农先生再次回到了GTV和大家直播
- 那么今天同样是阳光明媚
- 这个纽约一派 阳光明媚的绿色盈盈
- 后面的景观实在是太漂亮了
- 然后在我们后面就是川普的大楼
- 还有时代华纳
- 还有原CNN中心
- 是美国的纽约的唯一这个叫Columbus Eagle的地方
- 今天上午呢 我们就在这个新的Gantt办公室直播
- 和班农先生和小王子
- 小王子的翻译今天上午成了亮点
- 从早上到现在 所有人 国内的朋友都发了信息
- 深夜 国内的深夜
- 小王子如何的帅 英文如何的好
- 这个是得到了一片战意
- 这就是新中国联邦人
- 就像Q妹被访谈中说出发自内心的话
- 当你再加入新中国联邦以后
- 你的努力和你的优点会得到应有的尊重和上升的机会
- 而共产党是拼拉底线 忽害忽伤
- 让所有的最坏的人和最低的人走到前线去
- 而且你越都拼拉底线 而永远没有公平的机会
- 那么今天我们在这里的班农先生
- 从早上六点多钟班农先生起床到现在
- 他从来没离开这个办公室
- 傑森·米伦特他们所有这些人
- 美国的朋友这里没有人离开办公室
- 我回去 我刚才回去就简单的运动一下子
- 换了一些 换上了休闲装
- 因为我还有另外一个视频会议
- 所以说这就是今天早上现在发生了很多事情
- 我们现在有的班农先生 我们说一说
- 有一会儿班农先生说 从早上到现在我们直播完以后
- 都发生了什么样的事情
- 在盖特 还有国际社会 投资领域 社交媒体领域
- 还有我们被黑客以后发现什么事情
- 我们说一下 请这个小王子先给班农先生翻译一下
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生说
- 班农先生
说我们有一些bugs,有一些漏洞,有一些技术的问题,
然后可能导致有些用户上注册我们平台的时候,
可能会速度比较慢一些,但是他说这是非常正常的。
因为有大量的用户,新用户融入了我们的平台。
然后他说,虽然说有很多黑客,他想要黑客我们的这个平台,
但都是正常的,因为他证明了整个共产党以及这个科技寡头巨头们,
他们对我们整个盖特新平台的他们的害怕。
然后班农先生再次称赞了整个我们盖特平台的所有的员工,
尤其是工程师团队,说他们非常非常的优秀。
然后第三个,班农先生说,我们现在的盖特在整个社交媒体,
在苹果商店的社交媒体排名是第三,
然后在整个社交,所有的免费软件在苹果商店的排名是第十,
