start	end	text
0	23000	四月二十九號 兄弟姐妹們 今天沒開庭 昨天取消了
23320	27600	取消了開庭 所以說今天很閒吶
29320	32400	很閒吶 但是七哥很忙
33680	37320	共產黨知道最近七哥很忙 他很害怕
37800	42120	記七哥昨天說天津市長廖國勳被做掉以後
42120	45920	國內大爆 大家又說什麼栗戰書
45920	48920	什麼栗戰書舊部 什麼廖國勳 胡扯
49520	52360	等七哥跟你們揭謎底 他被做掉了
52960	56160	這個 幾周以前七哥就說了
56160	59040	為啥七哥知道幾周以前才被做掉呢
59040	65360	我這臉有點胖 像豬頭似的臉 胖了一公斤多呀
66920	70720	不過中晚睡個特別特別好的覺 好舒服啊
71200	74920	你看著今天的陽光明媚 等七哥到時候跟你們說
75440	80680	然後呢 今天早晨的時候 也就是說兩點到四點的時候
80720	84480	國內發生了一系列的事情 北京又抓捕了幾個人
85600	91320	遠鐵道部的 海關的 特別是人民銀行的
91640	94040	還有王岐山那幾個哥們兒 又抓了一批
94480	96800	又涉及海航的 海南又抓了一批
97080	101320	就是今天咱們早上 大陸的兩點到四點 抓了一批
102920	106160	這不是政治鬥爭 很多老說政治鬥爭
106360	112120	這是叫政治運動 有共產黨的一天起 它就沒停過
113000	115000	對吧 這是基本的常識 是吧
115560	118760	我拿倆鐵箱 我以為拿倆槍呢
121120	124560	這是一個 第二個兄弟姐妹們 要看到這幾天的經濟
125320	128640	經濟在走向何方 經濟在走向何方
129440	133640	頭兩天我要爆一個經濟的料 中國的核心的秘密
133680	137320	結果我的兩個手機 全都 完了 被嗨了
138240	142240	WhatsApp都停止使用了 還好啊 還好
142520	145360	這個世界還擋不住七哥 它越黑我的時候
145360	147080	我知道它們就是越害怕的時候
147440	149440	也就是咱們爆料革命最有價值的時候
149840	153720	這個經濟數據我告訴大家什麼情況 基本的常識
154640	158400	今年共產黨所謂的 剛剛要搞的所謂的經濟
158760	163880	激勵計劃 內循環經濟 所謂的再大搞基礎設施
164040	168400	要搞五萬億 這要五萬億 說封頂六萬億
168520	173000	五萬億到六萬億之間 要比2008年四萬億激勵還厲害
173880	177560	這不是給人吃尾哥了 這不是給人吃尾哥了
177680	182080	這是給人吃毒藥 但是這個經濟的背後是什麼呢
182560	184600	兄弟姐妹們 很多人沒看明白
184640	189120	都是那些經濟專家們 一個窮光蛋們在那兒瞎去扯 胡編亂造
190040	194280	核心的問題是中國的所有金融系統真的撐不住了
195520	199560	就是人家存一百萬 讓人家取一萬都取不出來
205320	211120	就這 不但如此 政府的開支 各省的開支都開不出來了
212120	214520	基本的現在又大搞軍費
215400	220440	這軍費現在有項目 有軍人 沒法開支 怎麼辦呢
222320	226600	不是你說你運鈔票就能解決的 經濟完了
227200	232800	現在就想盡一切辦法 一切辦法再搞所謂的內循環經濟
234240	239240	西閣要爆的事情就是香港的港交所出了多大醜聞
240120	247280	現在香港的所謂的 各方在全世界的外債 貸款很可能爆大雷
