start	end	text
1000	7000	乖乖啊 乖乖啊 兄弟姐妹啊 31号了 31号了
7000	10000	5月31号 尊敬的战友们好啊
10000	16000	哎呀 我是刚刚就睡醒的时候 在3点钟跟某个人通电话
16000	19000	某个人 某个人 亚洲的
19000	22000	然后呢 这个醒来的时候发信息 这个说
22000	26000	哎 Miles 你还给我打不赖 我就打过去了
26000	30000	原来在国内也是个相当牛的人 相当牛的人
30000	34000	现在到这个海外来了 跟了我们爆料革命一年了
34000	37000	昨天 各种的说法吧
37000	41000	希望他能够劝说几个他熟悉的人 是不是啊
41000	44000	弃暗投明 加入爆料革命
45000	47000	今天给我再回个信书
47000	51000	文贵 我经过激烈的心理斗争
52000	55000	经过了我各方面的慎重考虑
55000	57000	我不怕共产党了
58000	61000	我说就这么大事了啊 我说好 恭喜你
61000	63000	我不怕共产党
63000	66000	哎呀 我的 您忘了 真没法弄
66000	69000	有些人他天生就是懦夫
69000	72000	天生这骨子里就不带着勇气
72000	75000	自来带不带勇气
75000	78000	还有些人他天生就带着自私
78000	82000	而且天生有人 他就是奴才 没办法
84000	86000	说完以后我告诉他 不说了
86000	88000	只要是我说了算
88000	92000	只要我说了算 永远不会让你加入到共产党
93000	96000	从此 拉倒
96000	98000	为什么呢
98000	103000	他那骨子里边 他是经过利益取舍
103000	107000	权衡之后 手鼠两端
107000	110000	手鼠两端 最后才做这个决定
110000	114000	这一旦条件平衡的时候就成敌人了
114000	117000	是吧 就这么简单 对我兄弟姐妹们
117000	119000	这常识当然就有的吧
119000	121000	另外 再看了这几天
121000	125000	这个是前天的时候 我给咱们几个战友说
125000	127000	我说英国
127000	131000	包括我给英国的很多咱们的特殊的战友说
131000	135000	我说一定要记住 英首相一定唱反调
135000	137000	英首相唱反调了吧
137000	140000	为啥 战友们知道吗
140000	143000	英首相不唱反调
143000	145000	不唱这个反调
145000	148000	就说明共产党的蓝金黄力量还不够
149000	152000	而且欧洲会有一两个国家 两三个国家出来
152000	155000	但是你会发现这些人唱反调
155000	158000	最终是对整个全球的以毒灭公
158000	161000	是大好事 大好事
162000	165000	而且共产党这些天
