start	end	text
0	2000	整理一下一会儿的问我好不好
2000	4000	我要马上去开个视讯会
4000	6000	我一会儿我出视讯会
6000	8000	我再给大家的问题好吗
8000	10000	今天
10000	12000	好的 清清草原
12000	14000	收到 清清草原收到了
14000	16000	我们提前整理一下
16000	18000	好的 先生
18000	20000	我们现在开始整理
20000	22000	好的 兄弟姐妹们
22000	24000	好的 七哥真是
24000	26000	就是想一想你们这时候的思路
26000	28000	我就难受
28000	30000	我一阵子的时间过来
30000	32000	跟你们说给你们简单回答问题
32000	34000	但是
34000	36000	咱们需要战友们不要
36000	38000	咱们大家高效一点
38000	40000	咱们把问题整理好
40000	42000	回答问题最好就别问了
42000	44000	好的 兄弟姐妹们
44000	46000	好的 先生
46000	48000	明白 我们现在开始进行整理
48000	50000	您搭载多少人
50000	52000	这说话真是
54000	56000	这是问题是吧
56000	58000	不是 不是 不是
58000	60000	大家把问题放在郭先生
60000	62000	达一举手房好不好
62000	64000	请草原去整理一下
64000	66000	放在几时
66000	68000	放在几时兄弟啊
68000	70000	谢谢
70000	72000	谢谢先生
72000	74000	还记得我
74000	76000	谢谢
76000	78000	我不能说百分之百
78000	80000	只要是给我留言
80000	82000	老战友我几乎都记得
82000	84000	我可以肯定的说
84000	86000	西哥是用心跟战友姐妹们在一起的
86000	88000	天地为证
88000	90000	我不会 我是拿心给你们在一起的
90000	92000	情绪内的姐妹们知道
96000	98000	谢谢先生
98000	100000	我大概十分钟左右回来
100000	102000	好不好 我去跟那边说几句话
102000	104000	我就回来
104000	106000	然后你给我整理一下问题
106000	108000	你回答
108000	110000	好的 先生
110000	112000	好的 谢谢
112000	114000	郭先生好
114000	116000	郭先生好
116000	118000	现在八点四十三分
118000	120000	我十七分钟才回答
120000	122000	我必须得离开
122000	124000	然后我还同时得健身开胃
124000	126000	请问问题 谢谢
126000	128000	好
128000	130000	文贞
130000	132000	您主持一下
132000	134000	问题就在那个
134000	136000	赶快去练一下
136000	138000	这林彪同志
138000	140000	在这呢 太好了
142000	144000	好
148000	150000	问题都在举手房里
150000	152000	我先直接回答就可以了
152000	154000	这样看能节省时间
156000	158000	好的 你们有什么就我说就行了
158000	160000	你问一下
160000	162000	我就马上给大家回复 谢谢
164000	166000	好的好的 西哥你好
166000	168000	我是文贞 我是主持人
168000	170000	我先跟战友们说一下
170000	172000	VOG复华农场机系列相关问题
172000	174000	大家可以去联盟委员会
174000	176000	每天晚上有专人答疑
176000	178000	而且这些人有很多问过
178000	180000	所以大家尽量不要再问同步的问题
180000	182000	已经问过了就不要再问
182000	184000	今天呢
184000	186000	只能是一个战友问一个问题
186000	188000	昨天和前天已经问过了战友
188000	190000	就不要再问问题
