start	end	text
0	4000	今天是1月3号 非常荣幸在这里和大家见面
4000	7000	现在呢 由这个木兰和温真主持
7000	10000	我来回答所有的观众朋友们
10000	14000	今天是1月3号 非常荣幸在这里和大家见面
14000	17000	现在呢 由这个木兰和温真主持
17000	20000	我来回答所有的观众朋友们
20000	24000	今天是1月3号 非常荣幸在这里和大家见面
24000	27000	今天是1月3号 非常荣幸在这里和大家见面
27000	30000	今天是1月3号 非常荣幸在这里和大家见面
30000	33000	今天是1月3号 非常荣幸在这里和大家见面
33000	36000	今天是1月3号 非常荣幸在这里和大家见面
36000	39000	今天是1月3号 非常荣幸在这里和大家见面
39000	42000	今天是1月3号 非常荣幸在这里和大家见面
42000	45000	今天是1月3号 非常荣幸在这里和大家见面
45000	48000	今天是1月3号 非常荣幸在这里和大家见面
48000	51000	今天是1月3号 非常荣幸在这里和大家见面
51000	54000	今天是1月3号 非常荣幸在这里和大家见面
54000	57000	今天是1月3号 非常荣幸在这里和大家见面
57000	60000	今天是1月3号 非常荣幸在这里和大家见面
60000	63000	今天是1月3号 非常荣幸在这里和大家见面
63000	66000	今天是1月3号 非常荣幸在这里和大家见面
66000	69000	今天是1月3号 非常荣幸在这里和大家见面
69000	72000	今天是1月3号 非常荣幸在这里和大家见面
72000	75000	今天是1月3号 非常荣幸在这里和大家见面
75000	78000	今天是1月3号 非常荣幸在这里和大家见面
78000	81000	今天是1月3号 非常荣幸在这里和大家见面
81000	84000	谢谢七哥 我的一个问题呢
84000	87000	其实就是很多战友最近在问我的一个问题
87000	90000	其实就是很多战友最近在问我的一个问题
90000	93000	就是他们有些呢 都是有凤凰农场的借贷
93000	96000	就是他们有些呢 都是有凤凰农场的借贷
96000	99000	或者是VOG的借贷 然后就问我
99000	102000	他们是否能够转到秘密翻译组
102000	105000	这个想请郭先生给大家解答一下 谢谢
105000	108000	这个想请郭先生给大家解答一下 谢谢
108000	111000	这样 关于这个借贷呢 可以到这个雅典娜农场
111000	114000	这样 关于这个借贷呢 可以到这个雅典娜农场
114000	117000	这个最好不要用秘密翻译组 到雅典娜农场比较好
117000	120000	这个最好不要用秘密翻译组 到雅典娜农场比较好
120000	123000	因为现在秘密翻译组还不是个农场 不是绝对性的农场
123000	126000	所以希望是这个样子的 好吧 谢谢
126000	129000	没有加入雅典娜农场的是需要加入到雅典娜农场吗?
129000	132000	没有加入雅典娜农场的是需要加入到雅典娜农场吗?
132000	135000	当然了 最好加入雅典娜农场是最好的
135000	138000	人可以待在秘密翻译组 但是你要有个农场
138000	141000	秘密翻译组现在不是一个批准的农场
141000	144000	享受所有的农场待遇 甚至优先待遇
144000	147000	享受所有的农场待遇 甚至优先待遇
147000	150000	但是呢 最好是到雅典娜农场去 好不好?
150000	153000	还有一些他们以前已经在秘密翻译组
153000	156000	还有一些他们以前已经在秘密翻译组
156000	159000	有过借贷的可以再转到秘密翻译组吗?
159000	162000	有过借贷的可以再转到秘密翻译组吗?
163000	166000	我觉得到雅典娜农场都统一到雅典娜农场是最好的
166000	169000	我觉得到雅典娜农场都统一到雅典娜农场是最好的
169000	172000	好的好的
172000	175000	好的 下面请
175000	178000	第一位战友
178000	181000	问问题 谢谢
181000	184000	是Rachel
184000	187000	七哥好 我是秘翻组的Rachel
187000	190000	我就是想知道 七哥之前说
190000	193000	那个大概就是北约这边可能会是
193000	196000	四月份那个出手
196000	199000	但是前几天我听您在答疑的时候
199000	202000	也提到过说可能会是今年年底
202000	205000	那个土共会消亡
205000	208000	那么我就想知道为什么会有这个时间差呢
208000	211000	是不是整个这个时间计划有变呢
211000	214000	还是说仍按照原计划
214000	217000	但是因为从出手到这个土共真正灭亡
217000	220000	是需要一个时间的
220000	223000	我想听听七哥如何解释 谢谢
223000	226000	谢谢Rachel
226000	229000	都是咱们很可爱的战友的典型之一
229000	232000	咱们一定要看到
232000	235000	这个事实和我们的情报
235000	238000	它之间必然有一定的误差
238000	241000	或者是这个变化性
241000	244000	比如说这个四月份
244000	247000	北欧现在这个组织的行动
247000	250000	我相信很有可能会早一点也可能晚一点
250000	253000	那么像最近几天发生的事情
253000	256000	就是在中共对这个病毒他们已经意识到了
256000	259000	世界已经知道这个病毒是肯定老共干的
259000	262000	他们所谓的在内部也要找病毒的原因
262000	265000	然后在外面造舆论
265000	268000	最后可能就找出来所谓的某些个人
