start	end	text
0	6000	哎呀 尊敬的战友们好 你们健身了吗?
6000	10000	什么CCP进步 见到危机真相了吗?
12000	14000	你看看 你看看 你看
14000	22000	啊 大牛 巴黎 小福利 还有小Sara 还有这狗
22000	26000	这都啥日子?这是过去公主过的日子
26000	29000	再看看我们国内的这些孩子们
29000	37000	炫富 吹牛 吃火锅 买假名牌
38000	44000	然后在雾霾中 在那所谓的还有顿吃狗肉的
44000	47000	我的七娘来 然后再去广场舞
48000	50000	不是一个世界的日子
50000	54000	这才是真正的叫新中国联邦人过的日子
54000	58000	你看都有小狗 你看这小Sara 小福利
58000	60000	旁边都有俩狗
60000	62000	你看那大牛 还有猫
62000	67000	天呐 吃的喝的咋弄啊?
67000	74000	昨天晚上有一个在日本回到上海的战友
74000	77000	跟我通电话说七哥十分钟
77000	80000	十分钟一下干了一个小时
80000	82000	哎呀我的妈 他说七哥呀
82000	84000	这真的真的是
84000	87000	他说在日本待了这一年多
87000	91000	回到上海以后千转万折回到上海
91000	95000	整个国内都是地狱一般
95000	98000	哎呀 感慨万千
98000	101000	兄弟姐妹们 我想再说一遍
101000	104000	宁可当美国的狗
104000	107000	也不会当中国的皇上去
107000	109000	他们是没选择 无知
109000	111000	你说就是现在
111000	113000	头两天有战友
113000	115000	哎呀我的妈呀 我这缺氧了
115000	116000	脑子这运动
116000	118000	九寨沟的战友说
118000	120000	哎呀他说有人说呀
120000	124000	说美国那人死的都知道到大海里面去没人埋
124000	126000	城市里面都空了
126000	130000	说曼哈顿人死的家里几星期没人管都臭了
130000	132000	他们真信
132000	134000	我告诉他
134000	136000	如果这个是真的话
136000	138000	甭说你九寨沟
138000	141000	你死九寨沟你也不会存在了
141000	144000	没有美国的美元
144000	146000	没有美国的粮食
146000	148000	没有美国的科技
148000	151000	我说你的九寨沟就是一堆垃圾
151000	154000	你电都发不成
154000	157000	有点常识吧
157000	159000	美国的一个公司
159000	161000	未来的一个伊朗马斯克
161000	164000	这样达到四五万亿美元
164000	166000	一个Google
166000	168000	一个苹果都一两万亿美元
168000	170000	是你广东省的GDP
170000	172000	吹啥了
172000	174000	你吹狼蛋算你有种
174000	176000	现在狼蛋不吹了
176000	178000	吹羊蛋去了
178000	181000	你真以为你是披著羊皮的羊啊
181000	182000	是不是啊
182000	185000	你真以为啊
185000	187000	你连披著羊皮的羊都不是
187000	191000	美国更不是披著羊皮的狼
191000	193000	我们说实在话
193000	194000	不是说宠养美元
194000	196000	美国不是个国家
196000	200000	美国是全世界最聪明人聚集的地方
200000	201000	最坏的人
201000	202000	很多坏人也在美国
202000	204000	但最坏人绝不在美国
204000	206000	最坏的人全在中国
206000	208000	我比谁都爱中国
208000	210000	但这是事实
210000	212000	你看中国的孩子出来长这样
212000	215000	这种笑容这种快乐
215000	218000	在GTV在中国电视台能看见吗
218000	219000	有这样的女孩
219000	221000	早就被弄去双休去了
221000	223000	双休的都变形了
223000	225000	不是掏钢就是掏子宫
225000	226000	这是开玩笑吗
226000	228000	我是一个孩子的父亲
228000	229000	女儿的父亲
229000	230000	儿子的父亲
230000	232000	我说的话是真实的
232000	233000	它不是黄故事
233000	236000	它就那么残忍
236000	239000	原中央电视台台长焦丽
239000	241000	说回一句经典的话
241000	243000	说踏进中央电视台这个门
243000	247000	已经不分男女
247000	249000	中央电视台就是
249000	251000	就是中南海的后院
251000	252000	想干啥干啥
252000	256000	也就是中南坑的尿桶
256000	258000	任何出名人
258000	261000	新闻联播新春联合晚会
261000	266000	不论男女全部检查身体
266000	269000	检查完身体还有深入检查
269000	271000	当然包括掏钢了
271000	272000	掏子宫了是吧
272000	275000	那都是小菜
275000	277000	如果觉得还不过瘾的
277000	279000	还不过瘾的就娶回家去
279000	280000	是不是
280000	281000	长期享受
281000	282000	对不对
282000	283000	这就是结局嘛
283000	285000	然后再讲这很多战友
285000	287000	跟我说关于GPG coin
287000	289000	比特币兄弟姐妹们
289000	291000	未来不会有比特币的
291000	292000	比特币可能涨到30万
292000	293000	涨到100万
293000	294000	最后一定会消失
294000	296000	据我所知道
296000	299000	很多人很多国家正在
299000	303000	全面的研究我们GPG到了
303000	305000	有些人说
305000	306000	那九指腰啊
306000	307000	还有欺民贼啊
307000	308000	战友们
308000	309000	如果有人相信他们
309000	310000	去找他们去
310000	311000	你问问
311000	313000	他这些人这一辈子见过钱吗
313000	316000	除了跟著爆料革命见过钱
316000	318000	你问他爹他妈见过钱吗
318000	320000	你问他祖宗拔子见过钱吗
320000	322000	一个钱都没见过的人
322000	324000	他告诉你怎么挣钱
324000	325000	你相信吗
325000	327000	相信请去
327000	331000	多简单的道理是吧
331000	332000	对不对
332000	334000	还有一个GTV
334000	335000	G翻身
335000	337000	现在共产党把所有的名牌
337000	338000	全都给封杀了
338000	339000	谁会赚钱啊
339000	342000	G翻身啊
342000	344000	未来全中国的孩子们
344000	345000	都会来买G翻身
345000	347000	全中国孩子想买潮牌
347000	348000	都得来G翻身
348000	350000	所有G翻身在西方
350000	352000	将是所有的
352000	354000	所谓什么耐克、阿迪达斯
354000	357000	什么潮牌的最大的送偿价
357000	359000	我们可以把他所有的设计师
359000	360000	全部买下
360000	361000	让他天天为我们设计新产品
361000	362000	只有我们有
362000	363000	只有我们有
363000	364000	在中国买你犯法
364000	366000	甭说你生产
366000	368000	欺民贼、九指腰
368000	369000	那些人
369000	370000	你问他拔拔祖宗
370000	371000	他见过这东西吗
371000	372000	他会穿吗
372000	373000	就九指腰
373000	374000	身高这么多
374000	376000	走到这样走的
376000	378000	然后五黑手啊
378000	379000	666啊
379000	380000	你问他
380000	381000	他一辈子买过的鞋
381000	382000	他懂吗
382000	384000	还到中国加工系服去
384000	385000	去你大爷的了
385000	388000	还王彦平
388000	389000	你真会丑话
389000	390000	你简直
390000	392000	这撒谎的级别
392000	395000	就是跟老鼠级别的一样
395000	397000	就是共产党编造的谎言
397000	398000	撒的谎
398000	400000	都是人类的最低级的笑话
400000	402000	连那冷笑话都不是
402000	404000	竟然有人听
404000	405000	大家去听去吧
405000	407000	真的是我最近感受太多了
407000	409000	确实有些人
409000	411000	他跟钱没缘分
411000	412000	你怎么弄也没用
412000	413000	就钱在他面前
413000	414000	他看不见
414000	416000	他当成了凝脂
416000	418000	你给他张凝脂
418000	419000	他当成了钱
419000	421000	这样的人说实在话
421000	424000	那就不是喊不醒的装睡的人了
424000	426000	因为他压根他就没脑子
426000	428000	没用
428000	431000	最好这人去相信九指腰
431000	432000	相信欺民贼
432000	435000	相信什么那些海外的伪类
435000	437000	那些人会给钱
437000	438000	你们在人类历史优势以来
438000	440000	你见过这些人付过钱吗
440000	441000	你见他花过钱吗
441000	443000	他见过钱吗
443000	445000	他有本事往哪花钱吗
445000	446000	你看他们样子
446000	447000	走在大街上
447000	448000	你看他九指腰
448000	449000	这样人都回身发抖
449000	451000	连个话都不会说
451000	453000	就在自己屋里边对著个手机
453000	455000	就吓唬修卡
455000	457000	可悲可怜
457000	459000	就他们还论GTV呢
459000	460000	G-Club
460000	462000	还有战友们G-Club
462000	463000	兄弟姐妹们
463000	465000	你问问所有的这些欺民贼
465000	467000	国内的包括钟南坤这些人
467000	468000	他有资格
468000	469000	他有本事
469000	470000	他有种
470000	471000	他有勇气
471000	474000	敢拥有G-Club了吗
474000	475000	他有任何机会
475000	476000	有任何可能
476000	478000	包括那些所谓白手套
478000	481000	他敢踏进去未来G-Club的联姻
481000	484000	或者签成联盟的那些Club里面吗
484000	487000	都长袖子到这儿
487000	488000	是吧
488000	489000	都这样
489000	491000	人家让他进吗
491000	493000	他买G-Club有用吗
493000	495000	这些孩子
495000	498000	拿著G-Club进G-Club会得到尊重
498000	500000	夹道欢迎
500000	502000	这才是新中国联邦的未来
502000	504000	打开GTV看看
504000	505000	年轻
505000	506000	真实
506000	507000	快乐
507000	508000	健康
508000	509000	勇气
509000	510000	自然
510000	511000	幸福
511000	512000	别慌啊
512000	513000	别慌
513000	514000	放心
514000	515000	放心
515000	516000	我今天绝对不昂横
516000	518000	因为我知道我昂横
518000	520000	已经让很多人脱肛
520000	521000	掉了一地痔疮
521000	522000	我不昂横
522000	524000	绝对不昂横
524000	527000	欺客不让任何人脱肛
529000	530000	不横
530000	532000	之恩不横
532000	533000	今天早上
533000	534000	因为我这个
534000	535000	跟咱们联邦委员会开会
535000	537000	然后又开两个视频会
537000	538000	还边健身
538000	540000	我这还没见完呢
540000	541000	赶快大家录个盖特
541000	542000	我今天我知道了
542000	545000	27万人等著看盖特
545000	546000	很伤心
546000	547000	才27万人
547000	549000	七哥混了几年
549000	550000	录了几千个直播
550000	552000	头发都白了
552000	553000	人都老了
553000	556000	才27万人看过盖特
556000	559000	有何脸见人呢
559000	560000	算了
560000	561000	不说了
561000	562000	哎呀
562000	563000	不说不说了
563000	564000	伤心呐
564000	565000	混了半天
565000	568000	才27万人等我看我盖特
570000	571000	太惨了
571000	573000	太惨了
573000	574000	啥都说了
574000	575000	啥都说不到
575000	577000	270万等的时候
577000	580000	我这是伤心就改不过来的
580000	583000	周天45了
583000	585000	九分45秒正好
585000	587000	毛时间了
