start	end	text
0	5020	哎呀!尊敬的战友们好!你们健身了吗?
5360	10000	川普CCP病毒香港危机真相了吗?
11200	14280	兄弟你们好!你们健身了吗?
14920	19640	我今天是从早上到现在开了三个小视频会
20320	24520	然后呢 还得这个健身
24520	30320	这个任何理由都不能放下你制定的计划
31480	36440	这有千万条理由让你放弃任何你所给自己的承诺
36720	39600	你看我这儿 还得看美女 你看见没有?
39920	43720	你看这大美女 这是极凡神
44120	48360	这今天下午的作业 下午的作业
48680	53720	所以说兄弟姐妹们 咱们国内的 咱们的兄弟姐妹们
54120	55760	七哥今天不能直播
56040	58480	我看到咱们国内很多姐妹们
58640	61320	发信息让我今天星期六直播 我直播不了
61560	65640	我尽可能我今天下午六点半到七点半之间
65720	67760	如果我有时间我直播一下
68160	70680	因为我实在是太忙了 太多事
70840	73880	G-Club G-Fashion 还有春节的直播
74080	79000	然后呢 现在还要给各国政府提供大量的关于病毒
79040	86080	还有这个在新疆西藏等这些所谓大屠杀
86400	90040	包括新中国联邦的各种未来的规划
90880	93960	跟宣言有关的东西 实在没时间了
94480	98840	我现在直播是休息 非直播时间全都是工作
99480	102360	我相信国内兄弟姐妹们都感受到了这两天
103040	110920	国内的河北 特别是河北现在大家都看到的
111400	115040	这个大量的就是说事实都已经爆发出来了
115720	118680	什么样事实大家都知道 死了多少人
119440	124320	到底死了多少人 这现在已经不是共产党说那么简单了
125040	128960	就像当年我说新疆一样 有多少女孩被轮奸
129320	132400	大家记得吗 那时候说这个新疆被轮奸
132560	135480	好像是天方夜谭一样 不可能 是吧
136000	140720	但是现在大家都知道了 这个轮奸不但是非常的夸张
141160	142920	而且 咦 这光咋这样
143600	148640	而且大家感受到了这个上进天凉 惨无人道
149480	152520	大家都意识到了吗 现在在河北
153520	159640	在大连 在通化 在长春 在东北 在恒隆江死人的数
161320	163320	绝对也是惨无人道的
164040	170600	那么现在知道在西藏 在云南边缘的少数民族地区
170840	173480	你以为在山林里面你就不感染吗
173960	176680	感染的很多 甚至没有任何方法
177000	180440	死的人更多 只是你不知道
181400	185800	现在国内的经济什么情况 银行不让你取钱了
186120	189400	这和九指腰这个班王八蛋龟头羊是一个德性的
190120	193000	边境一切谎言就是不给你钱
194120	197960	边境一切谎言就让你写遗书 反正钱得进我的腰包
198600	204760	边境一切谎言都是为了你好 为了正义 为了自由 为了上帝
205240	208520	这是 always of the good 不是 always of the god 了
209080	212200	现在不代表上帝了 代表好了 好人的声音了
212600	218040	好人的声音你把钱给大家 你有本事把钱给大家
218440	223880	那么共产党现在银行一样 我为了你好 不把钱让你取走
224920	228520	但是所有的肉钱 菜钱照样涨价
230520	237560	现在咱国内的多少战友们 银行有钱就取不出来 动不了
238040	240120	一动钱比偷钱都严重
242200	246840	昨天在江苏的战友们 在银行里边战友们取十几万人民币
247800	251640	结果警察来了 问你为什么取人民币 把手机给收走了
253720	258280	到了这种程度 香港都这样了 香港有人往外汇钱
258600	264040	警察找上门来了 说有人举报你们家有人换了病毒没报
264200	269080	要掏肛来了 实际上是收走手机 香港已经这样了
270440	274280	兄弟姐妹们 共产党的疯狂到了什么程度
276120	279720	咱不能老指望著说上天让谁亡 让谁变疯狂
280360	283240	但是他疯狂之前他别把好人给带走太多
283720	286200	他疯狂之前他别害那么多好人
287560	290600	跟九指钥这帮诈骗讨伐是一模一样的 对吧
291560	295560	那么我现在说战友们 我们是战友们要行动
296760	300920	什么行动 战友们在你安全力所能及的情况下
301480	305160	让更多的人知道新中国联邦和爆料革命
306280	311800	让你在你安全的情况下 让大家知道共产党正在干啥
314600	318760	在一个小时以前 美国的咱们特别重要的朋友
319720	328040	说现在在华盛顿 在纽约 在芝加哥 在德克萨斯州
329800	334200	在洛杉矶 这些地方都在问同一个问题
335800	341720	病毒在这个时候 所谓的传染力的降下 死亡率的提高
342760	345000	和共产党和美国大选有什么关系
345880	350760	英国现在这几天有所好转 所有的英国人都在问一个问题
351560	354600	英国死的人 英国造成的经济损失
356440	360280	和英国受到最大的伤害的共产党病毒
360760	365480	和现在英国一硬起来 一开始灭共
365480	368760	病毒现在有所好转 又有什么内在的关系
370120	372120	连法国的内部都在问
372120	377960	现在法国一跟共产党一对抗 反而病毒有所下降
378440	382120	连死亡率都有所下降 这又有什么必然的关系
383800	388120	所有大家要记住 英国和法国稍微有点想硬起来
389560	394840	这个的表现 只是在真相上 若有所应
395960	399720	也就是说事实上跟共产党减少了接触和合作
400040	404520	少用了共产党的疫苗 少用了共产党派来的所谓的技术
404920	409480	和协助合作人员 他的病毒就下来了 这又意味著什么
411800	416040	这位美国朋友 马上就要去欧洲
416680	420680	我说你去欧洲 抛开你官方的身份
421320	424360	按照迈尔斯郭的建议 了解了解欧洲
425000	431000	为什么你们一和老共之间 减少交往和合作 病毒就下来了
432360	434360	也就是你硬了一点点就下来了
435160	440040	那么我想问战友们 国内的病毒是什么地方最严重现在
442760	448440	凡事天天举著红旗 凡事天天跟著中南坑几个老杂毛
448440	450760	混的地方 全都出大事了
451320	458120	对吧 就连香港 就香港现在这个掏岗 掏到这种程度
459080	463640	香港还目前是中国所谓发达地区感染率最低的
464280	466920	因为香港人不愿意跟老共合作
467240	470440	香港人减少了去共产党的共匪控制区域
471400	478280	对吧 战友们 还有昨天我们有战友们发现了一个秘密
478520	483480	发现了一个秘密 说除了共产党高官不染病 高官不死人
483480	485800	他发现了一个很核心的秘密
487000	492840	所有共产党的最近这一两个月 你见过医疗官员有战说说话的吗
495320	499960	因为咱这个战友的家人 在中国所谓的卫生部
499960	505560	疾病防疫中心是个高官 说这哥们儿该吃吃吃 该喝喝
506520	512920	从来不戴口罩 回到老家以后叫著所有人 该吃吃 该喝喝
512920	518680	他从来不戴口罩 而且非常自信 不但他不戴 他家人还不戴
521160	525240	这一点 这就是我给西方所有的朋友这几天说的
525240	531720	共产党有解药 它要没有解药 它控制不到这个程度
532680	536920	英国的首相的肚子 那脑子能传染上
536920	541960	加拿大的那小土豆能传染上 几十个国家的元首能传染上
541960	550040	中国的领导人 那身体怎么著 惯了什么了 有啥本事
550920	556680	天天还双休 都是这老杂毛 身体又弱 还不戴口罩
557320	560600	它就没事儿 它有解药
561560	567240	所以我告诉他们 你们要想好要想安全 找共产党要解药
568680	573560	要想安全要想好 少传染 真正解决问题 少和共产党合作
575880	579960	现在凡是在共产党那边拿钱的 你必然招腕斩首
581640	585400	不信走著看 行了 今天先说到这儿 兄弟姐妹们
585400	591560	今天晚上六点半到七点半 七哥直播 再见
