start	end	text
0	7760	尊敬的战友们好 1月9号 你们见识了吗?
7760	11800	川普CCP病毒香港危机真相了吗?
11800	14340	哎呀我的妈 1月9号 兄弟姐妹们
14340	19000	这从昨天到今天啊 冰火两重天呐又是啊
19000	25680	很多人感觉到末日到来了 我的天 我感觉到末日到来了
25680	29480	川普总统 Twitter 被封了 Facebook 被封了
29800	33880	所有的极右派媒体全部被拔了 班农战斗室也被屏蔽了
34840	38760	我早就说过 它一定会发生的 一定会发生的
39280	43040	这为啥你过去想灭掉人家230 是吧?
43040	46080	你想把人家灭了 人家就不想灭你吗?
47080	52240	人家灭你 你说人家不守法 你灭人家 你说我是守法
52240	57560	你站在对方想想 如果你是Twitter 你是YouTube
57560	63000	你会做啥?你一样这么做 百分之八九十都会这么做
63000	65600	川普总统上来以后干啥?先把230给他灭了
65600	69160	就把人家媒体灭了 你先别说谁正义谁不正义
69160	73360	在你死我活的问题上 几乎大家不会考虑正义的
73360	77880	这是个基本的逻辑 没有人说因为正义我自杀了吧
77880	80680	然后有人认识到我非正义 我自杀了吧
80680	87000	天下没有这个道理 胜者亡侯败者寇 有说他有道理呢
87040	89760	但是正义跟这个是最终的判决
89760	93120	在这个过程当中 胜者亡侯败者寇 他就是对的
93120	98480	这是共产党这么多年来玩的非常熟悉的手段
98480	103200	但是要记住 如果你跟有信仰的人 你相信正义
103200	109640	你相信邪恶 最终要被正义打败 你就不会在乎这个过程
109640	112920	这两天最多的词儿从来没听说过
112920	119000	川普总统是最大的口炮 川普是个loser 最大的loser
119000	124760	川普是一个完完全全的懦夫 川普是个自恋狂
124760	131160	最大的自恋狂 川普是最无知的政治家
131160	135360	川普是个最疯狂的种族者
135360	139480	来了 我大概数数 八九恶 多了去了
140440	144840	很多人听了这话以后 都说对呀 有点道理
144840	147720	但是我告诉所有跟我说罪的人
147720	153200	我说我当年到日本去 跟著人家日本朋友去看日本
153200	159280	就是去性表演 在舞台上 一男一女在表演性能力
159280	163160	下边所有的人都是 都是西服隔离的一进门
163160	165880	从行李包里面 那时候行李包很高级 文件夹
165920	170800	拿出不让骨 嘎啦啦嘎啦啦的 下面祝福啊 鼓劲
170800	177800	绝大多数人都先 舞台上的人啊 这个都是助爱时间太短
177800	183080	但是呢 还有个节目 你也可以上去表演 没人敢上去
183080	185560	后来我知道 任何下面的人
185560	190320	他也不可能跟台上那个所谓最后没坚持到最后的人
190320	193440	那个男人和那个女人能比
193480	197400	因为你根本不敢上那个台 你也没有机会上那个舞台
197400	202040	终生都没这个机会 你没这个勇气 你也没那个能力
202040	205400	但是下面的人 批评的人是多数
205400	209200	这个男的窝闹 再坚持十分钟 再坚持五分钟
209200	214680	你应该这个姿势 你应该那个姿势 这就是真实
214680	218920	亲爱的兄弟姐妹们 全世界最紧张的人是谁呀?
218960	225840	是美国有权利选票的 天主教徒 基督教徒
225840	235840	和美国的所谓的美GOT整个组织 是真正的知道真相的人
235840	239880	还真轮不著咱们去在这块紧张著
239880	243320	这个就跟那个日本的看那个性表演的那个那个
243320	248000	性功夫舞台一样 咱既没这个能力上那个舞台表演
248000	252800	咱也没资格评价人也 咱来自于世界上最糟糕的国家
252800	256800	这个最糟糕的形式都比咱最好的情况好
256800	262520	这是一个 第二个 还没到1月20号呢 还没到1月20号呢
262520	269360	咱就这样 早乐必早衰 早悲必早哀 最起码的常识吧
269360	274720	再一个 我们现在不要把自己当成一个裁判者
274720	278360	我们不是这件事情的裁判者 也没这个能力也不应该
278360	282640	从法理从情理都不应该 更重要的事情
282640	288440	我认为这是上天送给我们爆料革命最大的礼物
288440	293400	大家觉得这个时候 全世界和美国人民最想的是谁
293400	302360	最恨的是谁 最生谁的气
302360	305400	大家觉得这病毒就没了吗
305400	309200	大家觉得现在就是共产党就没事了吗
309200	315160	听说北京现在防斩首行动袭击列为第一级别
315160	320240	内部现在已经每天都换所谓的换房 一天换好几次
320240	326560	从过去的这个12班已经换成了现在是24班 一小时一班
326560	328400	这已经到这程度了
328440	333560	中国的缺粮食还有经济 改变账的经济都变成真的了吗
333560	336880	美国现在就可以大量的印钞票了吗
336880	338800	太多了 我就不想多说了
338800	345760	还有这媒体 这媒体关掉以后就觉得这美国人就是拉倒了
345760	353760	谁的媒体被关掉 未来这个被关掉者一定是赢家
353760	356280	这个时候 亲爱的兄弟姐妹们
356320	361280	拼的不是耐力 拼的也不是勇气 拼的也不是你的正义
361280	366080	拼的是什么战友们现在 最关键的时候 学学愿望勾践
367760	373200	任何懂得愿望勾践的这个历史故事都记住
373200	379360	愿望勾践最后赢在了哪里 是那五百个神童吗
379360	382720	是他身边的几个大臣吗 是范莉吗
382760	389400	是他的牺牲了很多耐力吗 都不是 是对方 是薄皮
390720	396680	是真正的无王的昏君 还有他错误的决定 走向了黄泉路
398720	402920	否则不可能的 现在共产党的内乱
402920	408640	和共产党内部的永远无法治愈的经济癌症 政治癌症
409480	413760	和整个十四亿人民张恩子要吃饭的这种不可
414320	418400	永远填不满的这种怨恨 解决不了的怨恨
419040	421840	还有世界上最可怕的病毒
422600	426000	兄弟姐妹们 一个大选就让我们大家这个样子
426440	431480	我们未来 甭说代表十四亿中国人了 代表十四个中国人都不配
433320	437240	历史永远是我们学习里面的镜子
438120	440080	更重要的事情 我们自己
441400	445080	我们自己要知己 知彼
445920	449840	但是现在看到的事情 很多人是自己大头症 大阴症
450680	454520	也不知彼 想当然地认为对方那样
455000	457640	现在所有的信息都是来自于媒体
458560	461480	你所认知的媒体和手机 我可以告诉大家
461800	467720	不管这个媒体有多厉害 你所知道的事实和真相是极小极小的
468440	470480	跟你原来不知道它是很大的
470720	473800	和你真相的这个需要你所了解的
474000	478240	和你做出的判断所需要的信息 差距是很大的
480400	484200	恰恰的这几天看到所谓的九个川普的醉醉醉醉醉
484960	486160	看到了人心
487400	489120	看到了美国在这个时候
490000	493600	美国这个国家这些年的这种豪华的生活
494240	497240	和在全世界当霸主的那种傲慢
498120	501720	和被共产党拦截黄了以后的政治投机
502000	504080	甚至对信仰的丢失
505080	507080	这对美国难道不是个审判吗?
508560	510960	这对美国难道不是个大审判吗?
511480	513160	这难道不是个轮回吗?
514920	517160	如果川普总统真身的九个之罪的话
517400	519000	也是对美国最大的惩罚
519160	520520	如果不是的话
520640	522080	那是给了美国的机会
522880	523720	兄弟姐妹们
524080	525600	当你了解这个的时候
526000	528400	你就会知道这个世界上
528760	531000	什么人才会是赢家 什么人
532320	534520	这个赢家的根本在哪里
535760	537720	我们的对手 我们的敌人是共产党
539080	542000	共产党现在是什么情况
542840	545840	用自己的脑子 用自己的心 但凡想一想
546600	550800	今天美国的觉醒才是我们爆料革命最大的机会
551160	552240	但是永远记住
552960	555840	灭共没你不行 灭共靠中国人
556520	561000	以美灭共 以共灭共 以法灭共都是战略战术
561280	562520	最终靠我们自己
563280	564000	大家走著看
564280	566920	文贵会给你们带来意想不到的礼物
567640	568320	Mugai San
568720	571680	世界上最可悲的东西就叫失望 放弃
572240	573960	永远远离这两个字
574280	576560	千万别让自己导上这两个字的霉
578720	580840	按得不服了 明天9点30点
581280	584560	9点30 明天上午9点30 乱聊直播
584880	585840	亲爱的兄弟姐妹们
586120	588720	很多战友给我发的信息没有时间回 请原谅
589040	590160	太多太多了
590560	592680	明天乱聊吧 兄弟姐妹们
592920	596400	一切都已经开始勿忘香港
