start	end	text
0	4740	尊敬的战友们好啊,2021年1月19号,
4740	10840	这个今天作为我们爆料革命新中国联邦最大的日子,
10840	15420	这个美国政府给了咱们一个很好的礼物,
15420	22380	把共产党在新疆列为种族大屠杀,
22380	27340	不管任何人说,兄弟姐妹们,
27620	34580	第一次提出来和真正展开行动和推动这场,
34580	38060	把共产党列为种族大屠杀,
38060	45340	和定为犯罪集团恐怖组织,
45340	48700	只有爆料革命新中国联邦,
49780	51620	它意味著什么?
51620	55700	共产党,共产党员只要你不跟爆料革命的,
55740	58300	你将成为恐怖分子,
58300	62380	所有共产党的钱都是犯罪的脏钱,
63540	67980	所有的全世界的人对共产党,
67980	73620	对这些犯罪集团都有惩罚,
73620	78300	遏制,消灭的责任和义务,
78300	79340	而且是合法的,
80740	82500	这就是我们郝海东先生,
83460	85180	在6月4号先生讲的,
85180	86660	这是正义的需要,
87460	91140	把灭共变成人类全球的正义行动,
91820	93540	合法的正义行动,
93540	95060	谁给他做交易,
95060	96260	谁给他勾兑,
96260	97740	谁拿他的钱,
97740	98900	谁跟他来往,
98900	105860	你就是和种族大屠杀犯罪集团勾结犯罪,
106660	108660	只有战斗史班农先生,
108660	110780	和我们的哥们庞培奥,
110820	111460	庞培奥,
111460	112180	郭文贵先生,
113020	113980	兄弟姐妹们,
113980	115420	千万记住,
115420	117580	记住文贵这过去三年说的话,
118380	119340	在美国,
120140	121420	我们的朋友,
121420	124500	我们的战友绝对不是你看到的这些,
126620	128260	1月19号庞培奥,
128260	132980	郭文贵先生给我们1月19号路德访谈,
132980	134100	最重要的日子,
134100	136220	1月19号来了个大礼,
136220	140740	给爆料革命新中国联邦灭共的事业带来了大礼,
141580	143460	你们知道背后是谁吗?
143460	145540	是我们最最伟大的一位战友,
145540	146940	未来你不会知道,
146940	150780	是他冒死顶著一切的压力,
150780	152460	在最后的时刻,
152460	155980	推动著这个伟大的关键时刻,
155980	158980	119反过来就叫911,
159900	164780	这是美国对共产党的灭共行动的911,
166980	168860	共产党在多年前,
168860	173340	曾经以为911给共产党给委员参选多了一二十年,
173340	175900	但是今天美国人用事实行动,
175900	179340	用911消灭你共产党,
179340	180860	展开了最有效的行动,
182180	183780	兄弟姐妹们,
