start	end	text
0	8940	2020年1月19号 尊敬的战友们好
8940	16980	你们传播CCTV 印度 香港危机 真香了吗 乱碰 乱碰 乱碰
21680	26660	兄弟姐妹们好啊 2021年1月19号
27140	31260	想想现在还距离明天的1月20号
31260	33620	也就是大陆的时间今天晚上
34540	41540	就开始了所谓的总统和平 和平顺利的过渡
43260	50140	所以这几天共匪啊 非常紧张 全世界最紧张的就是共匪
51020	54420	这几天据说各帮派频繁开会
55060	60060	又碍于这个病毒怕传染上 各种法都用出来了
61060	68780	各种所谓的老同志 春节前聚一聚啊 什么这个聊聊病毒啊
69100	76180	分享一下子这个健保的经验呐 谈谈这个现在国际形势啊
76580	79620	各种说法 各种理由相聚
80340	84540	但是共产党啊 都充分的认识到
85980	92900	接下来共产党这个日子怎么过 经济能撑得住吗
94020	97380	真的是这个温家宝啊 贾庆林这封信写得太好了
98020	104900	这个疫情危机 所谓的疫情经济 还有一个疫苗经济
105700	107620	会不会变成疫苗危机
108620	110620	病毒真能控制住吗
112180	117820	这样下去的中国靠生产 靠廉价劳工的一个中国社会
118340	121500	都不上班 这个国家社会能成下去吗
123620	131340	现在所有的什么电厂啊 交通啊 大型的这所谓公共危害
131340	136220	公共突发事件爆起 因为大家都没新工作
137060	141260	不让上班 病毒啊 更重要的事情
142020	147500	现在香港已经成为了整个的寒蝉效应
149300	152140	无论是广东 无论是上海
153020	156300	再加上国内这些大老板的消失被抓
156860	161900	迅速的将被国有化 以国有化的名义 给掠夺出家属化
162820	168620	这种寒蝉效应 从外到内 从南到北 从东到西
169460	172380	像冰裂一样 冰变一样
172780	177500	迅速的冻结了整个国内的经济和社会和私人经济的信息
180380	184460	然后呢 有人提出来 要在明天20号之后
184700	186500	半年时间和美国一起
187020	191420	要把川普总统的这种不确定因素给他干掉 默平
192900	194820	指望谁 要指望美国
195980	198260	要把美国的钱拿回自己花去
198980	205900	要靠美国市场效应和美国的再启动的贸易
206740	212380	和强大的 共产党一直这些年来所有的 一切所谓的强大
212620	217900	就是中美贸易 这个逆差 要重启中美贸易逆差
218900	224500	靠中美贸易的经济 把共产党的经济继续强化下去
226820	230140	大家想到啊 花六个月要把川普总统的
231260	236580	Mega这个组织给变成犯罪组织 或者是非法组织
236940	241260	把川普总统给弄成永远不可能在政治上再回来的人
241700	243100	把他的家族都给他灭掉
244100	248900	然后就让拜登总统 他们的拜登总统 他们认为能控制
249260	251100	控制著整个美国经济
252500	255700	你看这野心大了 自己家著火了 先不泼
256780	260260	先把他家拿去 把他家老大拿去 住他家
260260	261900	把他家的钱 房子都给砸了
262620	264900	关键你回去说你家还在不在了
266660	269020	病毒你真的说控就控得住吗?
269020	273180	真正的中国的企业家真的都等著王健林
273180	279860	叶简明 肖建华 一个王健 马云 都等死
280700	281700	我不相信
283420	288180	还有这些家族真的就等著让你国有化人民裔
288180	291180	把资产钱拿走 我也不相信
293060	295180	香港就在这块继续等死
295900	297940	香港就在这块继续等死
298220	301700	把香港真的变成臭港 死港 我也不相信
303900	308660	欧洲现在已经是被你强奸的 已经是假喊高潮了
308660	310860	是不是?跟著你玩了
310860	313900	你觉得欧洲就这么继续下去明年 我更不相信
315260	319260	然后到美国来 你控制拜登 控制美国经济
319780	324580	然后重启中美贸易 你的所谓的逆差经济
325020	328900	让你再强大下去 迎接你的共产党一百年
329980	334340	要给百年送大礼 要重启美国强硬的中美贸易经济
335540	338940	我绝不相信 即使拜登本人都不会同意
339940	342620	我都不相信 我非常不相信
344860	349420	这几天所有人都想见伟大的习主席
350620	353540	要论证百年大庆咋办
354820	359460	现在美国咋也搞定了 真正的2021年的计划是啥
360340	364540	都说见不了 见不了 看到的都是批示
365060	366940	传的都是话 见不著
367420	370700	这个路德怎么搞的 把人家习主席给整没了
371060	372380	这路德访谈啊
375020	377980	再一个 兄弟姐妹们 想到了没有
378660	381540	大家最近看到粮食这个危机在国内
382540	388140	在今年5月份以前 这绝对是个挑战
389220	392900	等著美国进粮食呢 等著安克宁进粮食
393300	394980	这几天就开始勾兑了已经
395220	399100	说要从2月底 3月 4月大量的进粮食
399100	400900	大家记住话 走著看啊
401220	403780	据说头两天已经定下了具体的数字
404060	408220	把买美国的现在的一些粮食 还有一些纯的粮食
408860	413900	所谓的战备粮 作为重启美国中美贸易的一个开始
414380	417420	大量的买美国的猪肉 买美国的海鲜
417900	422420	只要是明天之后大量的采购 大量的外宣
422780	426260	大外宣第一件事 到美国 买东西买买买买
427100	430460	买到美国不好意思 还得跟中国好啊 记住我的话
431700	435820	看著啊 看著啊 就是用买买买 忘掉川普
436100	442140	用买买买 让美国老百姓和中共重归中美贸易经济
444260	446980	然后用买买买 到欧洲 到安克宁进粮
447500	450140	到加拿大 把孟晚舟给买回去
450140	452940	说孟晚舟马上放了 昨天已经走著去
452940	456020	孟晚舟马上就放回去 22日以后马上放回去
459300	461420	孟晚舟放回去 加拿大重启
462220	464940	对加拿大进行一个叫做战略性移民
465580	470100	接下来的三到四年 对加拿大要做五百万到八百万移民
472380	479260	要用移民 沉町加拿大 在美国的北部直接面对美国
480140	480860	这都定完了
482660	488260	然后用买买买 把整个这些国家关系全买回来
490460	492860	现在准备好今年 要多少钱呢?
493420	495220	说要花四千亿美元
496100	501260	把中共在国际上的贸易和关系和形象用钱给买回来
505540	510020	然后俄罗斯北部 俄罗斯对中共要有一系列的所谓的
510660	512460	各方面的友好政策会推出来
513540	517940	然后再去对付日本 对日本也是买买买 许诺
519340	522220	然后让日本大量参与中国国内的市场开放
523540	528340	实行贸易 贸易下的本地呼唤
528820	532540	大额的 答应日本的 原来两千五百亿 现在改成三千六百亿了
534380	536260	大家看著吧 接下来的几个月
536740	540660	你会看到共产党用钱买通世界
542100	546540	用钱把自己灭罪消罪的时代 看著吧
547980	551740	你们相信能发生吗?你们相信他们能成功吗?
552860	557820	好 战友们 信不信?咱走著看
558460	560820	神险 妖孤险 打险 咱走著看
562180	569460	兄弟姐妹们 真正的灭共的时代到来了
570380	574180	走著看吧 明天上午九点钟GTV直播
574900	577180	我的频道和秘密翻译组
578300	581460	咱们所有的爆料革命 即时翻译直播
581820	586460	欢迎战友们即时观看 好戏登场
587020	588900	一切都已经开始
589420	592540	Mugai Sai 巫师齐
