start	end	text
0	11240	咦!尊敬的战友们好 今天是2021年1月21号
11240	15240	亲爱的兄弟姐妹们啊 今天是1月21号
16240	22360	这个是最近一段时间 兄弟姐妹们
22360	25560	文贵啊是睡得最好的一晚上
26040	28360	哎呀 我这人没心没肺的
28720	32400	一到这个时候我就睡得特别好 特别踏实
32840	39440	昨天晚上是10点半 睡到了将近11点20
39440	45640	醒来以后工作到2点多 又睡了 再醒来的时候3点
46840	50080	然后呢工作了大概在5点左右
50080	54880	4点多左右 一觉睡到了7点 舒服的不得了
54880	60520	起来赶快处理信息 打几个电话 开个小视频会议
61000	67040	然后马上健身 我说健身
67040	70840	太多战友们要求这个回复了 给我的信息了
71320	77120	然后我就想 直播 软尿直播 就这样
77800	83000	现在坐在这了 刚才我上去健完身 冲完凉下来
83040	88000	差一分钟时间出现在镜头前 相当的不挠
88360	92920	兄弟姐妹们 我这两天的深刻的感受
92920	98520	我在昨天和大卫兄弟直播当中 我曾经说了一段
99200	102960	那么我现在更加有感触的 就是想起了另外一段
103400	107800	就是从昨天到今天的感受 是中午12点以后
108640	111520	当时十八大前 兄弟姐妹们
112200	115960	十八大一确定了习肯定上台
116200	119360	王岐山当中纪委书记常委的时候
120560	128760	当时中国商界最牛的几个人 马云 肖建华 王健林
129760	140040	徐家印 叶简明 任志强 苏厚 潘石屹
143640	145720	大家都知道这几个牛叉怎么牛的
146400	152280	都是跟姐夫 跟小舅子 还有王岐山 姚庆
153160	156360	什么孙瑶 冠军 刘呈杰 都好
157360	161800	但所有这些人 都是眼睛看向南方
162760	167480	叫海南岛 一个公司叫海航 陈峰 王健
169400	176400	一度时间 十八大前确定以后 是全国的企业家往南飞
176600	182960	当时最明显的就是董文彪 民生创始人 还有那个行长洪奇
183960	190640	还有北京市副市长 狗中文 当时狗中味 当时狗中文
190640	194400	哇塞 晃腾晃腾的 现在还成了北京市牛 牛叉人了
194640	201400	全都往海南跑 然后跑完海南 家里人都去香港
202320	205040	香港四季酒店见肖建华
207960	211800	然后有时去上海见叶简明
213920	219160	当时所有人 就是我郭文贵这号的
219160	223000	当年挑战王岐山干刘志华的 哇塞!
223760	229640	一度一下子 我突然发现旁边怎么这些人的眼神都变了呀
229640	231520	看我都像见鬼似的呀
233120	238000	然后好心的朋友和家人 约我吃饭
239000	246840	都是喝酒喝差不多的时候 给文贵呀 这个大势已去
249000	256280	现在习王上来 王岐山是中纪委书记 想杀谁杀谁 想抓谁抓谁
258000	261920	虽然习对你不错 但是习要依靠王岐山的
262920	271000	而且你跟胡以及知情派都不错 这些人非要拿你开刀啊
272240	277400	那个时候的感觉兄弟姐妹们 那可是你们不在身临其境
277400	280720	你是无法想 因为中国共产党它想干啥就干啥
282400	288120	现在美国民主党和拜登总统拥有的权力加一堆
288320	292040	还不是王岐山的中纪委常委书记的一个零头大呢
294200	301120	后又加一孟建柱啊 王岐山还不算数 还有个孟建柱啊 还有个孙立军啊
302880	308920	当时河南省郑州市公安局局长 介绍我和孙立军认识的人
310480	314160	这个人跟我真是 这是我真是共产党当中最好的一个人
314160	317720	听说最近癌症末期在监狱里边已经不行了
318800	322280	他是我尊敬的一个老兄长 非常了不起
322800	329360	实际上我和刘彦平和孙立军的中间联络人士是黄宝卫先生
330400	334640	黄宝卫先生到最后一句话也没替我说 但是我特别的尊敬他
