start	end	text
0	18000	我试试 试试去外面
26000	29000	哇 哇塞
31000	33000	看看这啥感觉
35000	37000	往这看看 往这看看
37000	39000	你看看这大雪
39000	41000	看看这大雪 兄弟姐妹们
42000	44000	这什么感觉啊
44000	45000	天呐
46000	48000	看这
54000	55000	太棒了
56000	57000	哇塞 看这
57000	59000	你看我这脚踩着
60000	62000	这什么感觉啊 你看看
64000	65000	我让大家
66000	67000	看我下看一看
69000	71000	我这是不是暗一点的好啊
74000	75000	你看看
76000	77000	哇塞
88000	89000	哇
91000	92000	哇
93000	94000	你们看看这个
95000	96000	天呐
99000	100000	哇
105000	107000	这多深啊 你看看
114000	115000	哇
115000	117000	好舒服啊
118000	119000	真正的麦哈顿
120000	121000	你看看
122000	123000	整个城啊
123000	125000	整个城都封了
126000	127000	几乎你看
127000	128000	很少车的
131000	132000	还有人去中央公园了
132000	133000	我的天呐
134000	135000	还有人去中央公园了
135000	136000	看到没有
138000	140000	还有人去中央公园了啊
142000	143000	天呐
147000	148000	牛啊
150000	151000	好舒服啊
154000	155000	哇
158000	159000	真正的纽约
160000	161000	现在的感觉
161000	162000	真正的纽约
162000	163000	我超喜欢
164000	165000	就是这么冷
166000	167000	冷得很舒服
173000	174000	这太亮了
177000	178000	我喜欢这个样子
179000	180000	不过是真冷啊
180000	181000	兄弟姐妹们
181000	182000	真冷
182000	183000	你看这个
186000	187000	哇
187000	188000	你看看
188000	189000	到我哪里了
189000	190000	你看看
193000	194000	啥感觉吧
196000	197000	我去
197000	198000	点根烟去
200000	201000	点根烟吧
202000	203000	太冷了
203000	204000	太冷了
206000	207000	太冷了
210000	211000	这个时候感觉到
212000	213000	这个Sherry and Nathan
213000	215000	这个房子位置太好了
216000	217000	太好了
219000	220000	所以说
221000	222000	兄弟姐妹们
223000	224000	哇
228000	229000	不
234000	235000	给战友们的雪球啊
235000	236000	给战友们的雪球
239000	241000	送给战友们的雪球啊
242000	243000	不
245000	246000	我发现
247000	248000	这个智能控制
250000	251000	回来了
256000	257000	太牛了
260000	261000	这个真的是
261000	262000	这个时候能看到一个
262000	264000	百年大清朝的建筑
264000	266000	这位Sherry当时
266000	268000	全人类最高的楼当时
268000	270000	咱们大清朝的时候
271000	272000	全人类最高的楼
273000	275000	今天你在看到这个时候
275000	276000	你感觉实在太漂亮了
277000	278000	所以说
