start	end	text
0	17040	郭文贵在这会儿突然袭击乱聊直播
17040	22080	今天你看我大周壹的现在穿著休闲装
22080	24960	因为今天是有任务有行动
24960	28880	有任务有行动 装神弄鬼 装神弄鬼
29360	32920	这个也没给大家通知我就直播了
32920	38240	因为这个在直播前的前十分钟也没想直播
38240	41160	我说真的是我的手机看不完了
41160	42880	还有两个战友喝多了
42880	45480	喝多了就给七哥发信息
45480	47680	战友发的信息我是壹定要看的
47680	50640	这喝多了就壹直发啊
50640	52640	壹直发
52640	55000	还有很多战友发了很多很多很多信息
55840	58960	今天是杨丽的三月八号
58960	60280	很多战友记得呢
60280	66200	我的老娘是两周年是三月八号
66200	68600	是的在杨丽上是三月八号
68600	69840	但是中国人呢
69840	73840	特别我们山东人都过这个农历
73840	76920	农历是2月2龙抬头
76920	81080	也就是这个下周星期天2月14号
81080	83000	2月14号
83000	87080	那么2月14号本来这是壹个家里吧
87080	89960	我们要这个按照山东的规矩
89960	92400	开始这个守壹天
92400	97160	做壹些比较仪式化的壹些过程
97160	98400	但是呢
98400	99920	很多战友关心
99920	101400	很多战友关心
101400	103360	很多战友发来各种问候
103360	104520	说实话兄弟姐妹
104520	105680	我这没法壹壹的回
105680	107320	请你们能够谅解
107320	109000	没法壹壹的感谢
109040	111040	那么2月14号呢
111040	113240	我就直播
113240	115200	大概10点钟左右
115200	117520	90点钟我直播壹下
117520	119920	直播壹下就是应很多
119920	123160	我们在这个中国院校
123160	129040	社会科学研究方面的历史学家的要求下
129040	131440	咱们的战友要求下
131440	133320	就文贵聊聊这个
133320	137560	就是叫大家重新认识壹下母亲这个角色
137600	139360	重新认识壹下母亲这个角色
139360	140400	我觉得这个特别好
140400	141880	这个事啊
141880	144360	我觉得刚才我找我还专门找了壹个
147880	148360	算了吧
148360	149200	那天壹起来吧
149200	149880	别今天了
151960	155960	所以我就决定2月14号
155960	158760	那天上午直播
158760	161640	跟大家聊聊母亲这个话题
161640	166040	我觉得我壹个人再给老娘在这块念经啊
167000	172480	祈福都不如让所有的更多的战友们和中国同胞们
172480	175160	了解更多关于母亲
175160	176200	咱们别光说
176200	177320	咱得做
177320	178520	咱得做
178520	181600	我觉得中国了解母亲
181600	183320	了解中国的女性
183320	186080	就是了解了整个中国的历史
186080	188000	我觉得是特别重要的
188000	188960	所以说呢
188960	191280	首先壹个感谢战友们的问候
191280	193200	咱们2月14号上午见
194200	197520	第二个我想给大家说壹下这个G-News啊
197520	199600	G-News最近这个文章啊
199600	202000	还有G-News的影响力
202000	204520	可以说是很多战友都是忽视
204520	206440	大家没有注意到的
206440	210920	我们的G-News的整个的关注人数
210920	215280	关注人数是大概GTV不是我前面说的三倍四倍
215280	216440	是大概五倍左右
