start	end	text
0	8000	我正在看这个真人真事儿,卡丽吉讲的太长了,我的妹妹啊,
8000	12000	这成了哪事儿访问了,这是考问,这是叙事啊,
12000	16000	但是都讲的特别好,特别特别好啊。
16000	22000	这个,我在这个一段时间,几个月前,
22000	25000	而且我特别在近这个30天前,
25000	33000	在印度的病情啊,这个持续增加疯狂的死人的情况下,
33000	35000	我一再的提醒,
35000	38000	台湾同胞,还有日本的朋友们,
38000	42000	一定会让你开始的,而且澳大利亚,
42000	44000	就是共产党这个放逐,
44000	46000	如果你要不相信的话,你根本不要看我的视频,
46000	48000	你看视频浪费时间,对吧?
48000	51000	共产党的计划,还有内部的情报,
51000	56000	他们早在就是今年的2月份的时候,就很明确,
56000	60000	要在世界上打好病毒的舆论战,
60000	63000	就让美国背锅。
63000	68000	然后呢,又最近要打好这个冠状病毒的所谓的下半场战争,
68000	73000	就是所谓的法律战,谁弄到他告谁,吓唬谁,
73000	76000	像对七哥一样,超限战。
76000	81000	然后呢,同时要把冠状病毒这个生化战,
81000	89000	延伸到所有的对共产党有威胁的任何群体,
89000	91000	和国家主体里面去。
91000	95000	在打赢台湾这场战争当中,
95000	99000	第一手段就是超限中的生物战,生化战,
99000	101000	就是台湾冠状病毒。
101000	103000	对香港已经,大家知道,
103000	106000	香港所有的病毒指示都是假的。
108000	111000	特别是台湾要小心的是什么人,
111000	117000	台湾要小心的是台湾在大陆已经被蓝金黄的人,
117000	122000	像那个什么有些歌星啊,什么艺人啊,
122000	125000	在大陆混的,混多少年的那帮王八蛋,
125000	129000	这都是可能是蝎毒的,帮助放毒的这帮分子。
129000	131000	而且你很难想象,
131000	133000	就共产党一给他们钱,给个几亿台币,
133000	135000	那更玩似的,是吧?
135000	138000	那么这些人是什么都干得出来的,
138000	140000	像那个刘家昌这种孙子,
140000	142000	你现在你让他在台湾好多年,
142000	145000	在大陆不能回台湾,不要说给几亿台币,
145000	147000	你给他几个糖葫芦这个孙子,
147000	149000	他这干把台湾人全杀了。
149000	152000	这个刘家昌就是个大流氓,混蛋至极。
153000	157000	包括就是被收买的那些将军和家人们,
157000	159000	他有把柄在人家手里抓著,
159000	161000	让他干啥,他干啥。
161000	163000	台湾这个不是一二十利的感觉,
163000	165000	我非常担心台湾。
165000	168000	然后就是日本,然后是澳大利亚,
168000	170000	然后就澳大利亚。
170000	172000	所以这个印度是眼中钉,
172000	174000	结果把印度搞成那么惨。
174000	176000	然后是肉中刺,
176000	179000	那就是日本,他不会放过你的。
179000	181000	然后必吃之肉,
181000	183000	就是这已经是嘴里的肉了,
183000	184000	那就是台湾。
184000	186000	那你想想,他为了吃到肉,
186000	188000	什么都干得出来。
188000	190000	接下来会在美国继续跑。
191000	195000	美国如果不是给他一个逆转型的,
195000	198000	所谓在亲共的政策出现搞贸易的话,
198000	200000	一定还会再跑。
200000	204000	所以说现在病毒并没有消去,
204000	207000	病毒的原因并没有找到。
207000	211000	然后病毒的疫苗根本就是祸害,
211000	212000	那又没有解药。
212000	214000	你告诉我大家你有什么理由,
214000	217000	你有什么理由,你放松警惕呢。
217000	220000	首先做好最坏时刻的到来,
220000	223000	同时全部努力以毒灭共,
223000	228000	和全世界人民广泛传播病毒的真相。
228000	232000	然后鼓励和帮助那些勇敢的,
232000	234000	像我们闫丽梦博士,
234000	236000	像我们的这个塞琳博士,
236000	238000	还像这个战斗史,
238000	240000	还有无数个农场的战友们,
240000	242000	这些默默无闻的战友们,
242000	245000	寻找出的这些关于冠状病毒的信息,
245000	247000	广泛的去传播,
247000	250000	让大家都意识到这是一场生物战争,
250000	253000	不要以身试毒啊,
253000	255000	以身试毒的后果是很惨的,
255000	257000	你命就一条,你失者干什么呢。
257000	259000	所以说兄弟姐妹们,
259000	261000	当我们去做这些事情的时候,
261000	262000	应该是无欲无求,
262000	264000	不要在乎任何人怎么反馈你,
264000	266000	也不要在乎人家听不听你,
266000	267000	他听不听你是他的事,
267000	269000	你做不做是你的事。
269000	270000	更重要的事情,
270000	271000	我们要注意到,
271000	274000	就是一定勇敢的大声的,
274000	276000	喊出来你心中的担忧,
276000	278000	和你知道的真相,
278000	280000	就已足够也。
280000	281000	做好事,
281000	282000	不问因果。
290000	291000	哎呀,我的娘呢。
301000	304000	我这个,好多了现在,
304000	305000	好多了好多了,
305000	307000	基本上就好多了,
307000	308000	这个药,
308000	310000	战友们所有给我推荐的药,
310000	311000	基本上我都有,
311000	312000	没有没有,
312000	313000	除了中药我不吃,
313000	315000	我所有都有了,
315000	316000	谢谢兄弟姐妹们,
316000	318000	千万千万别给我推荐药,
318000	319000	很多人给我寄到了药,
319000	320000	没办法,
320000	321000	你寄多少药,
321000	323000	保安都得扔掉,
323000	324000	安保的人都得扔掉,
324000	325000	都浪费,
325000	326000	抱歉抱歉。
331000	332000	这种,
332000	334000	我一天天大概有三四次这样嘛,
334000	337000	就特别是接近手机的时候才这样,
337000	339000	就是手机这个辐射,
339000	340000	辐射。
340000	342000	我归共产党天天用手机辐射,
342000	343000	伤害我,
343000	345000	但是咱不怕,
345000	347000	齐克对这事不怕,
347000	350000	咱们来中国的墓埋国,
350000	351000	还是可以的,
351000	352000	尽量小心吧。
353000	354000	这个,
354000	355000	昨天啊,
355000	356000	我给你洗澡的时候,
356000	357000	这太长时间了,
357000	358000	你这老分床座,
358000	359000	咱回一个房间嘛,
359000	360000	洗澡提一条件,
360000	362000	你保证晚上不视频,
362000	363000	不电话,
363000	365000	把手机交给保镖,
365000	367000	我就回来睡觉,
367000	369000	这交易咱做不了,
370000	371000	这不行啊,
371000	372000	是吧,
372000	374000	手机最近基本上保镖控制,
374000	376000	但晚上不打电话是不可能的,
376000	377000	我不用这个电话,
377000	378000	这电话就拿走,
378000	381000	然后专门有一个和不同地方通话的,
381000	382000	一个摄像机,
382000	383000	我一按,
383000	384000	啪,
384000	385000	啪,
385000	386000	啪,
386000	387000	我一按,
387000	388000	啪,
388000	389000	就过去了。
