start	end	text
0	3000	尊敬的戰友們好 5 月 15 號
3000	8000	感謝昨天福建的戰友 全家給我發的視頻
8000	11000	其中這個小孫女說了句話
11000	16000	阿伯爺爺 你頭兩天直播蓋特
16000	19000	身上都是毛毛 哎呀
19000	21000	我說我咋沒發現呢
21000	25000	因為在這個手機上錄的時候 你看不見
25000	27000	但是咱們戰友家裡條件好
27000	29000	咱們戰友家裡條件好 都是大電視
29000	32000	七八十寸的 甚至更大的電視
32000	35000	電視一放大 有個毛毛的看著
35000	37000	因為我抱著 Snow 完了
37000	39000	放下來就開始去錄去了
39000	43000	就這細節 戰友這麼細 讓我真感動
43000	48000	這麼小的孩子 看了幾年 郭爺爺直播了
48000	52000	而且記憶猶新 說到這說到那都知道
52000	56000	讓我特別特別的感動 特別特別感謝
56000	59000	所以說國內的14億人
59000	63000	14億的人口裡邊什麼人都有
63000	65000	絕大多數都是好人
65000	68000	明天七哥上午9點半直播
68000	71000	就聊一聊剛剛從昨天到現在
71000	73000	在爆料革命在世界引起的震撼
73000	77000	甚至有些欺民賊 王八蛋現在哪個事做文章
77000	79000	就是我昨天發的蓋特
79000	85000	堅決反對 任何人對所謂的國內的公檢法
85000	88000	國內的體制內的人員的孩子
88000	90000	被拒簽後的薪債落貨這個事兒
90000	92000	明天七哥好好聊聊 好吧
92000	95000	七哥就是其中有一條
95000	97000	一定是微真不破
97000	101000	如果有一天你發現七哥說的和做的
101000	103000	完全不一樣的那些矛盾的時候
103000	104000	那你就上當說騙了
104000	107000	你怎麼對你七哥都是可以的
107000	109000	這就是七哥一生的原則
109000	112000	我叫微真不破 爆料革命是核心的核心
112000	115000	真善狠 微真不破
115000	117000	另外一個過激條千萬別忘了
117000	120000	我們過激條不要忘了過激條
120000	122000	那麼現在呢
123000	126000	今天我們家來了好多好多客人
126000	128000	另外一個要給戰友們說一個
128000	130000	今天你看到核心的問題
130000	136000	這個哈馬斯 巴勒斯坦和以色列的事情
136000	139000	這個戰友們好好去想一想
139000	141000	七哥什麼時候說的
141000	143000	中東叫大事兒
143000	147000	共產黨這些年操縱的幾個熱點地區
147000	148000	大家一定不要忘記
148000	151000	因為老百姓都不關心國際大事
151000	155000	國際大事就像人與人之間關係是一樣的
155000	159000	就像咱們看到了就是這些王八蛋黃河邊
159000	162000	黃河邊他出來咋咋咋咋咋
162000	164000	跟小狗人亂咬的時候
164000	167000	一見到人就跑就躲了狗窩的時候
167000	170000	你就發現你從黃河邊的口氣
170000	172000	還有雞腿盤的口氣
172000	176000	以及在這個推特上YouTube上
176000	179000	砸郭的起起伏伏和這些人的態度
179000	181000	你就能發現咱們爆料革命
181000	183000	點鐘他不知道在哪要害了
183000	186000	你就能發現共產黨在哪害怕了
186000	189000	你就能發現共產黨在操縱這些瘋狗在咬誰
189000	192000	他國與國之間也是這個關係啊
192000	194000	他支持伊朗
194000	196000	伊朗就支持敘利亞
196000	198000	伊朗就在野門
198000	201000	也在那邊有自己的武裝力量
201000	203000	然後伊朗也給巴勒斯坦
203000	206000	也在控武器發展武器
206000	210000	共產黨的背後就在那邊搞所有的背後操控
210000	212000	像在菲律賓
212000	215000	菲律賓的很多就是南部的守衛叛軍力量
215000	218000	絕大多數的武器全是來自共產黨的
218000	221000	就是他拿那個來威脅
221000	224000	菲律賓的這個瘋子總統
224000	226000	什麼萊特
226000	228000	什麼奧爾布萊特什麼什麼什麼
228000	230000	就控制他
230000	232000	你不聽我的我就多給他武器
232000	234000	你個人就威脅
234000	236000	我這邊給你錢我那邊拿武器威脅你
236000	239000	所以菲律賓所有的都是共產黨百分之百的控制
239000	240000	不是百分之九十
240000	242000	百分之百的控制啊
242000	244000	你待會去了菲律賓你會發現
244000	246000	菲律賓那個國家跟隨美國民主
246000	247000	他荒唐到什麼程度
247000	249000	一個十六米的一塊地
249000	252000	他要蓋幾層樓要弄一小塊綠地出來
252000	254000	要學美國的花園的建築
254000	256000	別墅建築
256000	258000	然後他教信仰很好
258000	261000	老百姓也很想學西方
261000	263000	但是那個政府是混蛋的
263000	266000	那麼但是他被共產黨左右給牽制住
266000	268000	那麼伊朗
268000	270000	敘利亞在這
270000	271000	以色列在這
271000	272000	巴勒斯坦在這
272000	273000	然後也門高地
273000	275000	然後在這這個地方
275000	276000	也門敘利亞
276000	277000	也門敘利亞
277000	279000	然後整個的這個霍爾蒙斯福管轄
279000	281000	哥蘭高地
281000	282000	你去想想
282000	283000	打敘利亞的人
283000	285000	支持敘利亞的人是誰
285000	286000	打敘利亞是誰
286000	287000	是吧
287000	289000	所以這個你看著以色列很牛是吧
289000	291000	但是你為什麼以色列那麼厲害
291000	292000	馬薩德
292000	294000	他們準備了這麼長時間
294000	298000	幾千枚的導彈火箭彈
298000	301000	又多挖了十幾倍的地道
301000	303000	而且你竟然情報沒發現嗎
303000	305000	他也沒發現
305000	306000	誰在支持他
306000	307000	伊朗
307000	308000	中國共產黨
308000	311000	但以色列人是中國共產黨
311000	314000	最大的技術的提供者和幫助者
314000	316000	他把這個恩怨沒搞清楚
316000	317000	大家發現了嗎
317000	319000	那麼現在
319000	321000	虛擬貨幣區塊鏈這塊
321000	323000	共產黨的虛擬貨幣區塊鏈這塊
323000	326000	很多技術是以色列人幫忙
326000	328000	這個以色列人是要深思的
328000	330000	武器上技術上金融上
330000	332000	科技上網絡技術上
332000	334000	太空技術上
334000	335000	航空技術上
335000	337000	很多來自以色列
337000	339000	我跟很多猶太人朋友說過
339000	340000	包括我們公司
340000	342000	咱們的這個這個大使館裡
342000	343000	很多都是猶太人
343000	344000	這個這個猶太人的人
344000	346000	我說有一天你們一定會記住
346000	348000	對你們最大傷害的
348000	351000	一定是來自中國共產黨
351000	354000	現在很多華爾街
354000	355000	好萊塢
355000	357000	還有這個這個矽谷
357000	358000	他沒有明白過來
358000	360000	包括這個扎克布格啊
360000	361000	什麼這些這些社交媒體
361000	363000	他有一天都會發現
363000	365000	對他們打擊最厲害的
365000	366000	對所有這些科技
366000	367000	還有好萊塢
367000	369000	這些不要臉的所謂的文藝界
369000	371000	最厲害的共產黨
371000	373000	這不是七哥有任何戰略
373000	374000	這是發自內心的
374000	377000	因為我知道共產黨的本質在哪裡
377000	380000	共產黨不允許任何力量
380000	382000	能跟他做平等的交易
