start	end	text
0	3000	尊敬的战友们好 5 月 15 号
3000	8000	感谢昨天福建的战友 全家给我发的视频
8000	11000	其中这个小孙女说了句话
11000	16000	阿伯爷爷 你头两天直播盖特
16000	19000	身上都是毛毛 哎呀
19000	21000	我说我咋没发现呢
21000	25000	因为在这个手机上录的时候 你看不见
25000	27000	但是咱们战友家里条件好
27000	29000	咱们战友家里条件好 都是大电视
29000	32000	七八十寸的 甚至更大的电视
32000	35000	电视一放大 有个毛毛的看著
35000	37000	因为我抱著 Snow 完了
37000	39000	放下来就开始去录去了
39000	43000	就这细节 战友这么细 让我真感动
43000	48000	这么小的孩子 看了几年 郭爷爷直播了
48000	52000	而且记忆犹新 说到这说到那都知道
52000	56000	让我特别特别的感动 特别特别感谢
56000	59000	所以说国内的14亿人
59000	63000	14亿的人口里边什么人都有
63000	65000	绝大多数都是好人
65000	68000	明天七哥上午9点半直播
68000	71000	就聊一聊刚刚从昨天到现在
71000	73000	在爆料革命在世界引起的震撼
73000	77000	甚至有些欺民贼 王八蛋现在哪个事做文章
77000	79000	就是我昨天发的盖特
79000	85000	坚决反对 任何人对所谓的国内的公检法
85000	88000	国内的体制内的人员的孩子
88000	90000	被拒签后的薪债落货这个事儿
90000	92000	明天七哥好好聊聊 好吧
92000	95000	七哥就是其中有一条
95000	97000	一定是微真不破
97000	101000	如果有一天你发现七哥说的和做的
101000	103000	完全不一样的那些矛盾的时候
103000	104000	那你就上当说骗了
104000	107000	你怎么对你七哥都是可以的
107000	109000	这就是七哥一生的原则
109000	112000	我叫微真不破 爆料革命是核心的核心
112000	115000	真善狠 微真不破
115000	117000	另外一个过激条千万别忘了
117000	120000	我们过激条不要忘了过激条
120000	122000	那么现在呢
123000	126000	今天我们家来了好多好多客人
126000	128000	另外一个要给战友们说一个
128000	130000	今天你看到核心的问题
130000	136000	这个哈马斯 巴勒斯坦和以色列的事情
136000	139000	这个战友们好好去想一想
139000	141000	七哥什么时候说的
141000	143000	中东叫大事儿
143000	147000	共产党这些年操纵的几个热点地区
147000	148000	大家一定不要忘记
148000	151000	因为老百姓都不关心国际大事
151000	155000	国际大事就像人与人之间关系是一样的
155000	159000	就像咱们看到了就是这些王八蛋黄河边
159000	162000	黄河边他出来咋咋咋咋咋
162000	164000	跟小狗人乱咬的时候
164000	167000	一见到人就跑就躲了狗窝的时候
167000	170000	你就发现你从黄河边的口气
170000	172000	还有鸡腿盘的口气
172000	176000	以及在这个推特上YouTube上
176000	179000	砸郭的起起伏伏和这些人的态度
179000	181000	你就能发现咱们爆料革命
181000	183000	点钟他不知道在哪要害了
183000	186000	你就能发现共产党在哪害怕了
186000	189000	你就能发现共产党在操纵这些疯狗在咬谁
189000	192000	他国与国之间也是这个关系啊
192000	194000	他支持伊朗
194000	196000	伊朗就支持叙利亚
196000	198000	伊朗就在野门
198000	201000	也在那边有自己的武装力量
201000	203000	然后伊朗也给巴勒斯坦
203000	206000	也在控武器发展武器
206000	210000	共产党的背后就在那边搞所有的背后操控
210000	212000	像在菲律宾
212000	215000	菲律宾的很多就是南部的守卫叛军力量
215000	218000	绝大多数的武器全是来自共产党的
218000	221000	就是他拿那个来威胁
221000	224000	菲律宾的这个疯子总统
224000	226000	什么莱特
226000	228000	什么奥尔布莱特什么什么什么
228000	230000	就控制他
230000	232000	你不听我的我就多给他武器
232000	234000	你个人就威胁
234000	236000	我这边给你钱我那边拿武器威胁你
236000	239000	所以菲律宾所有的都是共产党百分之百的控制
239000	240000	不是百分之九十
240000	242000	百分之百的控制啊
242000	244000	你待会去了菲律宾你会发现
244000	246000	菲律宾那个国家跟随美国民主
246000	247000	他荒唐到什么程度
247000	249000	一个十六米的一块地
249000	252000	他要盖几层楼要弄一小块绿地出来
252000	254000	要学美国的花园的建筑
254000	256000	别墅建筑
256000	258000	然后他教信仰很好
258000	261000	老百姓也很想学西方
261000	263000	但是那个政府是混蛋的
263000	266000	那么但是他被共产党左右给牵制住
266000	268000	那么伊朗
268000	270000	叙利亚在这
270000	271000	以色列在这
271000	272000	巴勒斯坦在这
272000	273000	然后也门高地
273000	275000	然后在这这个地方
275000	276000	也门叙利亚
276000	277000	也门叙利亚
277000	279000	然后整个的这个霍尔蒙斯福管辖
279000	281000	哥兰高地
281000	282000	你去想想
282000	283000	打叙利亚的人
283000	285000	支持叙利亚的人是谁
285000	286000	打叙利亚是谁
286000	287000	是吧
287000	289000	所以这个你看著以色列很牛是吧
289000	291000	但是你为什么以色列那么厉害
291000	292000	马萨德
292000	294000	他们准备了这么长时间
294000	298000	几千枚的导弹火箭弹
298000	301000	又多挖了十几倍的地道
301000	303000	而且你竟然情报没发现吗
303000	305000	他也没发现
305000	306000	谁在支持他
306000	307000	伊朗
307000	308000	中国共产党
308000	311000	但以色列人是中国共产党
311000	314000	最大的技术的提供者和帮助者
314000	316000	他把这个恩怨没搞清楚
316000	317000	大家发现了吗
317000	319000	那么现在
319000	321000	虚拟货币区块链这块
321000	323000	共产党的虚拟货币区块链这块
323000	326000	很多技术是以色列人帮忙
326000	328000	这个以色列人是要深思的
328000	330000	武器上技术上金融上
330000	332000	科技上网络技术上
332000	334000	太空技术上
334000	335000	航空技术上
335000	337000	很多来自以色列
337000	339000	我跟很多犹太人朋友说过
339000	340000	包括我们公司
340000	342000	咱们的这个这个大使馆里
342000	343000	很多都是犹太人
343000	344000	这个这个犹太人的人
344000	346000	我说有一天你们一定会记住
346000	348000	对你们最大伤害的
348000	351000	一定是来自中国共产党
351000	354000	现在很多华尔街
354000	355000	好莱坞
355000	357000	还有这个这个矽谷
357000	358000	他没有明白过来
358000	360000	包括这个扎克布格啊
360000	361000	什么这些这些社交媒体
361000	363000	他有一天都会发现
363000	365000	对他们打击最厉害的
365000	366000	对所有这些科技
366000	367000	还有好莱坞
367000	369000	这些不要脸的所谓的文艺界
369000	371000	最厉害的共产党
371000	373000	这不是七哥有任何战略
373000	374000	这是发自内心的
374000	377000	因为我知道共产党的本质在哪里
377000	380000	共产党不允许任何力量
380000	382000	能跟他做平等的交易
382000	384000	和平等的对话
384000	386000	当他没有选择的时候
386000	387000	他就当孙子
387000	388000	跟美国当孙子
388000	391000	现在从去年到现在
391000	393000	中国共产党在美国买国债
393000	394000	买了几千亿国债
394000	396000	所谓的私下里边的平衡
396000	399000	继续履行中国生产国
399000	401000	到美国买国债
401000	403000	这么一个所谓的两国互动的
403000	406000	良好关系的根本性基础的条件上
406000	408000	中共还想跟美国友好
408000	410000	美国现在你想钱拿走
410000	411000	拿不走了
411000	412000	不让你拿走了
412000	414000	然后呢这个这个现在已经
414000	415000	我再说一遍
415000	417000	是我唯一告诉大家的
417000	419000	2018年所
419000	422000	中国共产党的家族的私人财产
422000	424000	一定会被查封
424000	426000	没有人相信
426000	427000	我再告诉大家一遍
427000	430000	现在在美国在欧洲在日本
430000	431000	在文明国家
431000	434000	已经开始在逐步查封
434000	436000	就像2018年我告诉你
436000	439000	第一个告诉我得要脱钩一样
439000	441000	中概股一定被铲除一样
441000	443000	大家都觉得百分之百分之相信
443000	444000	不是百分之99
444000	445000	百分之百分之相信
445000	446000	现在变成现实了
446000	447000	大家有没有人说了
447000	448000	大家有没有人说了
448000	450000	你们给西哥打个嗓子什么的
450000	451000	但我再告诉你
451000	453000	共产党所有的资产都会被查封
453000	455000	此时此刻就现在
455000	457000	就是上班时间9点开始
457000	459000	就有人在电脑前已经在做了
470000	472000	这就是现在在行动的
472000	474000	兄弟姐妹不要听说
474000	475000	以毒灭共
475000	476000	以钱灭共
476000	477000	以钱灭共
477000	478000	咱要有钱越来越多
478000	480000	再把共产党钱越来越少
480000	483000	然后给它一个空中取钱
483000	485000	这是我们现在最核心的
485000	487000	还有现在虚拟货币
487000	490000	速速货币在全世界上较量当中
490000	492000	真正的较量是什么
492000	494000	虚拟货币加密货币
494000	497000	领导全人类的金融新时代
497000	499000	是任何人推翻不了的
499000	501000	现在较量的结果就是
501000	505000	这个虚拟货币和加密货币的标准规则
505000	507000	谁来制定
507000	511000	能争这两个制定规则
511000	513000	和控制权的人是谁呢
513000	515000	无非是美国
522000	523000	谁说了算
523000	526000	最终一定是美国赢
526000	529000	就是大家无容置疑
529000	533000	想取消虚拟货币加密货币不可能
533000	535000	这就像当年西班牙最早
535000	537000	从这个椅子叫Bank Bank
537000	539000	交易货币
539000	541000	从易货贸易变成了黄金贸易
541000	543000	然后票金贸易一样
543000	544000	谁先做谁抢前面
544000	546000	咱先做咱抢前面
546000	549000	谁想否定不可能
549000	550000	我看到咱们战友当中
550000	552000	都在做这个加密货币的这个视频
552000	554000	非常非常棒
554000	558000	要更多的战友加入了GTV和洗币系列
558000	560000	更多的战友加入了我们的盖特系列
560000	563000	更多的战友加入了我们GNews系列
563000	564000	战友们准备好了吗
564000	566000	准备好一定抓紧联系
566000	568000	不要错过人家的机会
568000	569000	我告诉你
569000	571000	所有虎哥YouTube给你的条件
571000	573000	没有任何人可以跟我们相比
573000	574000	你好好看一看
574000	576000	我们的可以给你的选择
576000	578000	工资比他高待遇比他强
578000	579000	股利比他强
579000	582000	这就叫新中国联邦
582000	583000	不行
583000	584000	咱试试看
585000	586000	神仙杨国强大家
586000	588000	走走看
