你們養得起嗎?
他說你看看你這個傻子,你懂什麽?
你這個小鬼呀!
他說黨員只要是占了中國的江山,
三億到四億的時候,
他說我告訴你老七,
中國十幾億人口,
中國能有生產力、文明生產力,
影響國家命運的也就是兩億多人,
當時他說就兩億多人,
能加入黨員的人,
第一他交黨費,
第二他受黨約束,
還不但如此,
他們都想有希望當個官,
更重要的事情,
他們最近還互相揭發,
他說當這個精英當中,
80%都是共產黨員的時候,
和中國政府的職務都是以黨員,
不是黨員不讓你當副局長,
不讓你當局長,你是不可能的,
99%的人你要當處級,
你必須是黨員,
他說這是什麽?
這是用黨員,
用黨的系統,
領導全中國的精英,
用黨控制的政府資源和職務,
把中國的精英和共產黨戰車綁在一起,
他說這是誰設計的?
是毛澤東、周恩來,
還有朱德、陳毅,
都是當時所謂共產黨的宣言,
還有後來的共產黨的修養,
還有劉少奇,
最後還專門寫了這本論共產黨員的修養,
大家都記住那個本,
我很小時候看過,
這是一個統治這個國家,
全民解黨,
綁架社會精英,
讓你這些絕大多數的傻叉和奴隸們無力,
不可能跟這個分享國家資源的利益集團的對抗,
這是一個體制,
當你加入共產黨員,
生成觸及的時候,
你自我感覺就和所有,
包括你窮人的爹媽都不一樣,
你們見過多少黨員,
願意生了處長,
甭說生了局長,
還願意跟爹媽打交道的,
還願意跟老同學打交道的,
很少的,
他叫特級階層,
好,
第二句話我問他,
我說這共產黨員,
你們要達到什麼樣的目的呢?
他說基本上,
共產黨要達到共產黨控制的數量,
就是在全世界和在國內,
全世界和在國內,
達到兩個指標,
所有的武力,
所有的國家力量,
要百分之百,
在黨控制下,
第二,
所有的資源,
包括財富,
所有的要百分之百,
在黨控制下,
這兩個百分之百完了,
他說,
他都不可能再造反,
因為精英,
都是既得利益者,
當時我的政治水平,
和當時對共產黨的理解,
聽說這個就像炸腦袋一樣,
原來你有這個想法啊,
原來你有這個想法啊,
就像你當初一個處男,
看到了潘金蓮和西門慶,
看到了潘金蓮和西門慶,
第一次偷情一樣,
人家在床上還沒熱呢,
高燒45度了都,
因為你沒經歷過嘛,
因為你沒經歷過嘛,
一個小處男,
你看著一個西門慶和潘金蓮在裡邊,
看著小人梳,
倆人在床上,
這滑招那滑招的,
那你這灰塵就發燒了,
45度了,
那一會兒我估計,
有個磚縫你都想摳兩下子,
甭說是豬了,
你碰到九指腰上的人,
一定是這個結局,
它是個自然反應,
我聽完這個當時對我大到不行了,
後來,
我跟更多的共產黨高官打交道的時候,
我就注意到,
研究這個人的心理行動,
我看到我的同學,
我的旁邊人,
從普通人當黨員,
到了黨員到升官,
副科級、科級、副處級、處級,
包括到我們企業來的共產黨員,
我告訴你,
每個人都他獨特的優越感,
他們就覺得和你不一樣,
給共產黨員帶來的優越感,
和共產黨員的這種,
所謂的黨員相吸,
命運共同體,
壟斷資源的優越性和傲慢性,
共產黨這招太厲害了。
最後,你再想想,
今天所謂的十四億人,
事實上中國在十一億人左右,
絕對不是十四億人,
是十一億人左右,
肯定十一億人左右,
十一億多不了一千萬,
只能少不能多,
現在是所謂的九千萬黨員,
九千萬黨員,
他有一個兒子一個閨女,
加上爹媽,
一家乘上四口人,
三點六億,
一家乘上三口,
兩點七,兩點八億。
我們爆料革命當中,
戰友正在聽我直播的,
很多家人都是黨員,
很多你朋友都是黨員,
我們幾處一扭身,
一轉身,
你幾乎旁邊都是黨員,
特別是在京廣上身,
這種地方,
你一轉身幾乎都是黨員,
你去個廁所,
可能管廁所都是黨員,
這三億人,
咱能不能把他當成所有人該仇恨的人呢?
兄弟姐妹們,
共產黨種下的人屍丸,
種下的中國的毒,
就是共產黨,
全黨,
全黨的黨員家屬,
控制著中國百分之百的資源,
百分之百的權力。
就是用這個國家的資源,
不分享給你,
這些窮人和這些奴隸,
他掠奪了,
搶奪了所有人應得的利益,
和權力和機會,
他把這所有的東西集中起來,
給了他的黨員,
所以才有些人,
精英沒有選擇的,
在中國,
只有一個選擇,
與共產黨為伍,
與共產黨為伍,
這是另外的概念,
只能在這條路上走下去,
才可能有機會。
人生沒有如果,
政治也沒有如果,
如果中國有第二個政權,
他們有很多人不會
選擇共產黨。
即使我在清風看守所期間,
警察和檢察院裡邊,
不是沒好人,
是有好人的。
當時把我提審,
告訴我八弟已經死亡的時候,
其中的法官,旁邊的檢察官,
檢察官看到我哭昏過去,
這個檢察官
自己也流淚了。
我出來以後專門找過他,
他一閩過去說,
文貴不要提這個事情了,
我們都是人,我們就是混飯吃,
我也有家人,
沒抽我一根煙,
我要請他,
我帶了個石化飯莊,
我說去石化飯莊吃頓飯,我請你喝個酒。
他說文貴,我絕對不能去。
後來給我寫過兩封信,
看到裕達見起來,
恭喜我如何如何的,
有好人。
那些在清風看守所被槍斃的人當中,
我就親眼看過多個,
有人槍斃那些六四的人,
我看到警察站在旁邊哭眼淚,
我都是我親身的經歷。
上面那些武警,
也有表示惋惜,
佩服,難受的。
那麼今天我們當回到這個問題的時候,
我們有兩個選擇,兄弟姐妹們。
我們要現在把這種仇恨,
變成行動的話,
那就是我們不是滅共了,
我們就是要滅華,
就把華人給滅了。
就把華人給滅了。
三億多人嗎?
三億多人,
基本上是人類過去一百年,
所有被殺掉的戰爭,
和政治,
所有的總和了,
都可能達不到。
你拿什麼把這三億多人都殺了?
你拿什麼都把這三億多人都殺了?
這三億人殺了,
你覺得是正確的嗎?
這三億人包括不包括
包括你的同學,你的家人,你的同事。
包括不包括我看到的,
明知槍斃了,
冤枉的六四的這些
英雄們,他自己抹淚的人。
這三億多人,
他本身的爸他媽媽,
或者他姐姐他哥哥,
是黨員,是警察,
他甚至是極壞之人,
他沒有做過惡事,
你覺得應該對他下手嗎?
再一個,這三億多人
如何來判斷
未來他是惡人,
他殺過人,他有罪,
是我們現在用這種方式
能做到的嗎?
是用殺戮能解決的嗎?
是用仇恨能解決的嗎?
把三億人殺完以後,
這個中國你覺得還存在嗎?
你殺的完嗎?
共產黨要的就是你這個結果,
你殺不完,
你不敢殺,
你也不敢抓,
甚至你不敢為敵,
他就是綁架了
中國全社會的精英,
全社會的所有的
對這個民族國家
能有貢獻能力的人。
這就是他中下的毒,
他身上綁上了一個
幾億人的精英的
這麼一個定時炸彈,
這是共產黨最想要的,
共產黨最想要的,
你滅共產黨,
你就要滅掉這個族,
滅掉這個國家,
你滅掉共產黨,
你就要造成社會動亂,
人類甚至都要出現
徹底滅亡的戰爭,
這就是共產黨的邪惡的地方,
他讓我們就是彼此仇恨,
讓我們就是彼此仇殺,
往回看,
鬥地主,
井岡山,
在延安,
文化大革命,
所有的共產黨,
從李大釗回到中國,
哪個革命不是以內部的,
包括國民黨共產黨,
都是以挑動,
我們內部的仇恨,
階級,
鬥爭,
仇殺,
宗教,
族類的各種矛盾,
今天這麼大的一個惡魔,
我們還要上這個當,
跟共產黨一起,
仇恨我們的同胞,
仇恨這個國家,
我不知道很多戰友你們是怎麼想的,
在我們下面留言,
那個意思是非常反對,
七哥這個說法,
我請問你,你蹲過監獄嗎?
你戴過腳鐐手銬嗎?
你家人多少人被抓,被殺,被害?
你被剝奪了多少錢?
你用什麼手段,
來判定共產黨是殺人犯,
是虐囚犯,
是該判的罪人?
你有什麼樣的智商,
和法律知識,
和你的道德良知,
和可控制的情緒,
在什麼樣的公平條件下,
能完成一個公平的審判?
在什麼樣的公平條件下,
能完成一個公平的審判?
全人類的審判都知道,
就像美國法院告訴你一樣,
審判不能帶來真相,
一個沒有監督的審判,
永遠不可能有公平和真相。
這個審判,
和所謂的,
現在看到了,
我們說到今天的話題的核心,
對中國的公安和共產黨家屬,
限旅令,
限簽令,限學令的時候,
大家這個時候,
都很開心,幸災樂禍,
可以理解。
但是我請深刻的請問一下,
美國人,
既然能這麼做,
美國人還有很多辦法可以做。
美國人和歐洲人,
他們可以查封
所有共產黨員,
在美國的非法資產,
比這個容易吧?
非常容易。
為什麼不做呢?
美國人可以在六四的時候,
馬上宣布,
不承認共產黨,
他為什麼不做呢?
美國人不用這麼做,
馬上宣布,
華爾街到中共的投資,
停止,不供應美元,
你覺得共產黨能活到今天嗎?
還能繼續活下去嗎?
美國人,
只要宣布,
所有的
科技公司,不能在中國
跟共產黨政府合作,
你覺得共產黨還技術,
還能有防火牆嗎?
美國能把中國的
三大電信公司給它,
徹底踢出美國,
為什麼就不允許
停止,
像跟中共現在最核心共產
共產黨控制了11個美國太空公司,
同等國家權利,
同等外交權利,這是個基本條件,
你給我一,我給你一,你給我二,我給你二。
中共能限制,
黑掉,
屏蔽,不讓使用
Facebook,Twitter,Google,
為什麼美國
就不能封掉中國的互聯網呢?
任何一個行動,都比
所謂限制中國共產黨員,
還有所謂的這些孩子們
上學,
這個事情都快,都能
加速共產黨的失望。
美國只要宣布
Thrive,
踢出共產黨的人民幣的
系統,美元系統,
你覺得比這個
大不大?為什麼
美國不做呢?
懲治
共產黨,共產黨
家園的孩子們,這比
中美斷交還可怕。
但是我想告訴你們的事情,
這些孩子,我不能說
全部,絕大多數
都是無辜的。
他們沒有選擇,
說他們想著
過著好日子,
吃著喝著,爸他媽的,
我請告訴所有的兄弟親們們,
凡是說這個話的人,
我痛恨
你,我
痛恨你。
我痛恨你。
共產黨員的九千萬
黨員,最起碼
有七千萬黨員,
來自和我們一樣的草根。
我郭文貴也是草根。
路德是草根。
路德可能八百萬還是體制內的。
安紅,
安紅是體制內的。
但是我們有多少是草根?
數數。
我到了今天,
共產黨的
很多官員裡邊的,不是
都是官二代和官三代,
很多都是官一代。
他的父母也是
為了要飯吃,
他們沒有選擇。
他們的孩子過上了
所謂的比你看著好的生活,
是中國社會的妒忌之病
遠遠超過共產黨
這個病毒。
攀附,攀比。
只要你比我好,我只想著把你
拉下來,我從來不想著我超過你。
如果你能像我郭文貴
一樣,你做到
你比他強,是共產黨
在妒忌你,而不是你
妒忌他。
你才配說
消滅共產黨。
這就是我們多年看到的
在海外的欺民賊
伸手要點錢。
共產黨看不起你
真共產黨看不起
假共產黨也看不起你。
你根本沒能力
你也沒決心,你也不配
所謂是消滅共產黨。
你也不可能消滅共產黨
因為共產黨的剩下的肉渣
都會讓你變成一個咬尾巴的狗。
這不是你仇恨共產黨
共產黨的家人,是你妒忌
是你的無能,是你的
失敗。
你仇恨共產黨
去了。你在美國
你仇恨什麼
民主黨,或者仇恨共產黨,你總有
仇恨的地方。因為你的
骨子裡邊,你的內心
世界裡邊,你就是個輸子
你就是個loser。
你有本事
你有能力
你行動
你把共產黨的資產在美國查封了
在歐洲給它查封了
你有本事在美國
在歐洲查出共產黨高官的
孩子在這腐敗犯罪
你是牛人
我給你磕頭
我給你
舔腳,我給你舔你的定
你就這麼一概而論
就要求別人
你自己做不到
你就要求別人
要把所有共產黨全消滅掉
請你自己幹去
爆料革命
新中國聯邦的宣言寫的非常清楚
99.9%
的黨員都要大赦
當然包括他的家人了
他必須要大赦
我們是反共,滅共
不滅華
我們是維護
中國人的安全和利益是排在第一位的
共產黨員
他們的家人和孩子
他們沒有選擇
情況下,或者他們根本沒有犯罪
也沒有犯罪動機的情況下
是應該得到保護的
他犯法了,偷美國技術了
當燕子了,當蛇了,當間諜了
有非法財富,依法審判
越多越好
在我們的爆料革命裡邊
我們有四個原則
非常清楚
堅決滅共
客戶
只滅掉那些對人類
對中國,對民族
對歷史,對所有的
少數民族帶來
巨大威脅的決策者
和巨大的貪官和腐敗者
和所謂的
必須承擔黨內
和黨外,所有的行為結果者
極少數的
必須用斬首審判
國際審判,甚至各種手段
處之
這是一個堅決滅共
九十一二九都是要
大赦
第二條
堅決滅共
維護中華民族和
國家的利益
不分裂
不暴力
這是第二條
堅決維護,不能把這個中國
整沒國家了
你覺得中國真的沒有這個國家
這西方世界真的就讓中國
有民主自由嗎?我不相信
你這就是看到了
為什麼華爾街、華盛頓
倫敦、歐洲
影響他們利益的時候
影響他們利益的時候,他沒有任何行動
他們本來可以行動,他為啥不行動
共產黨到今天的罪魁禍首
是美利堅共和國和歐洲的
貪婪者
腐敗者
沒有信仰的
西方資本主義的
這些貪婪的魔鬼們
把中國打成十分
八裂
我們都將成為永遠的奴隸
只是穿著中國的
假的耐克的奴隸
還是穿著西裝的奴隸
這是不可以的
絕對不允許
我們成為
這個中國國家
十分八裂的罪魁禍首
不可能
我們要的是
中國有的是一個跟國際上
千年的和平
法律的
獨立的系統,公平的系統
言論,信仰的自由
讓中國人
在世界上成為最最和平的民族
我們是前提
保留我們的國家
主權
人權
信仰自由
我們一人一票了
當然是不能有殺戮了
當然不能讓
共產黨設置這個局
設置這個股
讓我們之間互相仇恨
互相殺戮了
沒有一個合法政權
是來自暴力的
只要來自暴力的合法政權
一定會被推翻
只是時間的問題
這是新中國聯盟
爆料革命的絕對原則
你像共產黨在新疆
犯下這種罪行
天地諸之
所有的執行者
和決策者
都將被以極端的刑法
來處罰
我百分之百同意
但必須按法律範圍的極端的懲罰
像薩達姆一樣
像薩達菲一樣
毫不猶豫
像他們在西藏
所犯下的罪行
把他死了不得
粉也得給他挖出來
也得審判他
烤漆木
發雞魂都不拉倒
但是在法律範圍內
在香港犯下的罪行
在六四犯下的罪行
在冠狀病毒
決策者執行者這些人
能用人間之合法之一切手段
追剿
審判
殺之
毫不手軟
但是必須的事情
不能像共產黨一樣
把郭文貴的家人全抓了
把郭文貴的同事全抓了
把郭文貴的
連我嫂子的親戚的
表姐的都抓了
禍滅九族
共產黨員當中
為什麼那麼多人跟隨我們
他們看到了辦郭文貴案子
就像上星期
有一個檢察院的人說
七哥
為啥我們冒著死跟著你啊
你這個案子最早我跟的時候
他們對你們全家所動用的手段
絕對不是一個
政府一個黨應該幹的
黑社會都不會這麼幹
他們的愚蠢
兇殘
暴力
和無法無天的
這些行動
就促使了中國有正義的
黨內人員和黨外的經營們
這是爆料革命能成功的
關鍵之處
關鍵以共滅共
我們這時候把九千萬黨員
給滅了
我們這時候把九千萬黨員
都列為我們的敵人
何其用心呢
如果現在我們
跳出來支持說
把九千萬黨員全列成敵人
把九千萬黨員所有在美國的孩子們
全給抓起來
你覺得我們新中國聯邦
還有未來嗎
有未來嗎
郝海東先生
葉釗營女士
閆麗夢博士
開始爆料到今天
為什麼有人信
為什麼有人聽
我們無非是堅持了三個原則
微真不破
一切都是為了滅共
把共產黨
和中國人分開
把共產黨和中國人民分開
第三個
就是這些成功的人士
用事實
用良知用人性用合法的手段
完全提倡非暴力
我們才能走到今天
我們才能受到
西方國家
有法治的文明國家的尊重
和信任和合作
任何戰友
當你在這個問題上動搖的時候
我求求您
拜託了
我們惹不起您
我們都是不行的
我們不可能
我們不可能
永遠七哥也不可能
爆料革命新中國聯邦
永遠不可能提倡暴力
永遠不可能
鼓勵種族仇恨
族群仇恨
一概而論的
更不允許
挑起
國家民族
民族之間的所謂的
共產黨製造的這些矛盾
形成大規模的人道災難
這是不可以的
我一再講
我就是要告訴大家
一定要睜大眼睛
千萬不能上了共產黨的當
讓我們以九千萬黨員為敵
九千萬黨員我再重申一遍
99%的黨員
應該大赦豁免
要把極端的決策和執行者
用最嚴厲的刑罰
依法審判
和懲罰
九千萬黨員的家人
絕大多數都是
我們的同胞
我們同樣的兄弟姐妹
愛他們幫他們
與他們在一起
不論在任何國家
任何地方
西方國家危害這些國家安全
在這些國家不尊重法律
不按法行事的
人家國家任何懲罰
咱們都無言評論
無資格評論
我反對
我堅決反對
不對共產黨
這個流氓機制
進行最有效的
經濟打擊
和技術上封鎖
所謂的只懲罰這些人
是挑起種族矛盾的
一大弊端
不是好事不支持
我們聲音很微小
我們不支持人以為你就放個屁
大家那邊愛支持不支持
那就無所謂啊
未來新中國幫力量大了永遠堅持這個原則
還有
我更重要的我要堅持的是
所有的戰友們
當你們遇到
無論他今天是黨員
甚至他今天就是什麼
某局局長
什麼情報局局長
甚至王岐山
他只要支持我們反共
昨天幹啥咱不管
戰友們
不要再告訴我發信息
誰誰誰曾經是黨員
有人發信息什麼老班長過去支持那個
我覺得他更偉大了
謝不說那是真是假
就憑他過去
他在體制內活
他沒選擇的
他現在能加入爆料革命
能承擔這個責任
冒這個風險不更加敬佩嗎
如果今天
王岐山兩人說
我們現在全投奔爆料革命
我們把共產黨給滅了好啊
讓中國擁有
法治民主自由
一人一票選擇政權
這是我們一切的目的的目的的目的
