你们养得起吗?
他说你看看你这个傻子,你懂什么?
你这个小鬼呀!
他说党员只要是占了中国的江山,
三亿到四亿的时候,
他说我告诉你老七,
中国十几亿人口,
中国能有生产力、文明生产力,
影响国家命运的也就是两亿多人,
当时他说就两亿多人,
能加入党员的人,
第一他交党费,
第二他受党约束,
还不但如此,
他们都想有希望当个官,
更重要的事情,
他们最近还互相揭发,
他说当这个精英当中,
80%都是共产党员的时候,
和中国政府的职务都是以党员,
不是党员不让你当副局长,
不让你当局长,你是不可能的,
99%的人你要当处级,
你必须是党员,
他说这是什么?
这是用党员,
用党的系统,
领导全中国的精英,
用党控制的政府资源和职务,
把中国的精英和共产党战车绑在一起,
他说这是谁设计的?
是毛泽东、周恩来,
还有朱德、陈毅,
都是当时所谓共产党的宣言,
还有后来的共产党的修养,
还有刘少奇,
最后还专门写了这本论共产党员的修养,
大家都记住那个本,
我很小时候看过,
这是一个统治这个国家,
全民解党,
绑架社会精英,
让你这些绝大多数的傻叉和奴隶们无力,
不可能跟这个分享国家资源的利益集团的对抗,
这是一个体制,
当你加入共产党员,
生成触及的时候,
你自我感觉就和所有,
包括你穷人的爹妈都不一样,
你们见过多少党员,
愿意生了处长,
甭说生了局长,
还愿意跟爹妈打交道的,
还愿意跟老同学打交道的,
很少的,
他叫特级阶层,
好,
第二句话我问他,
我说这共产党员,
你们要达到什么样的目的呢?
他说基本上,
共产党要达到共产党控制的数量,
就是在全世界和在国内,
全世界和在国内,
达到两个指标,
所有的武力,
所有的国家力量,
要百分之百,
在党控制下,
第二,
所有的资源,
包括财富,
所有的要百分之百,
在党控制下,
这两个百分之百完了,
他说,
他都不可能再造反,
因为精英,
都是既得利益者,
当时我的政治水平,
和当时对共产党的理解,
听说这个就像炸脑袋一样,
原来你有这个想法啊,
原来你有这个想法啊,
就像你当初一个处男,
看到了潘金莲和西门庆,
看到了潘金莲和西门庆,
第一次偷情一样,
人家在床上还没热呢,
高烧45度了都,
因为你没经历过嘛,
因为你没经历过嘛,
一个小处男,
你看著一个西门庆和潘金莲在里边,
看著小人梳,
俩人在床上,
这滑招那滑招的,
那你这灰尘就发烧了,
45度了,
那一会儿我估计,
有个砖缝你都想抠两下子,
甭说是猪了,
你碰到九指腰上的人,
一定是这个结局,
它是个自然反应,
我听完这个当时对我大到不行了,
后来,
我跟更多的共产党高官打交道的时候,
我就注意到,
研究这个人的心理行动,
我看到我的同学,
我的旁边人,
从普通人当党员,
到了党员到升官,
副科级、科级、副处级、处级,
包括到我们企业来的共产党员,
我告诉你,
每个人都他独特的优越感,
他们就觉得和你不一样,
给共产党员带来的优越感,
和共产党员的这种,
所谓的党员相吸,
命运共同体,
垄断资源的优越性和傲慢性,
共产党这招太厉害了。
最后,你再想想,
今天所谓的十四亿人,
事实上中国在十一亿人左右,
绝对不是十四亿人,
是十一亿人左右,
肯定十一亿人左右,
十一亿多不了一千万,
只能少不能多,
现在是所谓的九千万党员,
九千万党员,
他有一个儿子一个闺女,
加上爹妈,
一家乘上四口人,
三点六亿,
一家乘上三口,
两点七,两点八亿。
我们爆料革命当中,
战友正在听我直播的,
很多家人都是党员,
很多你朋友都是党员,
我们几处一扭身,
一转身,
你几乎旁边都是党员,
特别是在京广上身,
这种地方,
你一转身几乎都是党员,
你去个厕所,
可能管厕所都是党员,
这三亿人,
咱能不能把他当成所有人该仇恨的人呢?
兄弟姐妹们,
共产党种下的人尸丸,
种下的中国的毒,
就是共产党,
全党,
全党的党员家属,
控制著中国百分之百的资源,
百分之百的权力。
就是用这个国家的资源,
不分享给你,
这些穷人和这些奴隶,
他掠夺了,
抢夺了所有人应得的利益,
和权力和机会,
他把这所有的东西集中起来,
给了他的党员,
所以才有些人,
精英没有选择的,
在中国,
只有一个选择,
与共产党为伍,
与共产党为伍,
这是另外的概念,
只能在这条路上走下去,
才可能有机会。
人生没有如果,
政治也没有如果,
如果中国有第二个政权,
他们有很多人不会
选择共产党。
即使我在清风看守所期间,
警察和检察院里边,
不是没好人,
是有好人的。
当时把我提审,
告诉我八弟已经死亡的时候,
其中的法官,旁边的检察官,
检察官看到我哭昏过去,
这个检察官
自己也流泪了。
我出来以后专门找过他,
他一闽过去说,
文贵不要提这个事情了,
我们都是人,我们就是混饭吃,
我也有家人,
没抽我一根烟,
我要请他,
我带了个石化饭庄,
我说去石化饭庄吃顿饭,我请你喝个酒。
他说文贵,我绝对不能去。
后来给我写过两封信,
看到裕达见起来,
恭喜我如何如何的,
有好人。
那些在清风看守所被枪毙的人当中,
我就亲眼看过多个,
有人枪毙那些六四的人,
我看到警察站在旁边哭眼泪,
我都是我亲身的经历。
上面那些武警,
也有表示惋惜,
佩服,难受的。
那么今天我们当回到这个问题的时候,
我们有两个选择,兄弟姐妹们。
我们要现在把这种仇恨,
变成行动的话,
那就是我们不是灭共了,
我们就是要灭华,
就把华人给灭了。
就把华人给灭了。
三亿多人吗?
三亿多人,
基本上是人类过去一百年,
所有被杀掉的战争,
和政治,
所有的总和了,
都可能达不到。
你拿什么把这三亿多人都杀了?
你拿什么都把这三亿多人都杀了?
这三亿人杀了,
你觉得是正确的吗?
这三亿人包括不包括
包括你的同学,你的家人,你的同事。
包括不包括我看到的,
明知枪毙了,
冤枉的六四的这些
英雄们,他自己抹泪的人。
这三亿多人,
他本身的爸他妈妈,
或者他姐姐他哥哥,
是党员,是警察,
他甚至是极坏之人,
他没有做过恶事,
你觉得应该对他下手吗?
再一个,这三亿多人
如何来判断
未来他是恶人,
他杀过人,他有罪,
是我们现在用这种方式
能做到的吗?
是用杀戮能解决的吗?
是用仇恨能解决的吗?
把三亿人杀完以后,
这个中国你觉得还存在吗?
你杀的完吗?
共产党要的就是你这个结果,
你杀不完,
你不敢杀,
你也不敢抓,
甚至你不敢为敌,
他就是绑架了
中国全社会的精英,
全社会的所有的
对这个民族国家
能有贡献能力的人。
这就是他中下的毒,
他身上绑上了一个
几亿人的精英的
这么一个定时炸弹,
这是共产党最想要的,
共产党最想要的,
你灭共产党,
你就要灭掉这个族,
灭掉这个国家,
你灭掉共产党,
你就要造成社会动乱,
人类甚至都要出现
彻底灭亡的战争,
这就是共产党的邪恶的地方,
他让我们就是彼此仇恨,
让我们就是彼此仇杀,
往回看,
斗地主,
井冈山,
在延安,
文化大革命,
所有的共产党,
从李大钊回到中国,
哪个革命不是以内部的,
包括国民党共产党,
都是以挑动,
我们内部的仇恨,
阶级,
斗争,
仇杀,
宗教,
族类的各种矛盾,
今天这么大的一个恶魔,
我们还要上这个当,
跟共产党一起,
仇恨我们的同胞,
仇恨这个国家,
我不知道很多战友你们是怎么想的,
在我们下面留言,
那个意思是非常反对,
七哥这个说法,
我请问你,你蹲过监狱吗?
你戴过脚镣手铐吗?
你家人多少人被抓,被杀,被害?
你被剥夺了多少钱?
你用什么手段,
来判定共产党是杀人犯,
是虐囚犯,
是该判的罪人?
你有什么样的智商,
和法律知识,
和你的道德良知,
和可控制的情绪,
在什么样的公平条件下,
能完成一个公平的审判?
在什么样的公平条件下,
能完成一个公平的审判?
全人类的审判都知道,
就像美国法院告诉你一样,
审判不能带来真相,
一个没有监督的审判,
永远不可能有公平和真相。
这个审判,
和所谓的,
现在看到了,
我们说到今天的话题的核心,
对中国的公安和共产党家属,
限旅令,
限签令,限学令的时候,
大家这个时候,
都很开心,幸灾乐祸,
可以理解。
但是我请深刻的请问一下,
美国人,
既然能这么做,
美国人还有很多办法可以做。
美国人和欧洲人,
他们可以查封
所有共产党员,
在美国的非法资产,
比这个容易吧?
非常容易。
为什么不做呢?
美国人可以在六四的时候,
马上宣布,
不承认共产党,
他为什么不做呢?
美国人不用这么做,
马上宣布,
华尔街到中共的投资,
停止,不供应美元,
你觉得共产党能活到今天吗?
还能继续活下去吗?
美国人,
只要宣布,
所有的
科技公司,不能在中国
跟共产党政府合作,
你觉得共产党还技术,
还能有防火墙吗?
美国能把中国的
三大电信公司给它,
彻底踢出美国,
为什么就不允许
停止,
像跟中共现在最核心共产
共产党控制了11个美国太空公司,
同等国家权利,
同等外交权利,这是个基本条件,
你给我一,我给你一,你给我二,我给你二。
中共能限制,
黑掉,
屏蔽,不让使用
Facebook,Twitter,Google,
为什么美国
就不能封掉中国的互联网呢?
任何一个行动,都比
所谓限制中国共产党员,
还有所谓的这些孩子们
上学,
这个事情都快,都能
加速共产党的失望。
美国只要宣布
Thrive,
踢出共产党的人民币的
系统,美元系统,
你觉得比这个
大不大?为什么
美国不做呢?
惩治
共产党,共产党
家园的孩子们,这比
中美断交还可怕。
但是我想告诉你们的事情,
这些孩子,我不能说
全部,绝大多数
都是无辜的。
他们没有选择,
说他们想著
过著好日子,
吃著喝著,爸他妈的,
我请告诉所有的兄弟亲们们,
凡是说这个话的人,
我痛恨
你,我
痛恨你。
我痛恨你。
共产党员的九千万
党员,最起码
有七千万党员,
来自和我们一样的草根。
我郭文贵也是草根。
路德是草根。
路德可能八百万还是体制内的。
安红,
安红是体制内的。
但是我们有多少是草根?
数数。
我到了今天,
共产党的
很多官员里边的,不是
都是官二代和官三代,
很多都是官一代。
他的父母也是
为了要饭吃,
他们没有选择。
他们的孩子过上了
所谓的比你看著好的生活,
是中国社会的妒忌之病
远远超过共产党
这个病毒。
攀附,攀比。
只要你比我好,我只想著把你
拉下来,我从来不想著我超过你。
如果你能像我郭文贵
一样,你做到
你比他强,是共产党
在妒忌你,而不是你
妒忌他。
你才配说
消灭共产党。
这就是我们多年看到的
在海外的欺民贼
伸手要点钱。
共产党看不起你
真共产党看不起
假共产党也看不起你。
你根本没能力
你也没决心,你也不配
所谓是消灭共产党。
你也不可能消灭共产党
因为共产党的剩下的肉渣
都会让你变成一个咬尾巴的狗。
这不是你仇恨共产党
共产党的家人,是你妒忌
是你的无能,是你的
失败。
你仇恨共产党
去了。你在美国
你仇恨什么
民主党,或者仇恨共产党,你总有
仇恨的地方。因为你的
骨子里边,你的内心
世界里边,你就是个输子
你就是个loser。
你有本事
你有能力
你行动
你把共产党的资产在美国查封了
在欧洲给它查封了
你有本事在美国
在欧洲查出共产党高官的
孩子在这腐败犯罪
你是牛人
我给你磕头
我给你
舔脚,我给你舔你的定
你就这么一概而论
就要求别人
你自己做不到
你就要求别人
要把所有共产党全消灭掉
请你自己干去
爆料革命
新中国联邦的宣言写的非常清楚
99.9%
的党员都要大赦
当然包括他的家人了
他必须要大赦
我们是反共,灭共
不灭华
我们是维护
中国人的安全和利益是排在第一位的
共产党员
他们的家人和孩子
他们没有选择
情况下,或者他们根本没有犯罪
也没有犯罪动机的情况下
是应该得到保护的
他犯法了,偷美国技术了
当燕子了,当蛇了,当间谍了
有非法财富,依法审判
越多越好
在我们的爆料革命里边
我们有四个原则
非常清楚
坚决灭共
客户
只灭掉那些对人类
对中国,对民族
对历史,对所有的
少数民族带来
巨大威胁的决策者
和巨大的贪官和腐败者
和所谓的
必须承担党内
和党外,所有的行为结果者
极少数的
必须用斩首审判
国际审判,甚至各种手段
处之
这是一个坚决灭共
九十一二九都是要
大赦
第二条
坚决灭共
维护中华民族和
国家的利益
不分裂
不暴力
这是第二条
坚决维护,不能把这个中国
整没国家了
你觉得中国真的没有这个国家
这西方世界真的就让中国
有民主自由吗?我不相信
你这就是看到了
为什么华尔街、华盛顿
伦敦、欧洲
影响他们利益的时候
影响他们利益的时候,他没有任何行动
他们本来可以行动,他为啥不行动
共产党到今天的罪魁祸首
是美利坚共和国和欧洲的
贪婪者
腐败者
没有信仰的
西方资本主义的
这些贪婪的魔鬼们
把中国打成十分
八裂
我们都将成为永远的奴隶
只是穿著中国的
假的耐克的奴隶
还是穿著西装的奴隶
这是不可以的
绝对不允许
我们成为
这个中国国家
十分八裂的罪魁祸首
不可能
我们要的是
