start	end	text
960	3360	哎呀 5月20號
4000	5600	尊敬的戰友們好
6160	7600	你們健身了嗎
8000	9840	傳播CCP病毒
9840	11760	向黨媒體震一下了啊
12240	12840	呜
13280	14440	吵英文者了我呀
14920	15840	哎呀我的媽呀
16440	18720	自從齊哥昨天亂聊直播
19200	20120	說這個要
20240	22720	要搞一個躺屏蔽的想法以後
23200	24240	我的天呐
24800	26520	很多人很忠實啊
27080	27720	哇塞
28400	29920	國內炸了鍋了也啊
30440	32040	第二個這幾天的虛擬貨幣
32040	33720	包括比特幣的大跌是吧
34040	35720	很多人證明了齊哥的眼光
35720	38000	和對虛擬貨幣的獨到的見解
38480	40520	啊都是佩服至極啊
41000	43520	很多我們的朋友和戰友也賠了錢了
44400	45400	啊沒辦法
45400	47200	齊哥有時候就是這麼牛啊
47320	48360	不好意思了啊
48680	50000	所以說還得繼續牛
50000	52280	齊哥牛的時候還真沒表現出來呢
52680	53760	因為他不是我吹的
54000	56520	當年蓋裕達蓋盤古七星酒店啊
56520	58440	我搞房地產的時候我搞金融的時候
58720	60480	沒有中國所謂的這個大坑啊
60480	61280	一個都沒有
61880	62600	啊
63040	64600	這些人在哪了啊
64600	66160	現在都什麼樣了是吧
66280	68040	齊哥有說的笨錢啊
68440	70040	所以說這一點都不謙虛啊
70480	71680	我從來不會大偷
72680	73720	大家要看到的
74880	77600	這個過去幾天啊過去幾天來
78120	79600	所有的國內的戰友
79880	82000	你們給我傳遞出來的信息啊
82000	85400	文貴爆料革命新中國聯盟都會記錄在這
85880	87720	我們有一個功勞本啊
87760	88760	非常的秘密
88760	90280	在極度保密情況下
90280	93000	每一天都會記載所有的
93800	96240	戰友們的這個幫助的信息啊
96240	98520	專門有在國際上有中國團隊在做
99080	101040	這幾天戰友傳達的信息啊
101280	103840	由楊娘娘啊楊潔篪
104120	106240	和王公公王岐山啊
106520	108560	親自抄盤啊
109080	110920	要在世界上媒體上
111720	113480	對我們爆料革命新中國聯盟
113480	116160	對郭文貴和班農還有閆麗夢啊
116480	118000	進行個所謂的
119000	121200	全面的下狠手的
121480	123600	超常規手段的進行攻擊
124480	126840	那無非是操縱嚴肅媒體
127240	128080	採訪你
128080	131800	然後編輯出一個大的一個抹黑你的
132400	134520	然後呢把班農什麼再造謠
135240	136800	包括我們的這幾個多了
136800	139240	賽林博士這都是我們戰友啊造謠
139600	140720	閆麗夢博士啊
140720	143240	閆麗夢博士估計真的會有雙胞胎出來了
144000	146880	就是要把我們說成爆料革命新中國聯盟
147160	151560	是挑起亞裔人和西方社群種族矛盾的揮揮霍首
151560	152280	這是第一條
152480	154400	像那天那個媒體採訪我
154640	155640	到最後就是這個
155880	158480	第二個我們屬於有暴力強強組織
158720	161320	攻擊啊像亂倫彪這個孫子
161320	163560	是他第一個攻擊我的亂倫彪
163680	165440	說我亂倫我侄兒媳婦
165640	167000	然後大家叫做亂倫彪
167000	168520	我我才說他叫亂倫
168640	170720	結果他說說我說他搶劫
170720	171840	這把電腦黑白
172400	174440	就像那個把不負這個孫子
174680	177240	他拿著槍到上街威脅我們的
177560	180960	和平抗議的這個這個這些同胞們
181160	182640	他竟然說我們是暴力
182640	184480	就這個電腦黑白這個孫子啊
185160	187400	那麼這個就是現在王公公啊
187400	190320	楊娘娘正在發動的啊
190320	192600	醉翁之意不在酒啊
192840	196200	他在的是攻擊我們的洗幣啊
196200	197240	洗刀了
197960	199640	GTV G-News
199640	201680	這屬於新中國聯邦的平凱
202160	203680	雖然不歸我們所有
203680	205400	但他支持我們的爆料革命
205400	207520	支持我們的滅共事業
207800	209680	因為我們傷害的就是他們
211280	213120	包括在國內大肆的宣傳
213440	214720	就像那些那個記者說
214720	216880	是因為你們啊
217080	219080	挑讓世界來恨中國
219240	222160	恨中國人恨這個恨亞裔啊
222280	223080	這是他的核心
223080	223920	默黑咱
224360	225240	務必小心
225560	226120	然後呢
226120	228160	讓咱們成為種族主義者
228880	230280	暴力窮相主義者
230280	231080	完全電腦黑白
231080	232600	恰恰咱是反暴力主義者
232880	233960	反種族主義者
234280	236040	然後讓我們的G系列
236040	237440	沒法支持新中國聯邦
238080	239320	再次的鼓勵我們
240200	243640	然後最近又培養了一批燕子啊
