start	end	text
1000	2680	尊敬的战友们好啊
2680	4920	今天是5月29号
4920	5240	哎呀
5240	8280	我是昨天晚上又是一个长夜啊
8280	9480	工作
9480	10200	这个是
10200	12080	然后早上起来睡个觉
12080	13000	赶快啊
13000	13960	给大家发给他
13960	14500	又晚了
14500	15720	抱歉
15720	19720	这个这几天大家知道都是世界大事啊
19720	21080	层出无穷
21080	21800	不但如此
21800	26000	咱们爆料革命新中国联邦的大事也是一个接著一个啊
26000	27200	赶紧两组
27200	27360	哎
27360	30040	我就觉得太多话要和战友们说了
30040	31520	其中一个比较重要的事情
31520	33240	我真发现个人生啊
33240	35040	挣钱啊
35040	37360	还有什么结婚生子啊
37360	38960	什么都不是最难的
38960	42400	最难的是救人啊
42400	45240	这个救人从某种困难中救人
45240	49560	从这个共产党的控制的中共国往外救人啊
49560	53440	在一个被郁弄被洗脑的那种清醒的救过来
53440	55440	太难了
55440	57640	干除疗毒啊
57640	58920	就这个大疫苗吧
58920	60000	该不该打疫苗了
60000	60840	多少人
60840	63520	亲人朋友杀活过大疫苗
63520	67200	大家知道这个大疫苗的后果有多严重啊
67200	68120	这是一个
68120	69760	第二个这几天啊
69760	71200	从过去从香港救人
71200	72600	从大陆往外救人
72600	73480	这个往外救人
73480	77560	再发现中共国就是个监狱呀啊
77560	81000	这个中共国这些年就有一个产业链啊
81000	82080	就是干这个的
82080	83720	他这个产业链是为了钱
83760	85600	当我们为了正义去救人的时候
85600	87440	太难了
87440	88400	太难了
88400	91680	原来从中共国出来又这么难
91680	95640	战友们出来的人珍惜自由吧
95640	98600	再一个是从骗局中被救出来的战友
98600	100360	从骗局中救出来
100360	101280	能清醒
101280	102040	能冷静
102040	104440	认识自己在被骗
104440	106080	像比特币
106080	107240	我说过不太多
107240	108640	比特币最后什么都没有
109720	111560	你说他一个没有老板
111560	112320	没有人
112320	113760	没有人知道是谁
113760	115600	也不能消费的东西
115600	116600	你说你买他
116600	117880	你又不能用
117880	119440	你就等著升值赚钱
119440	121320	你咋就这么聪明了
121320	122480	人家搞了个骗局
122480	123800	人不比你聪明吗
123800	125360	你咋能挣钱呢
125360	126040	是吧
126040	127160	你不像他洗币
127160	128520	他有百分之二十的黄金
128520	129600	他可以回到美元
129600	131600	你可以马上拿钱走
131600	132120	是吧
132120	133360	而且老板是谁
133360	134120	公司是谁
134120	135160	清清楚楚
135160	136560	他不可能啊
136560	137480	是吧
137480	139360	那么你现在想到的事情
139360	140440	你想要炒比特币
140440	141080	炒火币
142080	143520	那个
143520	144400	火币的老板
144400	145680	李老板
145680	147240	三天前
147240	148920	在国家安全委
148920	150200	金融委
150200	152480	所有的专案纸面前
152480	154920	隆重写下担保书
154920	157280	所有火币
157280	158720	中国客户进钱
158720	159560	每分钱
159560	161920	同时把那传到国家安全中心去
163800	165040	这个火币的老板
165040	165800	如果你不服
165800	167120	你可以问问
167120	169840	你是哪时哪刻进的
169840	170560	这个办公室
170600	172120	谁给你谈的话
172120	173000	我现在可以告诉你
