start	end	text
0	2000	你看啊 极凡神 极凡神
2000	4000	你看这个
4000	6000	是吧
6000	8000	咋样
8000	10000	咋样
10000	12000	你看这个衣服 你看
12000	14000	穿着这个夹克这样
14000	16000	衣服 你看
16000	18000	拉开 就这样
18000	20000	你看这个衣服
20000	22000	你看这个衣服
22000	24000	你看这个衣服
24000	26000	你看这个衣服
26000	28000	你看这个衣服
28000	30000	你看 拉开 就这样
30000	32000	是吧
32000	34000	拉开就破牙关
34000	36000	你看 拉上就这样
40000	42000	所以这个服装的搭配
42000	44000	它就这么神奇
44000	46000	那么你想想
46000	48000	这件衣服啊
48000	50000	三千美金 五千美金 你会买吗
50000	52000	就这细节
52000	54000	你会买吗
54000	56000	看到没有
56000	58000	这个细节 这个料子
58000	60000	大家看到这个料子了吗
60000	62000	啊 极凡神
62000	64000	是吧 大家看到了
64000	66000	但是 我想给大家说的事情
66000	68000	这件衣服是爱马仕的
68000	70000	原厂的
70000	72000	爱马仕卖是三千美金的 还有五千美金的
72000	74000	那大家你会去
74000	76000	花三千五金去买
76000	78000	这个爱马仕这个衣服吗
78000	80000	对吧 你会买吗
80000	82000	你可以看这个logo
82000	84000	这就是爱马仕原厂 看到没有
84000	86000	就这么细节
90000	92000	像这个
92000	94000	这些衣服
94000	96000	这个鞋子里边是
96000	98000	像袜子的底似的
98000	100000	实际上看上去
100000	102000	跟旅游鞋是一模一样的
102000	104000	跟耐克的李子
104000	106000	外面的皮子
106000	108000	这双鞋八千多美金
108000	110000	你会买吗
110000	112000	就这么简单一个鞋八千多美金
112000	114000	这就是我们为难了
114000	116000	齐凡慎
116000	118000	你到底做什么样的衣服
118000	120000	我们做一模一样
120000	122000	这个爱马仕产生
122000	124000	就这个厂给它产生出来的
124000	126000	咱卖多少钱呢
126000	128000	咱放到咱们的齐凡慎
128000	130000	咱们的公开卖的话
130000	132000	大概一千美金
132000	134000	这是市场价格
134000	136000	卖给战友是多少钱呢
136000	138000	五百美金
138000	140000	五百美金
140000	142000	五百美金是人家的十分之一
144000	146000	十分之一啊
146000	148000	你说有啥钱赚没啥钱赚
148000	150000	基本上赔本的买卖
150000	152000	这双鞋
152000	154000	咱们卖最多是
154000	156000	公开价格
156000	158000	咱们市场价格没有卡的价格
158000	160000	一千五美金
160000	162000	但是如果是
162000	164000	你看这里面这是个软皮
164000	166000	像耐克一样的
166000	168000	很软的
168000	170000	像旅游鞋那么舒服
170000	172000	然后小羊皮和小牛皮做的
172000	174000	然后皮的袋
174000	176000	那这个咱最多也是一千五百美金
176000	178000	放在咱的山上面
178000	180000	战友买七百美金
180000	182000	十分之一的价格
184000	186000	那你想想战友们
186000	188000	你们会不会买啊
188000	190000	你咋想呢你佛佛
192000	194000	是吧
194000	196000	是吧
196000	198000	严格讲
198000	200000	这个友好
200000	202000	哇塞你想
202000	204000	兄弟姐妹们
208000	210000	你就是
210000	212000	争一瓶喝的
212000	214000	饮料都没有
216000	218000	但是
218000	220000	兄弟姐妹们这就是欺犯
220000	222000	是吧
224000	226000	就像战友穿上
226000	228000	世界最顶级品牌
228000	230000	一模一样的材质
230000	232000	一个厂的产品
232000	234000	但是我们要它做出来
234000	236000	最好的品质
236000	238000	同样的料子
238000	240000	十分之一或者是
240000	242000	八分之一五分之一的价格
246000	248000	但是走量是不可能的
248000	250000	每个人看我穿都要买
250000	252000	可能说在哪买的
252000	254000	可能说在哪买的
254000	256000	在哪弄啊
256000	258000	我们正在憋大招呢
268000	270000	摄像师在这我不敢说
270000	272000	咱们与谎面共
274000	276000	明天我爆扣妹的料啊
276000	278000	我担心
278000	280000	爆完扣妹的料扣妹离婚咋办呢
280000	282000	今天扣妹的节目
282000	284000	真是做的太棒了
284000	286000	我要就是感觉
286000	288000	发自内心的亲身经历
288000	290000	不是听来的谁说谁
290000	292000	亲身的经历
292000	294000	看到共产党是如何面对
294000	296000	所谓的他们的人民
296000	298000	所谓的人民的功夫
298000	300000	怎么对待他们的人民的
300000	302000	我让大家看看
302000	304000	这就是以谎灭共
304000	306000	我该才了
