start	end	text
1000	2200	再来一段啊
2680	4880	这个另外一个兄弟姐妹们要看到
4880	7560	就国内这个整个的这个经济啊
7920	9480	整个社会的环境
9800	12440	就是北京加个油都不行啊
12440	14600	取钱取不出来啊
14600	16200	把菜刀都不让买
16520	18600	把大部分人的给圈起来
18760	20520	那就甭想提上访了
20960	22080	那这种情况下
22080	23800	还所谓的共产党代表
23960	25760	共产党完成了上个一百年
25760	27040	接着再来一百年
27160	28120	哪有这样弄的吗
28120	29760	强奸一个国家一百年
29920	30920	杀人杀一百年
30920	32320	然后你再让我继续杀你们
32320	33400	强奸你们一百年
33560	34680	这种流氓逻辑
35160	38360	共产党这次的百年零诞
39440	40720	在很大程度上
40720	44520	就把中共国的不仅三国政治进入剿杀将军
44640	46520	也把真正的民心
47120	49320	把真正的中国老百姓给唤醒了
50160	51120	不但如此
51200	52440	大家还能看到
53480	56120	这是我们新中国联邦希望发生的
56240	58520	就老百姓的贫困的生活
59160	62000	和老百姓整个社会的这种穷苦
62440	64920	和被洗脑后的这种愚昧
65440	69320	在电视机前这个屏框里给展示出来的时候
69800	71400	实际上大家不要忘了
71800	74440	这就是爆料革命新中国联邦的力量
74680	77640	要广泛的使用媒体传播
78160	80440	这是比核武器还厉害的武器
80880	82240	特别社交媒体
83240	85960	因为老百姓足见明白
86920	88720	这个完之后很多人
89160	89960	内部的人
90400	92400	是朋友不一定是战友
92720	93720	都在说文贵
93840	96640	我们真看到共产党完蛋了
98840	100560	很多过去的人都不说
100560	101280	现在一说
101400	103840	共产党你完球蛋了
103840	104920	都在跟我说
106240	108360	为什么?他比较身边的人呢
108360	109840	他比较发生的事儿
110200	111960	特别到银行取不出来钱
112600	113880	你看病看得起吗?
114680	115240	是不是?
115640	117080	然后挑战美帝国主义
117400	118240	昨天晚上
119040	123400	上海的某位领导这几年来都是跟我联系的
123400	125520	你看实际上共产党找他谈过话
125520	127280	说你别老跟郭文贵同话什么的
127480	128440	他就是跟我同话
128600	129600	咋的了?是不是?
129760	130880	这哥们挺有意思
132000	133400	我专门给他谈了一点
133800	137680	我说你看美国和中共国的最大的不同是什么
139600	142640	我说美国是已经玩的所有的游戏
143040	143560	是什么?
143560	144800	他把地球
145320	146840	他叫做全球村
147040	148040	叫地球村
149520	151480	然后发展到太空去了
152040	156280	然后再玩手机玩科技上天空中去财富
157680	159360	这个共产党是什么?
159480	162120	他把一个国家变成他家了
162800	164520	把国变成了家了
164880	167680	把家又变成是一个人说了算了
168320	171600	我说你说人家把地球变成一个村
171760	174160	村里边还有民主还有自由选举
175120	176480	这是什么意思?
176480	178240	一个把一个国变成自己家了
178240	182200	那你说你的死亡和未来是可以明确的
182200	184080	你必然被干死吗?
184480	185360	谁受得了啊?
185440	186520	都知道外面的世界
186520	187720	这国不是你的
187720	188880	这国是我们的
188960	190080	是一人一票选出来的
190080	190920	他逼弄你
191760	193520	第二个我说美国伟大在哪里啊?
193760	196480	美国人就这么贪婪的资本主义社会
196480	197520	这么多坏人
197880	201000	他包容着全世界的各民族到美国来
201120	203880	包括我们所有的人都占美国便宜
203960	205280	都到这避难来的
205440	208400	天天骂骂唧唧的美国在这享受最好的待遇
208880	210400	他有着一切的包容
210400	211560	而且全球性的
212440	214640	他聚集了全人类的人才
214640	216160	和全人类的财富
216160	217320	全人类的智慧
217320	218360	共产党呢
218360	219880	把所有有本事的
219880	221440	有点脑子的人杀了
221440	222080	抓了
222080	223080	撵出去了
223680	226160	然后把他那些所谓的就刘备的阿斗
226160	227080	给扶上去
227560	229360	还有一帮子奸贼
229360	231280	就像许忧那种烂人
231280	231800	是吧
232640	235000	我说这两国之间的未来又可见
235000	235880	他说对对对
236480	238240	我第三个最可怕的是
238240	239920	这个国家这么贪婪
239920	241560	他有上天啊
241560	242600	他对大自然
242600	243400	他对上天
243400	244880	他有神啊
244880	246680	他有他对人尊重啊
246680	248520	你不能随便杀一个人啊
248520	249960	在美国你随便杀个狗
249960	251360	你都要进监狱的
251360	253240	你虐待狗都要进监狱的
253240	253920	他有天
253920	254560	他有地
254560	255240	他有动物
255240	256240	他有自然
256240	258920	他真的是有一个对生命的尊重啊
258920	260280	共产党啊
260280	261320	他是神
261320	262640	他要灭掉所有的神
262640	263240	他当神
264800	267040	他要把所有的自然生命全毁掉
267040	267720	炖狗肉
267720	268400	吃狗肉
268400	269080	狗肉包子
269080	269760	狗肉饺子
270920	272240	什么都吃
272240	274480	老鼠肉公开在卖
274480	277600	现在你还到处吃胎盘呢
277600	279160	他能有未来吗
287240	288320	对吧
288320	290240	他能有未来吗
290240	290920	传出去
290920	291880	这回挺快啊
293960	295600	我说这样相比之下
295600	297360	没比较没伤害
297360	299760	没比较没真相
299760	301880	我说你昨天在天安门上就那些人
301880	303200	人家美国要搞那个活动
303200	304360	那不分分钟吗
305680	307040	你能开出在天安门上
307040	308560	开出一个B52轰炸机
308560	310080	人家都几十年前了
310080	311480	你能开出一个航空母舰
311480	312720	大清朝都有航空母舰了
314960	315440	你能
315440	317280	你能有一个自主产权的汽车吗
317280	319160	你能造出一个芯片吗
319160	320760	华为都去养猪去了
323560	325960	你说中共国你那些基础设施
325960	328200	那是人家美国盖纽约麦哈顿的时候
328200	330440	是你大清朝的时候
330440	332240	人家都有整个社交
332240	334680	整个世界最现代化的建筑
334680	336200	现在还笑话人家成老了
336200	338400	你知道人家啥时候建的吗
338400	339680	是你共产党还没
339680	341600	你共产党还没开花结果呢
341600	343240	你还在娘摊里转悠的时候
343240	344520	人家美国就有麦哈顿了
344520	345720	知道吧
345720	347040	人家当时都有汽车了
347040	347880	知道吧
348920	351960	你从1913到最后你骗来骗去
351960	353880	1921年
353880	355440	到了2021年
355440	357400	你当时你选了7月1号
357400	358480	所谓的大日子
358480	360960	叫乾坤之日
360960	365760	你让这个国民党和带着中国人去跟日本抗战
365760	369840	干死百万华西人抗日
369840	373120	最后是你把国民党给收买贿赂
373160	375080	你是靠腐败贿弱
375080	377520	蓝金黄发家的好不好
377520	379280	挑拨内战的好不好
380680	384360	然后百年后有个不要脸的东西在那继续说
384360	385720	当年的五四运动
385720	387600	你还有脸说五四运动
387600	391760	五四运动不是要给中国人送来美国式的民主生活吗
391760	394600	五四运动不是让人民当家做主吗
394600	396160	不是要推翻地主
396160	398680	以后让所有中国人拥有自己的土地吗
398880	402040	你现在百年后跟西方决裂
402040	403920	你还想灭掉美国
403920	405240	还要灭掉耶稣
405240	406200	灭掉基督
407200	409360	当年还说你救了犹太人
409360	411720	然后现在最反犹的就是你们
412880	413520	为什么
413520	415640	你们是见钱就是娘啊
415640	416920	见钱就是爹啊
417960	419240	所以说站在天安门上
419240	420600	他讲的每句话
420600	422920	每个字站在里面好好分析
422920	424840	没有一句是真的
424840	426600	没有一句是真的
426640	427640	就这
427640	429040	还有人信吗
429040	430840	所以这位上海老领导说
430840	431840	文贵
432840	435360	现在我想想这些年
435360	436480	交你这个朋友
436480	437960	我这辈子值了
437960	438760	我不
438760	440360	我坚决反对你
440360	441880	消灭共产党
441880	443560	但我坚决你
443560	446200	支持你现在所有干的事情和你说的话
448680	450480	这就是咱们爆料革命
451520	452720	我相信
452720	454000	我们这些人
454200	457920	我相信天安门广场上无数人是我们的战友
459280	460440	俺傻子不服了
460440	461040	来人儿了
461040	462040	俺开会去了
462040	463040	两个会来
