start	end	text
0	8440	正经的兄弟姐妹好啊 战友们好 这是7月6号 真快啊
8440	10760	这一晃就到7月6号了
10760	15800	这个是昨天晚上一直很多很多时间都在跟这个国内的战友来通话
15800	21440	就七一和七四前后啊 这个共产党现在分赃啊 又一波的分赃
21440	25400	但是最近发生这么多大事情 共产党内部乱了球套了啊
25400	28520	最大的问题就过去压 大点万达
29480	35720	压这个马云的 压蚂蚁金服的 还有压平安集团 陆金索的
35720	39600	然后再压滴滴打车的 这些是哪儿轮到老百姓了 是不是
39600	43640	你甭说是初始投资了 第十个轮不着咱老百姓了
43640	45320	一辈子轮不着老百姓了
45320	51160	那都被当地的所谓的政府啊 省长 省委书记啊 市委书记也都轮不着
51160	55000	然后呢 大量的那个共产党的什么证监会呀
55040	59880	人民银行啊 银监会呀 社会纳会的 全给弄走了
59880	64880	什么人大常委的 政法委的 是不是 国安委的 军队的 都分完了
66000	69880	那么你看 蚂蚁金服 把这些人的梦给灭了
69880	74760	大点万达 很多人弄走这钱 很多人大钱都弄走
74760	78960	这个恒大 摇摇欲坠 随时都蹦他 是不是啊
78960	84960	叶简明 车峰 肖宪华 把很多共产党家人的梦都给弄没了
85000	88680	现在就剩下一个陆金锁 海航也完了 是不是啊
88680	92440	北大方证也把这些人都毁了 北大系的利益集团毁了
92440	96080	海航把航空船 王岐山也快毁了 是不是啊
96080	99680	这王岐山家现在最伟大的是骨髓河 还有火葬场
99680	103200	是墓地 养老产业 是王岐山家的
103200	106160	那么再一个就是王岐山的陆金锁 平安集团
106160	109160	那么很大的方面滴滴打车也有他们家 是不是
109160	114440	结果好 滴滴打车就没了 现在都恨死习近平了
114440	118280	国内的人都说 最想杀的就是习近平那帮人
118280	122880	恨死了吧 恨习近平的时候都希望我们赢了
122880	124960	就觉得郭文贵要赢了 我们就有机会了
124960	128040	能把我们的钱拿回来 就这样
128040	131040	所以说现在共产党那波真是玩球蛋了
131040	134160	这个国家就像当年的国民党一样
134160	139800	四大家族 都来都去 被共产党从旁边给利用了
139800	141920	然后搓着他们去打着 跟日本打仗
141920	143560	结果好 日本把国民党给杀了
143560	146160	结果共产党把国民党给灭了
146160	150880	一样的道理 现在这是最关键的时刻是什么
150880	154440	是全人类 刚刚一位美国朋友给我发信息说一下
154440	157800	他说我相信 非常快的时间内
157800	160880	这个世界上跟共产党之间的关系
160880	164280	和善恶之间的关系 和病毒真相
164280	167080	所有的这些问题会有一个对决
167080	168640	我认为他说的是对的
168640	171920	我不相信黑暗能吞噬了太阳
171960	175840	我绝不相信共产党能继续在这世界上生存下去
175840	179920	我更不相信 还剩一路金所没倒了
179920	182680	基本全倒完了 剩下就是国企了
182680	185360	一个月我还要倒了 民生银行马上倒
185360	188880	圣经完蛋 百分之百完蛋 招商银行完蛋
188880	193720	那几大家族 你想想最后他找谁出气去啊
193720	197400	就找这企业家里出气 都弄死个球的了
197400	201760	那么现在就搞这个所谓的虚拟 人民币虚拟化
201800	204920	数字化的人民币 大家都知道这抢钱的嘛
204920	207640	今天数字化的人民币和国民党的
207640	210960	最后离开大陆的金银券一模一样
210960	212160	就是没有 啥也没有
212160	214600	那时候是跟金银挂钩 现在跟啥也不挂钩了
214600	217160	一样 对吧
217160	219480	那么从这些种种现象来看
219480	221960	共产党是屎球蛋 玩球蛋
221960	225200	同时 大家要看到 这几天啊
225200	229200	这个各方面 咱们的这个初期神兵
229240	233160	我的部分了吧 大家都看到了 国内震撼 是吧
233160	234800	咱是行动派
234800	238400	另外一个 G club 会给你带来更加想象不到的
238400	241080	一系列的 都没开始呢
241080	245480	不要说一切都是刚来 还没开始呢
245480	248280	哎呀 你说这我又想起手指了
248280	252000	又想起那个 哎呦 这样
252680	258000	400444434加5 就是9指1
258000	261040	就像9指1 什么台湾的维辛吶
