start	end	text
0	1480	这个不知道什么回事儿呢
2480	4800	现在基本同步了
4800	6760	好 兄弟姐妹们
6760	9080	今天几月几号我得看一看
9080	11280	6月14号 7月14号
11280	14600	真正的兄弟姐妹们大家好 7月14号
14600	17720	七哥文贵跟战友们今天
17720	20280	这个乱聊直播
20280	24360	我在乱聊直播前跟战友们先聊几个
24360	26440	大家我相信啊
26440	28440	都在问的问题
28880	30840	也都在想的问题
30840	33560	我想大家还是要分享一下
33560	35240	咱今天的直播呢
35240	37520	咱就是谈这个话题
37520	40640	我请问所有的兄弟姐妹们战友们
40640	42720	你们自己想一想
42720	44960	我们的使命是干什么的
44960	47960	是消灭共产党
47960	49880	消灭共产党
49880	53760	如果你真的相信这份事业能干成功的话
53800	57000	你觉得像这个
57000	58120	王定刚
58120	59040	灭亡的王
59040	60520	光定的定
60520	61960	这个刚是水刚的刚
61960	63000	王定刚
63000	64160	大家壹定要记住啊
64160	65680	从此该这么叫他
65680	66960	叫王定刚
66960	68040	叫这什么
68040	69520	陆德
69520	71160	陆德骗
71160	72520	骗陆德都行
72520	74920	陆德骗王定刚
74920	76280	或王定格
76280	78200	陆大脑袋都行
78200	80400	但壹定叫他王定刚
80400	81880	他不刚减了肥吗
81880	82160	是不是
82160	83600	咱帮他这个
83600	85400	各方面上多让他减点肥
85400	86760	大家你们记住我的话啊
86760	88160	多叫这个
88160	89480	过几个月你就知道了
89480	90680	念念不忘
90680	91800	必有回响
91800	93080	王定刚
93080	95080	这个闫丽梦
95080	97560	这个妖精就叫他蛇
97560	99240	叫蛇惊炎
99240	100320	蛇妖炎
100320	101000	蛇妖炎
101000	102840	定名为蛇妖炎
102840	105040	我看到很多战友都这么叫了
105040	106680	在这之前也都叫他王定刚
106680	108320	这咋能起得好
108320	109320	说到这的时候呢
109320	111840	在我们在这个正在
111840	114120	我相信在相机前面
114120	115440	在国内
115440	118440	四川武当山上
118440	120880	武当山上有壹个咱们的战友
120880	122160	叫金云
122160	123360	金云兄弟
123360	126000	文贵在此跟您感谢了啊
126000	126920	感谢了啊
126920	128000	咱是道家的
128000	129040	因为这是道家战友
129040	131640	咱就行道家礼了
131640	132720	道家礼了啊
134000	135320	这个金云先生啊
135320	137000	是我们的老战友
137000	139640	从这个2017年到现在
139640	143600	他是壹个年龄比我大将近壹半
143600	144760	快几百的人了
144760	145760	是我的老朋友
146840	150600	这个蛇妖炎最早出来的时候
150600	152720	我们俩搞过不愉快
152720	154080	他第壹次看到他出镜
154080	155080	他说七哥
156280	157840	这个人你就错了
157840	159560	他说他是壹个蛇惊
159560	161360	蛇惊变的
161360	162360	我说你这
162360	165040	你咋看人叫蛇惊变的呀
165040	166040	他说他是个蛇惊
167040	169400	然后说这个王定刚啊
169480	172240	王定刚这个家伙就是个赖蛤蟆变的
172240	174200	他说这俩人见面以后
174200	176280	他必将粘合在壹起
176280	177840	而且这俩人会给他
