start	end	text
0	30000	沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿�
30000	60000	沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,�
60000	66520	沿途沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿途的沙漠,沿
66520	67400	� instant
67400	75720	疏
75720	76320	崔
76320	80320	chap
80320	84440	洗
84440	85200	侮
85200	88640	默
88640	92300	郑州河南新乡的同胞们祈福
92940	95300	万佛万神 水神龙神 自由女神
95700	99260	同时我们要感谢自由女神
99940	103700	万佛万神替我们铲掉了蛇腰炎
104380	106700	和鹿大脑袋路片的王定刚
106980	108340	拔除了我们的隐患
109300	112380	感谢了 感谢了 感谢了 你看看
113460	115900	感谢了 感谢了 灵啊 灵啊 灵啊
116300	117140	第三个
117480	120800	我要感谢在自由女神万佛万神的保护下
121240	125240	洗地 今天 第一 今天是正式的上线
125720	129920	洗刀了 可以正式的买洗矿银
130760	132800	H dollar by H矿银
133400	135720	这是一场巨大的革命
136760	138920	很多人的命运将因此被改变
139640	142440	所以说我们要感谢万佛万神 感谢自由女神
142800	146920	这三条 为郑州的同胞们平安祈福
147880	152960	早日的重建家园 得天助 得自由女神助
153760	154840	灭掉共产党
155800	160280	同时感谢万佛万神 把我们铲掉了蛇腰炎
160520	163360	鹿大脑袋路片子 继续铲腰
164240	166720	第三个让我们爆料革命的真战友灭共的
166800	167800	咱们的兄弟姐妹们
168200	170480	获得了我们中国人有史以来
170480	172600	在海外的拥有的金融平台
173880	175400	洗美元直接可以买
175900	179300	洗币 这是一场什么样的革命
179980	181180	不懂的不需要懂
181620	183500	懂的人你们明白的兄弟姐妹们
183940	184700	啥都不懂了
185460	187500	哎呀 你看他买啥子 你看他买啥子
188300	191140	哎呀我的妈呀 啊 太漂亮了
191660	192460	Let's go
194460	195660	这自由女神太漂亮了
196580	197700	这自由女神真是太漂亮了
197700	199860	我得有冰棍让我吃一个 我的天
206140	208500	哎呀哎呀哎呀哎呀哎呀哎呀哎呀哎呀
212100	213220	这已经回冰棍了
224660	226620	哇 转啊
228140	229700	在自由女神的前面
230420	232220	啊 吃到冰棍
235540	236820	何耀元 王定刚
238260	241060	他在一辈子也没有机会来拜自由女神了
241860	242620	走著看吧
244260	247340	我们的战友们我们将无数次的在这里相聚
250820	251380	懂了吧
253100	254380	哈哈 好了
