start	end	text
0	7920	哎 来了来了来了 4月15号 七哥乱聊直播
7920	13520	乱聊直播 七哥乱聊直播 这光咋这样啊
16320	20560	这样呢 往这样点呢 这样笼笼 这样笼笼
20560	31640	七哥乱聊直播 七哥红火火 4月15号 尊敬的战友们
31640	34720	哎呦我的妈呀 这一下上来就900人 哎呦我的天呐
34720	38760	911了现在已经 今天还断吗 今天还断不断呢
38760	43160	七哥梦梦呐 东京樱花团 东京樱花团
43480	48840	Virgin Power 托米 东京樱花团 建飞针 土清风
48840	56200	FanQing99414 TXQ Frey 骨感 喜气哥 坐禅
56200	64360	真相只有一个 来了来了来了 螳螂挡壁 螳螂挡壁
64360	86120	我本画一朵 我本画一朵 被拐骗山中 从此亲人又相隔
86120	97720	囚禁二十年 我受尽了折磨 这个世界不要我
116200	118840	好了 开始啊 兄弟妹们啊 为啥
118840	122440	刚才我看到咱们今天七哥不在的七哥大直播
122440	128440	今天我觉得TX主持的非常好 文艺妹妹非常漂亮
128440	133160	NICO今天是一谈到这个雪碧 就马上兴奋
136280	141160	刚才这个宁兰我看在那块上次和TX又断了 又断了
141240	146600	你们看发现了吧 这不是七哥说的吧
146600	151800	断了 他就是断了 怎么办 没有办法
151800	156680	你说怎么办 你说怎么办 这又是我的错
156680	163560	是没有约翰的错 没有团队的错 都是Miles Guo的错
163640	172920	是吧 怎么办 怎么办 又断了 又断了
172920	176200	这团队又说七哥又去哪出 每次有错
176200	180760	只要给团队 给约翰一说 你是不是网络有问题啊
180760	185560	电脑有问题啊 我今天我跟你说啊
185560	190280	昨天我就觉得我真的是 我有史以来
190280	195320	我觉得我是对这个咱们 我觉得 昨天我有一个小时
195320	201640	我就不知道说什么好 就是我跟一个投资者同时来测试
201640	209160	就是所谓从第一天盖茨上线 上线后就是所谓注册难的问题
209160	214360	我真的跟约翰说了不下500次 我给团队说了有100次
214360	218440	几个月过去了 就是因为所谓的注册
218520	222920	官方数据在1200万到1500万人家离开了
224040	230600	那么我昨天是跟投资人第一次 亲自在电脑上注册新账号盖特
231320	236680	上去一点名 你这个名字已经存在 然后就输另外一个名字
236680	242600	输了大概二十几个名字 近一个小时的时间注册不了
243560	250760	到昨天都这样 你想想盖特就这1000多万人
250760	255880	就那么愚蠢的错误 整个工程团队坚持到今天
255880	261640	人家咋投资 是不是 七哥没钱 得找人家投资吧
261640	267400	找人家投资的人 人家投资咋想 你想想吧兄弟们
268280	280280	咦 这是啥情况 这是到底有没有啊这是 也没留言
285080	285960	啥情况是
298040	302440	咦 那我这咋没留言了呢
309240	316520	我这也没留言呢 我也看不到任何人留言了
319960	324040	行 反正现在我刚才以为我说了半天白说了
324120	325320	我说了半天白说了
339320	345960	所以说呢 你去想想就这一个愚蠢的 简单地持续了六七分月
348280	352840	人家投资者 人家国际的大投资机构说你来亲自看看
352920	354440	你还要忽悠我们去投资
355560	357960	就是一个人这辈子你永远记住
357960	361720	就可能你不在乎的一个简单的错误
361720	364040	真的是给你带个灾难的结果
366280	369160	它就是这样子 事实就这么发生了
369960	373320	所以说 灾难嘛兄弟姐妹们 灾难嘛
373960	377000	那么同样的事 我想说SEC退款的事情
377960	382120	现在很多警察梦寐以求的
382440	385400	就是找到一个曾经老GTV投资的人
386440	388840	把他抓住 忽悠他 对他好
389480	392280	对他好 把他抓住 忽悠他 对他好
392280	395320	就是找到一个曾经老GTV投资的人
396440	398840	把他抓住 忽悠他 对他好
399240	403560	然后让他把钱在警察的指定下汇到警察的账号去
404680	406200	目的就是把钱给吞了
406920	409080	如果你要是跟警察合作
409080	411640	你以为能活下去 战友们 那你就太傻了
412280	415080	屠财害命 害你一家命都不拉倒
415560	417480	一定不要上他们的当
418680	421240	我再重申一遍 今天的紧急直播
421640	423800	所有的投资老椅子的人
424040	426440	任何情况下不要和警察合作
426440	428760	想尽一切办法留下证据
430680	432680	留下证据是为了什么
433000	435640	就是为了未来维护你的利益
435960	438440	不但你的钱是你的 投资是你的
438440	441720	你的币也是你的 是吧
442040	443240	那么你要跟谁联系
443240	447720	跟警察 一定要周旋和农场联系
448680	451080	和农场联系 兄弟姐妹们
451560	454040	让农场知道你怎么回事
454040	458520	农场联盟委员会已经在和当地政府和警察
458520	462600	政法部门正在合作中报案
463720	466200	你既是被警察给花回了钱
466200	470120	那个警察会被全球通缉 被美国通缉
470120	471880	你的钱还少不了你的
471880	473320	这多好啊 兄弟姐妹们
473320	475720	这又多好啊 是不是
476680	480040	拜托了 这是今天直播的最核心的内容
480040	483320	不要忘了战友们在国内
483320	485000	因为投资带来麻烦
485000	489000	特别就只要VOG这个王八蛋这个畜生
489000	490760	还在骗着
490760	493000	如果你再上当那真的没办法了
493000	494040	那是另外一回事了
494040	496120	在他进监狱之后
496120	498760	我希望战友们投资的人都活着
498760	502840	第一50块钱是没有退款范围在内的
502840	503880	大家一定要记住
504120	506120	为啥没有留言呢
506120	508920	这是 这为啥没有留言呢
510280	511480	我看不到留言呢
513240	515400	Ladies and gentlemen
515400	517880	谁能帮帮安啊
517880	520440	怎么看不到留言呢
520440	523000	这是怎么回事
523000	524280	发生了什么
529880	532280	亲爱的兄弟姐妹们
532360	535160	为什么不能看到你们的留言
536840	539640	我来自新疆 烤羊肉串的
542120	544360	这一个事啊 第二个事 兄弟姐妹们
544360	545160	这几天啊
549240	551400	大家在北京的人
551400	553080	我想给大家再重复一遍
554600	557400	很多人买了四门冰箱
557400	559000	买了很多腊肉 腌肉
560440	561640	我请大家要记住
562600	565000	接下来全国是什么
565000	566520	大停电通知
567800	570040	大停电呢
570040	572520	你家里边是有冰箱
572520	574680	你的冰箱里是有肉
574680	577560	结果你冰箱里咋了
577560	579000	你肉太多了
579000	580520	没电了
580520	582360	那又一场灾难来了
583800	585560	兄弟姐妹们
585560	587000	你们该咋解决呢
588440	590600	该咋解决的兄弟姐妹们
590600	591960	一定要记住
591960	595640	千万不要因为储存而让你变成灾难
595640	596840	变成另外的麻烦
597960	599480	所以说兄弟姐妹们
599480	604760	我再次诚恳的告诉战友们
604760	606200	你可以储粮
606200	608280	你可以储肉
608280	611080	别把粮和肉变成了你的灾难
611080	613240	接下来还有停电大灾难
613240	614920	停电了咋办
614920	617640	我突然发现太多战友们啊
617640	619240	有这样的事情
619240	620680	哎 其实你们看我今天
620760	621960	我穿的老休闲了
623480	625400	然后你看你看这鞋
627400	628760	牛仔裤啊
628760	630200	这帅哥咋样
631480	632440	是吧
632440	634280	就往这儿咔一往那儿一站
634280	634840	是吧
635800	636680	往那儿一弄
637640	638760	看看我啊 是吧
639960	641080	掉掉线 是吧
644440	646440	哎 这个鞋老舒服了
646440	649000	这个鞋轻到像
649000	651080	真的是就像没穿一样
