start	end	text
0	16260	我今天發了這個蓋特以後 很多戰友又發了很多很多新要求
16260	23000	今天的這個蓋特不過癮 是吧 不過癮啊 然後有很多問題
23000	26380	我先說幾個簡單的回答大家的問題
27020	31620	關於這個G-Coin 現在這個G-Coin義工的問題
31620	35860	現在已經委託我們這個非常非常重要的
35860	41000	這個喜馬拉雅聯盟的 阿丙 阿丙妹妹非常重要
41000	48940	文葛七雄 文葛七雄 阿丙 文嘉 還有這個文斌
49940	58860	還有一個木蘭 還有這個安宏 成立了個小組
58860	64940	專門接受就是原來VOG和所有的喜馬拉雅大使館
64940	68940	那個Discord 所有過去戰友包括秘密翻譯組的
68940	74380	所有做義工的戰友們 所有過去的工時的核對
74380	78460	考慮到原來很多VOG戰友不相信文斌
78460	82620	但是我們就讓文斌 因為他是比較了解實情的
82620	88060	讓他也待在裡面 那麼其他的主要是阿丙還有木蘭
88060	93980	他們還有文葛七雄 還有這些戰友們來給大家統計
93980	98260	這個非常的重要 一個我們不能被人家給臥底了
98260	103580	給假爆 第二個我們要威震不破 要真實
103660	108780	還有一個不能露下所有戰友們應該得到的GbGcoin
108780	112420	另外一個我們向已經上GcoinGcoin公司申請
112420	117500	因為七哥不是老闆 我向他們申請無論如何
117500	122100	盡可能的把我們的義工通過我買那個
122100	125900	就是我讓加州基金買那個2000萬Gb來滿足
125900	131300	很多戰友的過去義工的一些給予 一些補償
131340	136180	希望戰友們踴躍的和他們一起來聯繫
136180	140820	你也可以跟你們農場聯繫 最終由他們來統計
140820	144300	好不好兄弟姐妹們 越快越好 越快越好
144300	151980	因為時間越長信息越失真 時間越長咱合作越難
151980	156540	所以說現在大家要配合才能得到你所應該得到的
156580	159780	種不種 穆蓋塞所有的義工的戰友們
159780	163100	過去付出的和爆料革命的新中國聯邦們
163100	166460	請大家和他們聯繫 由他們來統計
166460	169180	好吧 統計完以後報喜馬拉聯邦委員會
169180	172180	然後我們盡快的會給大家回覆
172180	175460	如果大家有任何問題的 一定要記住
175460	178420	可以跟農場聯繫 由農場來統計再報一下
178420	183660	七哥真沒辦法一個一個的給你們來回覆 做不到
183660	189260	如果你老給我發這信息 七哥就嗯 不哼
189260	194580	小心啊 七哥要給你嗯 啊 明白了嗎兄弟姐妹們
194580	196420	穆蓋塞
