- 兄弟姐妹好,关于这几天,咱们每天盖特还有咱们直播,
我不想谈太多具体的,咱说过今年不搞重磅中的重磅,
就是以毒灭共,还有现在灭共的一些进展,
咱们要管住嘴,卖其腿越快越好,像那个狗袍一样,越快越好。
为什么,兄弟姐妹们,我们要注重行动,注重行动。
现在这个灭共,到了很关键的时刻,我相信大家都比我明白,
都比我明白,对吧?
大家能看到,捏住共产党的蛋蛋的话,
最重要的事情就是在经济上,还有病毒的真相上。
以毒灭共,关键是要全世界的行动,
关键是我们能提供更多的证据和事实,
让西方认识到,用证据,用事实,
还有一个他现在无法掩盖的过去的一系列的谎言,
荒唐的谎言,把这些事情搞明白,
为的什么?就为的就是让他们暴露在世界人民面前,
让他无法原说的谎言,原说的谎言。
所以说,我们现在是一定要注重的是证据和戳穿事实的工作。
另外就是共产党的经济,
大家我相信你们都能看到,就这些天来,
拜登总统当上以后,现在正在开这个记者发布会呢,
不管任何情况下,他滋口不提共产党病毒,
但是,美国绝对不是总统一个人说了算的,
美国人是一定要要这个病毒真相的,
所有的美国的政府部门没有停止工作,
24小时没有停止工作,
他们是一定要整明白咋回事的,
那不是你撒完谎,你骗完了就拉倒,
那是不可能的,
共产党在中国一骗70年,
他认为他能成功,他以为这次还能成功,
那是不可能的兄弟姐妹们,
因为他屡骗屡成功,
他才想继续侥幸地在欺骗全世界,
现在想尽一切办法,
要转移全世界的焦点,
和对共产党病毒的关注。
那么,他能做成功吗?
他做不成功,
包括共产党的企业,
在美国在欧洲的上市,
越来越多的企业被美国证交所出牌,
而且所有过去几年,
对这些企业的制裁一个都不会少,
只能越来越多,
大家都看到了吧,
而且告诉大家的事情,
种族大厨杀,
反人类罪,
这已经把共产党打进了地狱,
这一点任何人都不可能推翻,
谁推翻谁就是作死,
谁就是陪葬,
谁愿意陪葬那尽快尽快去,
越多越好那些极端的坏人们,
是不是?
这就是我们现在爆料革命的魅力,
任何人想和我们反着干,
就是跟全人类的正义在干,
任何人反对我们灭共,
那他就会被这个全世界灭共的浪潮所消灭,
这就是事实啊,
是吧兄弟姐妹们,
这边打高尔夫的所有人都说什么,
百分之百知道爆料革命爆了都是真相,
关于共产党病毒,
关于共产党对美国的威胁,
蓝金黄计划,
关于共产党在美国内部的渗透,
大家都是我们相信我们的,
刚刚我们的这个这个,
赵哲帝的几个大佬给我发信息,
昨天我一天没给他们联系,
有几个人都慌得不得了了,
哎怎么回事嘛,
怎么回事,
都很紧张,
为什么?
很多人的希望就在我们心中国联邦,
很多人追究和追究责任,
和搞出共产党病毒的真相,
只希望我们这心中国联邦,
这是一个世界上大潮流,
不会因为那几个烂人小人,
都能所能抹杀的,
不要在乎那些事情,
包括最近大家看到五毛是不是多了,
当你发现五毛多的时候,
就是共产党最疼的时候,
当五毛多的时候,
他就是无奈的时候,
没办法的时候,
所以说兄弟姐妹们,
大家一定要整明白,
我们现在看到每时每刻,
过去的三十几家,
欧洲的世界的国家,
联合起来要制裁中共,
现在我昨天我说四十家,
到现在为止已经超过五十家了,
这种速度,
共产党他绝对不相信会发生,
世界上一共二百多个国家,
现在已经五十多个国家,
要全面制裁中共,
我们最终一定达到七十家到九十家,
现在在中国国内,
连这些名牌,
这些所谓的这些都被制裁,
我告诉你战友们,
任何看共产党历史上,
没有一个政策是连续性的,
没有一个真正的所谓的战狼计划,
是真正执行的,
没有一个共产党的给老百姓的承诺是兑现的,
全都是骗,
假,
黑,
西方人也看明白了,
也搞明白了,
那么兄弟姐妹们,
我们现在新中国联邦爆料革命,
就是要在GTV news上,
大量的传播西方对中共看穿事实,
追究共产党病毒的这些关键的媒体的报道,
同时把国内现在的已经崩溃的经济和事实,
让全世界知道,
共产党一旦没有了美元支持,
没有了西方的这些招责地的支持,
共产党活不了几天,
它是一个靠喝人民的血,
靠输出廉价的劳动力,
靠这个欺骗和谎言和洗脑来维护政权的,
共产党如果它是真的,
它就不建那个防火墙了,
如果它是真的,
它就不搞金融防火墙了,
我们过去的一星期很多战友发信息,
取一千美金都不行,
现在对外的贸易一塌糊涂,
所有的原材料暴涨,
而且所谓的惩罚这些海外名牌,
这些名牌含有的,
全面的粮合在一起,
和共产党来对着干,
没有人能挡得住这个真正的灭共的这个步伐,
这是一场全人类的正义的革命,
是全人类保命保财的革命,
原来是我们保命保财,
