start	end	text
0	4000	咱们接着刚才再发一个
4000	6680	我戴上眼镜 大家好辨别出来
6680	8240	别搞不清哪一个
8240	11360	关于G coin这个这个变化呢
11360	13320	我要给战友们报告一下
13320	15560	这个从今天早上到现在呢
15560	19240	G coin还有这个G刀的呢
19240	20320	有重大的变化
20320	21880	因为世界经济形势
21880	23040	大家都看到了啊
23040	25480	虚拟货币的这个未来啊
25480	27560	全人类都在面临着一个
27560	29000	大家都心知肚明的
29040	31280	但是这就是人类本能啊
31280	33000	都不希望灾难发生
33000	34880	都有侥幸的心理
34880	38360	那就是现在G coin的配额看来是
38360	42040	肯定不会让战友们按照原来一比一啊
42040	43280	还是一比零点八
43280	45120	看来是不可能了
45120	46640	能保留住一比六
46640	47880	一比五都不错了
47880	48800	零点五啊
48800	52080	就是非常非常的稀少了
52080	55200	另外的原来给战友们准备两千万个
55200	56400	两千万个
56400	59520	补偿国内的被害的
59520	61520	以及被喝产的
61520	64360	还有这个义工的战友们
64360	66720	包括给法治基金这个这个
66720	69200	做出重大贡献的战友们啊
69200	70280	给这些人的
70280	72960	这两千万个肯定得减少一半啊
72960	74880	只能是一千万个都不错了
74880	76400	一千万个都不错了
76400	78720	因为现在各种机构投资者
78720	79640	现在有三条
79640	81360	一要涨钱
81360	86160	二要这个机构投资者一定要多加几个进来
86200	89800	然后再一个就是这个数额肯定是不够的
89800	90880	因为数是有限的
90880	92680	一年就十亿个
92680	94760	那么加钱是绝对不允许的
94760	96000	是不可能的啊
96000	99200	我们苏死相斗也不允许的加钱
99200	102120	但是数量肯定要大大的缩减
102120	104920	所以说很多战友已经登记了的啊
104920	106160	那就非常非常好
106160	106640	然后呢
106640	108360	剩下来未登记的再登记
108360	109760	是务必要小心了
109760	110920	务必要小心了
110920	112920	这就要实施
112920	113600	大家想想
113600	114760	如果G-CoinG到了
114760	116200	在半年前推出来
116200	118560	那今天又是不一样了
118560	120040	那价格会更加的猛
121440	123080	反正对战友也不是坏事
123080	125880	但对G-CoinG到了G-G的话不是好事
125880	126840	还是慢了一些
126840	129400	本来是去年12月底到1月份推出
129400	130840	一直在推
130840	132640	另外一个GTV的股票
132640	135000	我们这是肯定是
135000	136880	我们会更加的严格
136880	139000	主要是以这个征资的
139000	140320	是GTV
140320	142600	就是原来的这些椅子的
142640	144600	还有受迫害的战友们
144600	147840	还有一个这个参加借款项目的人
147840	149640	优先增资
149640	151160	因为我们现在评估还没出来
151160	152440	很有可能啊
152440	155800	这个增资和增加的
155800	157680	这个随时都可以停
157680	160880	那么目前到这个4月15号以前
160880	162800	这还是没有问题的
162800	165320	那么我希望他们做一个延期
165320	167360	延到这个5月底结束
167360	169600	因为原因是国内汇钱的很多战友啊
169600	172160	都有这个老椅子的人
172200	176760	有可以增加这个借贷和投资的数额的人
176760	178520	因为这是不受限制的
178520	179880	这是不受限制的
179880	180840	那么希望增加
180840	182720	因为钱汇不出来
182720	185000	所以这两个变化呢
185000	186760	现在在不确定中
186760	189560	Gcoin的指标肯定往下降
189560	193120	GTV到一定时候肯定停止
193120	195040	停止接受新的投资
195040	198280	停止这个借贷者和原来椅子者
198280	199920	增加自己的份额
199960	202120	但到目前还是4月15号有效的
202120	205920	我希望延期到4月底
205920	207480	但是请大家等通知吧
207480	211080	但是Gcoin肯定是不会实现一比一了
211080	212360	这没办法 战友们
212360	213760	总体来讲对战友是好的
213760	215480	越有人一抢他未来越来越争执嘛
215480	216200	是吧
216200	216840	然后呢
216840	218560	越有这个样例的空间嘛
218560	220200	但是我们会跟Gcoin去到了
220200	221160	想尽办法争取
221160	222560	因为他不是七哥的
222560	224000	他现在不是你七哥说了算
224000	224880	我也不是股东
224880	225560	没办法
226840	228200	那么等最后
228240	231840	喜马拉雅联盟和他们争取完以后的通知结果
231840	235960	那么参与借贷的老椅子的
235960	237160	现在还正常
237160	239040	但是随时可能都会有停止
239040	240040	大家有心理准备
240040	241520	我现在通报一下
241520	243520	我要现在准备去开会去了
243520	244880	谢谢兄弟姐妹们
244880	248040	赶快和各农场对你们的数
248040	250720	过去的Gdala Gcoin GTV
250720	251840	椅子参与借贷
251840	253280	尽快尽快尽快
253280	255080	兄弟姐妹们好吧
255080	256600	赶快定下来
256600	257560	把他酷好了
