start	end	text
0	6000	哎呀 4月2号了 兄弟姐妹们 这个GTV
6000	9000	让我们战友通行 正在播的这个科学家
9000	12000	国内知名科学家爆这个病毒真相
12000	16000	我刚刚在这个录这个视频盖特之前
16000	19000	我和华盛顿的两个咱们的好朋友
19000	21000	我别说是谁的通话
21000	24000	他说现在这个美国在华盛顿
24000	27000	飘荡着一种不甘的情绪
27000	29000	说这个冠状病毒啊
29000	33000	一定会再来的 而且一定要是更加夸张
33000	36000	很多人都害怕 要搬离华盛顿
36000	38000	很多纽约 像洛杉矶
38000	41000	很多有钱人都要更多的人搬离
41000	46000	这段越越一世想回来的也都想撤回去了
46000	48000	所以说这个病毒对大家的威胁
48000	52000	它不分高低 不分男女 不分穷人和富人
52000	54000	共产党干了一件事
54000	58000	不分高低左右的干了一把就是冠状病毒
58000	61000	所以说是独主啊 独主
61000	63000	共产党非他莫属了
63000	66000	另外一个共产党他们也掌握情况
66000	68000	中国的经济一塌糊涂
68000	71000	他说这个中国经济能撑多少时间呢
71000	73000	我说我要跟你说撑三年你信吗
73000	75000	他说我不信 我说那不就完了嘛
75000	76000	三年以内嘛
76000	78000	另外一个昨天晚上
78000	80000	昨天一天啊太多
80000	82000	昨天一天那个参与作证
82000	86000	作完证以后一堆的视频会就没停过
86000	89000	然后呢 昨天是半夜里约了这么个
89000	91000	咱们的好战友通话
91000	93000	这位战友很有意思
93000	96000	曾经咱们GTV在去年私募的时候
96000	99000	曾说哎老郭你这也没啥数据 是不是
99000	101000	你这也没啥数据你敢让他投
101000	103000	那你这是凭啥呀
103000	106000	我说有数据啊 凤凰卫视有数据啊
106000	108000	去投凤凰卫视啊
108000	110000	YouTube有数据
110000	112000	去投YouTube去啊
114000	116000	然后昨天晚上通话的时候
116000	120000	说哎呀凤凰整个刘长哲的家人全部给弄了
120000	123000	所有的这些凤凰人全给收拾了
123000	126000	我说我在2017年爆料就说过
126000	130000	当年这个习近平都想弄死刘长哲的时候
130000	133000	副主席的时候 是王岐山保了他
133000	136000	当时就是那个那个那个什么陈呐
136000	138000	人大副委员长啊
138000	140000	说了一个什么凤凰管不住这个报告
140000	142000	是我帮他解决的
142000	144000	要不然凤凰找死个求的了
144000	146000	他连一杯水都没让我喝过
146000	149000	这刘长哲人是非常现实的人
149000	152000	结果是现在全给收了 全完了
152000	154000	然后他昨天跟我说他要投GTV
154000	156000	我说你还去投凤凰
156000	158000	他说我一定要投你GTV
158000	162000	我说凤 这个GTV数据很少啊
162000	164000	他说我明白了
164000	166000	投资这是投资的未来
167000	169000	是投他成长期
169000	171000	我说你懂了
171000	173000	你见YouTube投资赚钱的
173000	175000	还有什么Twitter赚钱的
175000	177000	包括微信赚钱的
177000	178000	你投的是什么
178000	181000	你叫初期投资者你能赚哪钱
181000	184000	人家都有了所谓的大数据
184000	187000	按照市场实际价值投的时候
187000	189000	你到公共市场买去
189000	191000	你有可能有那么大的空间成长吗
191000	193000	这连猪脑袋都知道的
193000	195000	什么叫天使投资
195000	198000	天使投资 什么叫初期投资
199000	201000	GTV当时没有
201000	204000	就是投的你叫做初期投资
204000	206000	然后是天使投资
206000	209000	咱现在把天使投资和初始投资的空间
209000	211000	打回到原形重新开始
211000	213000	你要想投数据
213000	215000	你去投那些上市公司去
215000	219000	那叫市场实际价值
219000	221000	那叫股票反应的
221000	222000	那剩下的叫什么
222000	225000	最初期的所谓初期投资和天使投资
225000	227000	风险投资
227000	229000	风险投资
230000	233000	就是投资他的未来和他的空间
233000	235000	我说这还咱都不知道吗
236000	238000	要不然凭啥你赚钱
239000	242000	所以说战友们有些人就不长脑子
242000	243000	人家一说啥
243000	244000	对呀 有道理
244000	246000	人家说这个有道理
246000	248000	一会左一会右
248000	250000	所以你一辈子在左右中飘荡
250000	252000	你永远不会有自己
252000	254000	更永远不可能有所谓的
254000	256000	人家那种致富的机会
257000	259000	因为你没有判断力
259000	261000	这就是我们希望新中国联邦
261000	264000	展示给大家有基本的判断力
264000	267000	一个听别人说好和坏
268000	270000	一个听别人说对和错的人
270000	272000	你即使有了钱
272000	273000	有了啥
273000	274000	它也不是你的
274000	276000	那也是你的灾难
276000	277000	这就是七哥
277000	279000	所有人从小到大就说
279000	281000	这家伙从来很难说服他
282000	283000	毛演员
283000	285000	据说跟习主席最好的人
286000	287000	曾经问过他
287000	289000	副主席说你怎么看待郭文贵这个人
289000	291000	郭文贵我跟他很熟
292000	293000	这个人他说你认识他
293000	294000	他说我认识
295000	296000	他说这个人很固执
296000	299000	你想改变他的这个想法是不可能的
299000	302000	他想干的事你让他放弃也是不可能的
302000	304000	习近平说那这是个人物啊你这么说
304000	305000	他说绝对是个人物啊
306000	308000	后来我见面的时候
308000	310000	喝酒的时候还专门说这事
310000	312000	我笑笑一笑之至
312000	314000	作为一个男人
314000	317000	作为一个有任何自我
317000	319000	自我自信的人
319000	321000	你这是起码的本事
322000	323000	第二个
323000	325000	现在我们听说加拿大
325000	326000	我们有个战友
326000	327000	这个说
327000	328000	哎呀七哥
328000	329000	我出了麻烦了
329000	330000	加拿大的这个
330000	332000	我大概会出了十几亿美元
332000	333000	是某某
333000	335000	你们都知道那个大佬的下属
335000	337000	十几亿美元出事了
337000	340000	我在两年前曾经给他建议过
340000	342000	我这个山东老乡
342000	344000	我说我告诉你加拿大这个地方
344000	346000	钱容易进
346000	347000	非常难以出
347000	348000	非常难出
348000	351000	而且我告诉你加拿大这个地方
351000	355000	一定未来会实行极左极左极左
355000	357000	谁在那块用大钱
357000	359000	你是个愚蠢的愚蠢到家的人
359000	361000	谁在加拿大大量的资产
361000	363000	你是愚蠢愚蠢之家的人
363000	365000	谁我告诉你两个人
365000	366000	我可以告诉你一个最好的例子
366000	368000	李嘉诚
368000	369000	第二
369000	372000	台湾的当年的红国
372000	374000	所有家族在加拿大的投资
374000	377000	聚合资金在过去几乎消失在心
377000	378000	为什么知道吗
378000	379000	税
379000	381000	一个税能把你整死
381000	384000	加拿大的税务官是比美国还夸张
384000	387000	而且养猪十年这话是谁说的
387000	389000	是加拿大说的
389000	391000	就你有大钱进了加拿大你闭关
391000	392000	最近这几天我听说
392000	394000	官方各种消息告诉我说
394000	400000	现在就短短的近期就几百亿美元进了加拿大
400000	402000	通过EDF的
402000	404000	但是我觉得这是不真实的
404000	407000	我掌握的情况是一千四百多亿
407000	408000	人民银行一千四百多亿
408000	412000	一千四百亿美元都是个人资产
412000	414000	两个危险来了
414000	416000	共产党要找你麻烦加拿大的
416000	418000	你惨了
418000	421000	加拿大的税务官和加拿大的钱难出
421000	423000	你麻烦了
423000	426000	你是真是拖了狼口进了虎窝
426000	428000	或者拖了虎窝进了狼口
428000	430000	一定是有问题的
430000	431000	战友们
431000	433000	最好要去的地方是什么地方
433000	437000	税务和法律都让你安全的地方
437000	441000	就是很难进但是很容易出
441000	444000	很难进可能很难存在那
444000	449000	但是它确实在法律和税务都能平衡的
449000	451000	绝对不是加拿大
452000	453000	当然了
453000	455000	未来最好就是Gb了G刀了
455000	459000	G刀了和Gb是全人类未来最方便使用
459000	460000	全球使用
460000	463000	你的钱在全球不能使用的时候
463000	466000	你就变成了一个不叫国际货币
466000	468000	你的财富也不叫安全财富
468000	469000	你都叫不确定性
469000	470000	那叫什么
470000	472000	那叫做死钱
472000	475000	你的钱要变成活钱
475000	476000	国际财富的时候
476000	479000	你就得流通性不受任何影响
479000	482000	而且这个钱合法合规的
482000	484000	你能让它安全的
484000	487000	让你变成随时都可以去向你去的地方
487000	488000	那叫活钱
488000	491000	活钱比死钱的价值高多了
491000	494000	这是什么G刀了Gb
494000	496000	我不是在这块儿推广的
496000	498000	你有本事别弄
498000	501000	就未来只有G刀了Gb
501000	504000	Gb有20%的黄金储备
504000	508000	而且生长那全你看你了运气了
508000	510000	G刀了没有胜负
510000	511000	永远是你的
511000	513000	手机一还爱去哪去哪
513000	515000	一次KYC你安安全全
515000	516000	只要你钱是干净的
516000	518000	你怕啥
518000	521000	这就是咱们新中国联邦牛的地方
521000	524000	所以刘长乐先生
524000	526000	现在如果你看了我这个盖社
526000	529000	我想想你知道我帮了你多少救过你死
529000	530000	但是救过你活
530000	533000	让你短死了好多年少死了
533000	535000	但是没喝过你一杯水
535000	536000	我告诉过你
536000	537000	王岐山也好
537000	538000	习近平也好
538000	539000	你不管如何
539000	541000	你包括王岐岩
541000	542000	我给了你那么多钱
542000	544000	你连个电话都没给我打过最硬
544000	546000	这家伙太有问题了
546000	548000	共产党是靠不住的
548000	550000	跟着共产党走这火葬场
550000	553000	它适用于任何一个人
553000	555000	还好有人觉醒
555000	559000	觉醒早了总比晚了好
559000	560000	哎呀
560000	561000	啥都不服了
561000	562000	很多战友说
562000	563000	很多战友说
563000	565000	七哥今天必须发给他
565000	566000	发给他发给他
566000	567000	现在发了
567000	569000	如果是大家反应好的
569000	571000	一会再发一个
571000	572000	你说我现在整的
572000	573000	现在死皮赖脸
573000	575000	你说给大家还要点赞
575000	577000	这哪是七哥呀
577000	578000	开玩笑
