start	end	text
0	8000	尊敬的战友们好 7月18号 优胜隐谋 优胜隐谋
12000	17000	尊敬的战友们好 7月18号 优胜隐谋 优胜年
19000	23000	文贵乱聊直播 乱聊直播 乱聊直播
31000	37000	佛系大榴莲 佛系大榴莲
39000	43000	网络版声音太小了 那没办法了 现在
43000	47000	手机版是够可以的了 网络版声音太小了
47000	50000	这个我们的工作室要马上解决这个问题
51000	56000	刘德 平民 爱七哥 熊英2064
58000	64000	黄立平 心底无私 天地宽 正道老太太
64000	66000	正道老太太 我的天
66000	70000	刘存长 七哥今天绿的 七哥今天绿的 七哥今天绿的
71000	74000	这是绿的吗 这个不叫绿啊
74000	79000	看到这个整个这个西装啊 这个整个这个线缝子
80000	84000	这是翡翠蓝应该叫做啊 这个不叫绿
84000	87000	你也可以叫做绿啊 可以叫做青绿色
91000	93000	兄弟姐妹们大家好啊
96000	99000	好 我们先 我们先聊着啊
100000	102000	兄弟姐妹们大家好啊
102000	108000	这个最近咱们看到啊 这国内国外的这个政治形式和经济形式啊
108000	111000	可以说是我们每天啊
111000	115000	在由于在我们在美国还有在国内外的战友
115000	119000	咱们都关注着这个以毒灭共还有以钱灭共
119000	121000	我们把很多国际的事情呢
121000	124000	我们都没有去认真的去面对
124000	128000	那么我们今天我们可以看到兄弟姐妹们啊
128000	131000	国际形式每天的变化
131000	135000	都是过去可能是年啊 很长时间都没有了
139000	142000	我们大家应该看到这个国际的变化
142000	146000	由于咱们新中国联邦还有 抱歉啊
146000	148000	还有爆料革命啊
148000	151000	我们在世界上开展的这个灭共形式
152000	157000	对待全世界所有有正义有良知的人们来讲
159000	161000	每个人都看到了希望
161000	164000	实际上这个世界上啊
164000	167000	最大的 每个人心中的阴影
167000	170000	包括美国啊 包括美国 包括任何地方
170000	174000	无论是华尔街 无论是好莱坞
174000	178000	无论是硅谷 包括梵蒂岡
178000	181000	世界上就这几个中心嘛
182000	185000	无论在哪里你都能事实上
185000	187000	不论过去他多么亲共
187000	189000	他多么和共产党勾腿
189000	192000	他们内心的很清楚
192000	194000	共产党是邪恶的
195000	199000	不是他们不去反共 灭共
199000	203000	实在他们没有信心能把共产党给消灭
204000	206000	在这种情况下
206000	210000	在没有自信 完全不相信
210000	213000	共产党能被消灭的情况下
213000	215000	选择了与共产党合作
215000	218000	还找出这样那样的借口
219000	223000	包括给共产党提供技术 经济
224000	226000	瞪着眼看着共产党
226000	228000	对自己的国家和民族拦截了
229000	232000	不论哪个人给共产党勾兑的
232000	234000	他内心中他都知道
234000	236000	共产党是邪恶的
236000	238000	只是没有人
238000	241000	也没有组织和国家敢
242000	245000	那真正的说出来是要把共产党干灭的
245000	247000	从来没有
