start	end	text
0	4000	太講究了
4000	8000	哈哈哈哈
8000	12000	不是一壓九十一壓十十
12000	16000	咱們今天升級了一羽九十啊
16000	20000	社謠言來吧來吧
20000	24000	社謠言絕對跳樓我太瞭解這個人了他絕對看到他絕對痛苦
24000	28000	用他媽媽的話說從小羨慕妒忌恨中
28000	32000	就是長大的只信邪不信正他媽跟他說他跟他爸關係特別好
32000	36000	嗯
36000	40000	他媽跟他關係
40000	44000	超級不好
44000	48000	這種吧這種啦這種啦這種啦
48000	52000	嘿
52000	56000	這好看不到你這可以了沒事
56000	60000	他不入鏡
60000	64000	沒有他沒有他我都看了你就亂跳
64000	68000	哎呀
68000	72000	我的娘
72000	76000	哈哈
76000	80000	天哪
80000	84000	哈哈
84000	88000	你看看這面
88000	92000	我來看
92000	96000	面不是
96000	100000	沒有沒有
100000	104000	看不到
104000	108000	看不到白也看不到
108000	112000	每一分鐘兩比九一
112000	116000	嗯
116000	120000	哈哈
120000	124000	嗯
124000	128000	嗯
128000	132000	好
132000	136000	好
136000	140000	我看
140000	144000	我看
144000	148000	呵呵
148000	152000	哈哈
152000	156000	哈哈
156000	160000	沒問題
160000	164000	樓上
164000	168000	嗯
168000	172000	嗯
172000	176000	嗯
176000	180000	我老在直播中說魚骨湯麵
180000	184000	你們就親吻進去
184000	188000	實際上你沒有一個藝術剛才說了我就犯一個表情
188000	192000	七哥從一天直播就說魚骨湯麵是天下最好的
192000	196000	吃了會產生真的情緒
196000	200000	直播有頭還有線
200000	204000	這回是
204000	208000	銷售是廣告下次收錢
208000	212000	八八八八點成美金
212000	216000	反正你們都有錢
216000	220000	哈哈
220000	224000	嗯
224000	228000	現在叫誰賣十個都省不了太多
228000	232000	我今天跟你說實話你賣掉一個幣
232000	236000	你就失去了今天一周的時候再很快你能掙得
236000	240000	直播呢
240000	244000	哈哈
244000	248000	我們今天下午
248000	252000	我們今天下午
252000	256000	我們今天下午
256000	260000	我們今天下午
260000	264000	我們今天下午
264000	268000	我們今天下午
268000	272000	我們今天下午
272000	276000	我們今天下午
276000	280000	賺的錢你其實我才是
280000	284000	那是很嚇人的事
284000	288000	一般人一躲不過去的
288000	292000	除非戰友全被判
292000	296000	你跟圈太大了
296000	300000	他來砸我妹不賣
300000	304000	他來拉我妹不賣
304000	308000	他來砸我妹不賣
308000	312000	他要砸下來我們再買一些
312000	316000	這是我們今天給你做的一個重大的失誤
316000	320000	當初我認為每年要花三十億
320000	324000	哇咱們死國不容易
324000	328000	現在證明了這是極大的社會缺錢
328000	332000	因為你沒有這個三十億的時候明年四年你根本可能
332000	336000	因為還有零通啊你買瓶酒倒是一個幣呢
336000	340000	是零點一個幣呢
340000	344000	因為你要有一個支付系統
344000	348000	你們居然覺得我是傑國大師你們這幫混蛋你們什麼時候有錢啊
348000	352000	我有錢說你們在你媽菜裡待著呢
352000	356000	你不聽我的今天全是打牙了
356000	360000	實際幣你多少零通啊
360000	362000	我憑啥賣啊
362000	366000	什麼時候你真心不賣的酒我就告訴你
366000	368000	你看賣的酒多慘你又不賣
368000	372000	這最簡單的道理不用人家說
372000	376000	就像地位上有二十萬美元賣的
376000	380000	你說現在你能再弄回來嗎
380000	384000	你要要錢第二個問題就是我要花錢哪來錢我不賣
384000	388000	就是你還有基本能讓你拿到錢你還不賣
388000	390000	你還不賣了嗎
390000	392000	所以他們這個設計圈呢他又十億的
392000	394000	比特幣是玩的稀少
394000	396000	他就沒想到真有通
396000	398000	他是炒作
398000	400000	咱這個幣不是用來炒的
400000	402000	咱這個幣是來用的
402000	406000	你發現七合一天跟你說了說對不對
410000	412000	我不跟你們開這個玩意
412000	414000	他們今天才明白
414000	416000	我說如果郭文貴想做你這天
416000	418000	我一定會你做什麼
418000	420000	我多了不連結
420000	422000	我就連結一千億美元
422000	424000	就找所有的這些戰友
424000	426000	七合一
426000	428000	一把錢一把幣
428000	430000	現在多少啊
430000	432000	二十是吧
432000	434000	一百拿回來
434000	436000	很多人是拿不出來
436000	438000	五十都過不了
438000	440000	甚至三十都交了
440000	442000	我現在有不少東西
442000	444000	我一萬一萬都打你
444000	446000	我絕對把你除了
450000	452000	現在兩百億的市值啊
452000	454000	你兩百億的市值啊
454000	456000	我拿你錢去我打你我打不了
456000	458000	我給你砸了多少錢
458000	460000	我給你砸了一塊錢
460000	462000	我能給你砸到一塊錢
462000	464000	又好像你都不賣是吧
464000	466000	你都不賣是吧
466000	468000	我自己賣啊
468000	470000	我賣十九我自己
470000	472000	瑞秋買了
472000	474000	十八瑞秋又買了
474000	476000	十七萬你就看著
476000	478000	我自己去畢業我自己錢
478000	480000	我買了就看著吧
480000	482000	兩三天就開始我從事輿論就上去了
482000	484000	謠言就上去了
484000	486000	完了這個炸麵了逃跑了
486000	488000	郭文貴又開飛機逃跑了
488000	490000	然後FBI檢查了
490000	492000	然後賽林爹就說來了
492000	494000	九十個人就是
494000	496000	心裡過不了完了我們上當
496000	498000	這時候開始
498000	500000	我又自己賣
500000	502000	我自己賣
502000	504000	我自己賣第一個幣
504000	506000	十塊一二幣十五十三幣
506000	508000	我十四五就拉了一百去
508000	510000	你還想你後悔啊
510000	512000	你後悔是吧
512000	514000	孩子我還傻
514000	516000	你有錢嗎
516000	518000	你能跟我玩嗎
518000	520000	他們今天全傻了我以為你這幣
520000	522000	就十億個幣
522000	524000	要這一屋的都是九瓶子
524000	526000	你想把這瓶子蓋住
526000	528000	就想那咱這需要時間
528000	530000	他一屋就十個瓶子
530000	532000	那我可能給你搬上去清清楚楚
532000	534000	我給你在天上扔著
534000	536000	一個一個街都可以玩玩慢動作
536000	538000	他們現在才知道這個問題
538000	540000	我說你完了
540000	542000	你改不了了
542000	544000	所以這時候就唯一誰是贏家
544000	546000	戰友是贏家
546000	548000	因為你更信任我手心
548000	550000	後路的就是贏家
550000	552000	後路的就是贏家
552000	554000	就像打疫苗一樣
554000	556000	全大街道都是疫苗
556000	558000	你看我家樓下每天兩個車
558000	560000	在我家門口堵著打疫苗了
560000	562000	免費
562000	564000	最老的
564000	566000	你要最起碼催一個小時
566000	568000	你讓我不要趕快再說一遍
568000	570000	五十分鐘啊
570000	572000	你看樓下
572000	574000	我這樓上
574000	576000	樓下我們大堂都寫著
576000	578000	請你打疫苗
578000	580000	我們律師忙的同事
580000	582000	再給我這些出現一次我就告訴你
582000	584000	你能撐得住嗎
584000	586000	你就知道多少人打疫苗
586000	588000	就知道多少人都豁得入壁
592000	594000	基本都打了
594000	596000	但是後來都不打了
596000	598000	打了一針
598000	600000	但是最長沒打
600000	602000	另外一針還沒打
602000	604000	針就不打了
604000	606000	他說死也不打
606000	608000	哈特斯坦都非常聰明
610000	612000	其他人我真管不了
612000	614000	我碰桌了啊
614000	616000	我碰桌了啊
616000	618000	我電話
624000	626000	今年香檳你一口也不能剩
626000	628000	你說剩這香檳
628000	630000	在法國人看了以後
630000	632000	法國人有句話
632000	634000	你可以砍掉我的手指
634000	636000	你不能把香檳給我浪費掉
636000	638000	你不能把香檳給我浪費掉
640000	642000	香檳的來源你知道這過程
642000	644000	你知道香檳是真的不能浪費的
650000	652000	這時候喝是混的味道
658000	660000	拿著吧
660000	662000	哎呀好酒
662000	664000	你看這個
664000	666000	哈哈哈
676000	678000	愛是靠你吐的夢
678000	680000	愛是靠你吐的夢
680000	682000	愛是靠你吐的夢
682000	684000	愛是靠你吐的夢
684000	686000	先吃飽再說
690000	692000	都喊著愛是靠你吐的夢
692000	694000	你看我又喝了一碗麵條
698000	700000	好吃吧
710000	712000	我進步每天一瓶到兩瓶香檳
714000	716000	這個香檳沒有問題的
716000	718000	這全是古董
718000	720000	這全是古董啊
720000	722000	每個位子都是古董
722000	724000	這沒有一個是現在的
724000	726000	這全你看到沒有
726000	728000	現在沒這個藝術了就水晶挖出來的
728000	730000	這個全是古董
730000	732000	這個都不是了你看
732000	734000	這是新的
734000	736000	因為睡覺不夠了
738000	740000	這個是古董
740000	742000	別管兒子
742000	744000	你只能讓他支撐
744000	746000	或者讓他去
746000	748000	墨鏡要再來一點嗎
748000	750000	哦我不要
762000	764000	你今天給我有面子
764000	766000	別人面前無怕丟人
766000	768000	就怕他在他們面前丟人
770000	772000	站有面前不行的
776000	778000	好
790000	792000	三天不見了
792000	794000	三天不見了
796000	798000	加油哪有放火鍋
806000	808000	啊
820000	822000	啊
822000	824000	好好吃
824000	826000	好好吃
826000	828000	好好吃
828000	830000	很好吃
836000	838000	我那時候喝酒喝香檳
838000	840000	可是基本上在吃飯前
840000	842000	就在這朋友喝著
842000	844000	我很少跟人混喝酒的
844000	846000	基本上我喝酒就放在這
846000	848000	我就自己倒喝
848000	850000	就習慣就把香檳倒水喝
850000	852000	喝的稍微有點小悶悶
852000	854000	哎行行行
854000	856000	這時候開始喝酒
856000	858000	喝完這個中酒拔了以後喝飯後酒
860000	862000	或者是飯前酒
862000	864000	你們知不知道我以前的生活
864000	866000	因為他帶著我的生活的知識
866000	868000	天下
868000	870000	我自己站著就像12個寺院
870000	872000	我每天
872000	874000	我中午飯就三十
874000	876000	晚上中午晚上三
876000	878000	再到三都是這樣就帶你出去
878000	880000	你想想
880000	882000	我們兩百多個廚師
882000	884000	兩百多個廚師
884000	886000	八百個員工的兩百多個廚師
888000	890000	你以為我想吃
890000	892000	每天都吃不同吃的
892000	894000	我吃96公斤
894000	896000	這不是很誇張
898000	900000	昨天晚上吃午餐
900000	902000	也是北京最貴的
902000	904000	現在也是最貴的
904000	906000	現在也是最貴的
906000	908000	現在是七百多
908000	910000	今年五歲可能是超過七百
910000	912000	七百其實也不貴的
912000	914000	不是
914000	916000	在北京的就了不得了
916000	918000	很差當然了
918000	920000	七百人幣啊
920000	922000	那很貴啊在國內啊
922000	924000	那當然不貴
926000	928000	韓國一直在全世界
928000	930000	最貴的自助餐就是單車單架
930000	932000	一直就在
932000	934000	因為酒店我們是全世界酒店
934000	936000	我是五星酒店的會員
936000	938000	我是全球的會員
938000	940000	韓國連續很多年排第一
940000	942000	你去過韓國
942000	944000	你去過韓國
944000	946000	韓國中山這個
946000	948000	是普遍的
948000	950000	二樓和三樓分開的
950000	952000	二樓是七百多
952000	954000	三樓呢
954000	956000	你如果確定的話可能就是
956000	958000	加上兩百塊錢
958000	960000	然後隨便吃
960000	962000	因為很多酒店我看上來
962000	964000	什麼六百八十八啊
964000	966000	然後九百八十八
966000	968000	那是訂的嘛
968000	970000	對
972000	974000	韓國就是你隨便吃
974000	976000	韓國最大的就是隨便吃
976000	978000	而且龍蝦
978000	980000	特別是這個龍蝦去了
980000	982000	龍蝦山
982000	984000	有的人一字句就是
984000	986000	買點十隻龍蝦
986000	988000	他覺得我賺了嗎
988000	990000	那時候四百塊錢我弄你十隻龍蝦也賺了
990000	992000	但是呢
992000	994000	事實上很多人沒那麼明白
994000	996000	我就是因為從小
996000	998000	知道龍蝦是最貴的人吃龍蝦
