start	end	text
0	4000	太讲究了
4000	8000	哈哈哈哈
8000	12000	不是一压九十一压十十
12000	16000	咱们今天升级了一羽九十啊
16000	20000	社谣言来吧来吧
20000	24000	社谣言绝对跳楼我太了解这个人了他绝对看到他绝对痛苦
24000	28000	用他妈妈的话说从小羡慕妒忌恨中
28000	32000	就是长大的只信邪不信正他妈跟他说他跟他爸关系特别好
32000	36000	嗯
36000	40000	他妈跟他关系
40000	44000	超级不好
44000	48000	这种吧这种啦这种啦这种啦
48000	52000	嘿
52000	56000	这好看不到你这可以了没事
56000	60000	他不入镜
60000	64000	没有他没有他我都看了你就乱跳
64000	68000	哎呀
68000	72000	我的娘
72000	76000	哈哈
76000	80000	天哪
80000	84000	哈哈
84000	88000	你看看这面
88000	92000	我来看
92000	96000	面不是
96000	100000	没有没有
100000	104000	看不到
104000	108000	看不到白也看不到
108000	112000	每一分钟两比九一
112000	116000	嗯
116000	120000	哈哈
120000	124000	嗯
124000	128000	嗯
128000	132000	好
132000	136000	好
136000	140000	我看
140000	144000	我看
144000	148000	呵呵
148000	152000	哈哈
152000	156000	哈哈
156000	160000	没问题
160000	164000	楼上
164000	168000	嗯
168000	172000	嗯
172000	176000	嗯
176000	180000	我老在直播中说鱼骨汤面
180000	184000	你们就亲吻进去
184000	188000	实际上你没有一个艺术刚才说了我就犯一个表情
188000	192000	七哥从一天直播就说鱼骨汤面是天下最好的
192000	196000	吃了会产生真的情绪
196000	200000	直播有头还有线
200000	204000	这回是
204000	208000	销售是广告下次收钱
208000	212000	八八八八点成美金
212000	216000	反正你们都有钱
216000	220000	哈哈
220000	224000	嗯
224000	228000	现在叫谁卖十个都省不了太多
228000	232000	我今天跟你说实话你卖掉一个币
232000	236000	你就失去了今天一周的时候再很快你能挣得
236000	240000	直播呢
240000	244000	哈哈
244000	248000	我们今天下午
248000	252000	我们今天下午
252000	256000	我们今天下午
256000	260000	我们今天下午
260000	264000	我们今天下午
264000	268000	我们今天下午
268000	272000	我们今天下午
272000	276000	我们今天下午
276000	280000	赚的钱你其实我才是
280000	284000	那是很吓人的事
284000	288000	一般人一躲不过去的
288000	292000	除非战友全被判
292000	296000	你跟圈太大了
296000	300000	他来砸我妹不卖
300000	304000	他来拉我妹不卖
304000	308000	他来砸我妹不卖
308000	312000	他要砸下来我们再买一些
312000	316000	这是我们今天给你做的一个重大的失误
316000	320000	当初我认为每年要花三十亿
320000	324000	哇咱们死国不容易
324000	328000	现在证明了这是极大的社会缺钱
328000	332000	因为你没有这个三十亿的时候明年四年你根本可能
332000	336000	因为还有零通啊你买瓶酒倒是一个币呢
336000	340000	是零点一个币呢
340000	344000	因为你要有一个支付系统
344000	348000	你们居然觉得我是杰国大师你们这帮混蛋你们什么时候有钱啊
348000	352000	我有钱说你们在你妈菜里待著呢
352000	356000	你不听我的今天全是打牙了
356000	360000	实际币你多少零通啊
360000	362000	我凭啥卖啊
362000	366000	什么时候你真心不卖的酒我就告诉你
366000	368000	你看卖的酒多惨你又不卖
368000	372000	这最简单的道理不用人家说
372000	376000	就像地位上有二十万美元卖的
376000	380000	你说现在你能再弄回来吗
380000	384000	你要要钱第二个问题就是我要花钱哪来钱我不卖
384000	388000	就是你还有基本能让你拿到钱你还不卖
388000	390000	你还不卖了吗
390000	392000	所以他们这个设计圈呢他又十亿的
392000	394000	比特币是玩的稀少
394000	396000	他就没想到真有通
396000	398000	他是炒作
398000	400000	咱这个币不是用来炒的
