start	end	text
0	30000	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊�
30000	60000	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊
60000	90000	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊�
90000	120000	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊
120100	122000	喊喊喊喊
136200	139260	欸
140840	142560	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊钟
144940	148700	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊
148700	160620	我在直播呢就啊 我这看着还是没有 看不到留言呢
160620	170420	还是没有留言呢 哇 下 看了下面那个雪红一片的
170420	175100	很多战友啊 但是我看不见啊 看不见啊
175100	177020	刚才一开始还是半屏
177060	180660	但是我调整了你旁边那个就是直播横屏那个开关
180660	183660	现在我这看到是横屏了 是全屏
183660	185180	但是我看不到留言啊
185180	187740	我也没有关这个留言 没有关啊 没有关
196060	202820	战友们啊 很多战友说今天没有这个 啊 红色江山啊
202820	204660	行行行 我就在这说吧
204660	205940	咱就试试GET直播
205940	207540	我今天就不发GET视频了
208740	211860	咱有GET直播了以后尽量少发视频
211860	212940	我不愿意发视频
212940	214820	我还愿意直播啊
214820	217580	就这样子和战友们的这个这种啊
217580	220340	真实的对话没有篡改的啊
220340	222340	更不能有什么编辑啊什么的啊
222340	223820	胡扯的啊
