start	end	text
0	7200	哎呀 兄弟姐妹們啊 4月5日
7200	10000	咱先開始先給大家考一個問題
10000	14000	昨天你爽朽了嗎 誰雙休了誰舉手
14000	18000	誰雙休了誰舉手啊 我看誰舉手啊
18000	23000	誰雙休了 昨天誰雙休了啊
24000	28000	兄弟姐妹們 有沒有 還真有哎
28000	31000	真有膽大的 真有膽大的啊
31000	33000	真有膽大的啊
33000	36000	這個首先啊 據歷史記載
36000	38000	在2000多年以前的春秋時代啊
38000	42000	晉國公子 晉國公子終而逃亡在外
42000	47000	生活艱苦啊 誰跟隨他的戒指推
47000	51000	不惜從自己的腿上割下一塊肉讓他衝擊
51000	53000	後來從而回到了晉國
53000	57000	做了國君 晉文公 春秋五霸之一啊
57000	61000	這個大勢封賞所有跟隨他流亡在外的隨從
61000	65000	唯獨戒指推拒絕接受封賞
65000	67000	他帶了母親隱居綿山
67000	71000	晉文公無計可施 只好放火燒山
71000	74000	他想戒指推啊 孝順母親
74000	76000	一定會帶著老母親出來
76000	79000	所以這場大火卻把戒指推的母子燒死了
79000	81000	為了紀念戒指推
81000	84000	晉文公下令每年的這一天禁止生活
84000	86000	家家戶戶只能吃生冷的食物
86000	89000	這就是韓世節的來源 清明節的由來
89000	91000	這是一種說法
91000	96000	但是在周朝 唐朝都有各種說法
96000	99000	咱先不說了 我先不說這個戒指推
99000	102000	還有這個中耳這個故事 我就不信
102000	106000	咱咋就這到了以後跟隨他
106000	108000	就是當時的流亡海外
108000	111000	然後你餓了 我就把腿上切塊肉
111000	114000	按照我今天說 七哥咬過手指
115000	117000	七哥斷過手指
122000	124000	小的時候 七八歲的時候
124000	126000	為了一起玩的兄弟們
126000	129000	欠人家一塊錢是五毛錢 我忘了
129000	132000	六七毛錢吧 欠人家很大的錢了
132000	134000	結果要都揍他
134000	136000	我說別打了 我一星期我還
136000	139000	還不了我說我斷一個手指子給你們
139000	141000	最後七哥也切過手指
141000	144000	他很疼啊 沒有弄下來 很疼啊
144000	146000	咬過手指你也看過 是不是
146000	148000	七哥的手上也受過多傷
148000	151000	說這大腿上割一塊肉
151000	154000	給中耳吃 我不相信
155000	157000	然後呢 吃完肉以後
157000	159000	然後回來當皇帝了
159000	162000	你看 首先帶著老娘上深山了
162000	164000	隱居山林
164000	167000	不愛權 不愛官
167000	169000	不愛錢 不愛名義
169000	171000	只孝敬老人
171000	173000	然後中耳到時候大肆封賞自己
173000	175000	當年跟隨自己的人
175000	179000	然後戒指推跑深山老林去了
179000	182000	不回來 他就去燒山
182000	184000	就把你給燒出來
184000	186000	皇帝你想用燒山嗎
186000	189000	你派兵把他綁來不就完了嗎 是不是
189000	192000	燒山把他給熏出來 你覺得這可靠嗎
192000	194000	中國人這個故事吧
194000	196000	編的叫你完全是無厘頭的
196000	198000	沒有任何科學性
198000	200000	就是想豐富
200000	202000	證明皇帝重情重義
202000	204000	證明戒指推
204000	206000	孝敬老人不愛權不愛力
206000	209000	放狗屁這是
209000	211000	我壓根就不信
211000	214000	包括那唐朝的故事 我壓根就不信
214000	216000	包括七哥說的這個佛教故事
216000	219000	一燈能出千年暗
219000	221000	一智能滅萬年魚
221000	223000	你看看佛家講故事
223000	224000	我記得特別有意思
224000	226000	到那個雀山
226000	228000	雀山很小地方也有一個廟
228000	231000	廟裡住著幾個真的老和尚
231000	235000	我說這雀山這小地方還有這個
235000	238000	從武臺山你可以有這些高人
238000	240000	然後我就進去了
240000	241000	我說老人家說說
241000	243000	這個一燈能出千年暗啥故事
243000	245000	他給我講了個不同的故事
