start	end	text
0	7200	哎呀 兄弟姐妹们啊 4月5日
7200	10000	咱先开始先给大家考一个问题
10000	14000	昨天你爽朽了吗 谁双休了谁举手
14000	18000	谁双休了谁举手啊 我看谁举手啊
18000	23000	谁双休了 昨天谁双休了啊
24000	28000	兄弟姐妹们 有没有 还真有哎
28000	31000	真有胆大的 真有胆大的啊
31000	33000	真有胆大的啊
33000	36000	这个首先啊 据历史记载
36000	38000	在2000多年以前的春秋时代啊
38000	42000	晋国公子 晋国公子终而逃亡在外
42000	47000	生活艰苦啊 谁跟随他的戒指推
47000	51000	不惜从自己的腿上割下一块肉让他冲击
51000	53000	后来从而回到了晋国
53000	57000	做了国君 晋文公 春秋五霸之一啊
57000	61000	这个大势封赏所有跟随他流亡在外的随从
61000	65000	唯独戒指推拒绝接受封赏
65000	67000	他带了母亲隐居绵山
67000	71000	晋文公无计可施 只好放火烧山
71000	74000	他想戒指推啊 孝顺母亲
74000	76000	一定会带著老母亲出来
76000	79000	所以这场大火却把戒指推的母子烧死了
79000	81000	为了纪念戒指推
81000	84000	晋文公下令每年的这一天禁止生活
84000	86000	家家户户只能吃生冷的食物
86000	89000	这就是韩世节的来源 清明节的由来
89000	91000	这是一种说法
91000	96000	但是在周朝 唐朝都有各种说法
96000	99000	咱先不说了 我先不说这个戒指推
99000	102000	还有这个中耳这个故事 我就不信
102000	106000	咱咋就这到了以后跟随他
106000	108000	就是当时的流亡海外
108000	111000	然后你饿了 我就把腿上切块肉
111000	114000	按照我今天说 七哥咬过手指
115000	117000	七哥断过手指
122000	124000	小的时候 七八岁的时候
124000	126000	为了一起玩的兄弟们
126000	129000	欠人家一块钱是五毛钱 我忘了
129000	132000	六七毛钱吧 欠人家很大的钱了
132000	134000	结果要都揍他
134000	136000	我说别打了 我一星期我还
136000	139000	还不了我说我断一个手指子给你们
139000	141000	最后七哥也切过手指
141000	144000	他很疼啊 没有弄下来 很疼啊
144000	146000	咬过手指你也看过 是不是
146000	148000	七哥的手上也受过多伤
148000	151000	说这大腿上割一块肉
151000	154000	给中耳吃 我不相信
155000	157000	然后呢 吃完肉以后
157000	159000	然后回来当皇帝了
159000	162000	你看 首先带著老娘上深山了
162000	164000	隐居山林
164000	167000	不爱权 不爱官
167000	169000	不爱钱 不爱名义
169000	171000	只孝敬老人
171000	173000	然后中耳到时候大肆封赏自己
173000	175000	当年跟随自己的人
175000	179000	然后戒指推跑深山老林去了
179000	182000	不回来 他就去烧山
182000	184000	就把你给烧出来
184000	186000	皇帝你想用烧山吗
186000	189000	你派兵把他绑来不就完了吗 是不是
189000	192000	烧山把他给熏出来 你觉得这可靠吗
192000	194000	中国人这个故事吧
194000	196000	编的叫你完全是无厘头的
196000	198000	没有任何科学性
198000	200000	就是想丰富
200000	202000	证明皇帝重情重义
202000	204000	证明戒指推
204000	206000	孝敬老人不爱权不爱力
206000	209000	放狗屁这是
209000	211000	我压根就不信
211000	214000	包括那唐朝的故事 我压根就不信
214000	216000	包括七哥说的这个佛教故事
216000	219000	一灯能出千年暗
219000	221000	一智能灭万年鱼
221000	223000	你看看佛家讲故事
223000	224000	我记得特别有意思
224000	226000	到那个雀山
226000	228000	雀山很小地方也有一个庙
228000	231000	庙里住著几个真的老和尚
231000	235000	我说这雀山这小地方还有这个
235000	238000	从武台山你可以有这些高人
238000	240000	然后我就进去了
240000	241000	我说老人家说说
241000	243000	这个一灯能出千年暗啥故事
243000	245000	他给我讲了个不同的故事
245000	247000	我到了武当山
247000	249000	武当山请教老和尚又讲不同故事
249000	251000	到了西藏西藏我讲很多故事
251000	255000	到了少林寺就更不一样了 是不是
255000	258000	董仲灿董仲灿这更不一样了
258000	262000	什么一个一个出家人走在深夜里边
262000	264000	一个盲人打著灯笼
264000	266000	结果是说你盲人你打什么灯笼啊
266000	268000	他说你看给我照路啊
268000	270000	他说你盲人你照什么路你是真瞎吗
270000	271000	我说我是真瞎啊
271000	272000	那你照什么路啊
272000	275000	说你看你刚才被人撞了吗
275000	277000	他说我被人撞了好几回了
277000	279000	他说那我就没人撞我
279000	282000	我这个灯笼打的是照别人别撞我
282000	283000	我也给别人照了路
283000	284000	别人照了路啊
284000	288000	这意思你看这个深夜黑暗中你打一个灯笼
288000	293000	就你有信仰你有希望能帮助别人也能不伤害自己
295000	298000	另外的所谓的少林寺的故事讲的就更加玄了
298000	302000	有人像一个说啊六祖下面的人啊
302000	304000	说这个一灯能出千天暗啥意思
304000	308000	你看拿著灯在屋里边灯啥没有一照啪
308000	310000	屋里所有的黑暗都没有了
310000	313000	他说这个灯是这里边唯一的希望
313000	316000	信仰佛祖就是你自己的内心
316000	319000	然后拿著灯到院里边月亮下一照
319000	320000	这灯不显得亮了
320000	322000	说你有月亮有星星还显得到这个吗
322000	323000	显不著
323000	325000	他说我们人类就在黑暗中
325000	326000	所以说你看到这个灯
326000	330000	说这个故事吧你咋讲都行
330000	332000	是不是啊我跟他们开玩笑
332000	335000	我说那对一个当年对一个寡妇来讲
335000	337000	要打一灯笼啥概念
337000	341000	那个寡妇打个灯笼是不是就是出去叫寻夫啊
341000	346000	这个灯笼能解决自己孤独寂寞的这个灯啊
346000	349000	所以说这个故事吧他不能乱讲
349000	352000	所以说中国这个清明节的故事讲很多
352000	354000	但今天我要讲的事情
354000	357000	兄弟姐妹们为啥共产党
357000	360000	他要大量的宣传大家过清明节
360000	364000	而且大家要知道正好是昨天
364000	369000	西方的复活节和中国的清明节壮壹天上去了
369000	371000	壹个死壹个活
371000	373000	壹个是生日
373000	375000	壹个是活了
375000	377000	壹个是中国人死了
377000	378000	今天死的
378000	380000	那死和活的两个节壮壹天
380000	381000	大家有多大的概率
381000	384000	大家猜猜有多大概率
384000	388000	西方的复活节和清明节壮壹起
388000	389000	我听听大家
389000	390000	听听大家
395000	396000	百分之壹
400000	401000	几千分之壹
401000	402000	文盲
403000	404000	文盲
410000	411000	文盲啊
416000	417000	几千分之壹
418000	419000	百分之二
419000	420000	爆料革命靠自己
421000	422000	九万多
423000	424000	这 iPad 吧
424000	425000	这个真不是
425000	426000	哎
426000	427000	我们这约翰叔叔
427000	429000	真的这个真的是没办法
429000	430000	这个人啊
430000	431000	脑子是真的是有问题的
431000	433000	他不是壹般的有问题啊
433000	434000	我真不愿意说
434000	436000	就是 iPad 从几个月以前我就说
436000	438000	这个 iPad 这个非常不稳定
438000	439000	他从第壹天来就说
439000	441000	到现在解决不了问题
441000	442000	他真是个好人
442000	443000	但他这个毛病
443000	444000	这个情伤
444000	447000	樱桃七夕真是太可怕了
448000	449000	几十万分之壹
449000	450000	千万分之壹
450000	451000	零概率
451000	452000	年壹
452000	453000	多少年壹回
453000	455000	三十年壹回
455000	457000	盘古风云啊
457000	458000	2020 说的是对的
458000	459000	三十年壹回
461000	462000	三十分之壹
462000	463000	不是六十分之壹啊
463000	465000	命中注定啊
465000	469000	就在三十分之壹这个概率上
469000	470000	大家要看到壹个啊
470000	472000	非常可怕的事情
473000	475000	我为啥今天跟他讲这个
475000	476000	前天我来开玩笑
476000	477000	我说复活节我不知道
477000	478000	妳说七个能不知道复活节吗
478000	479000	我这旁边
479000	480000	管家
480000	481000	保镖
481000	482000	保姆
482000	483000	阿姨
483000	484000	全部都要过复活节
484000	485000	是很重视
485000	486000	我能不知道复活节吗
486000	487000	开玩笑呢
487000	488000	咱过那么多复活节
488000	490000	我是开玩笑呢
490000	493000	复活节和这个清明节
493000	497000	清明节是我们都不愿面对的节日
497000	500000	可以说这个清明节是壹个
500000	504000	中国人是拒谈不愿意谈死亡的
504000	507000	日本人是不忌讳死亡的
507000	508000	所以日本的白灯笼
508000	509000	红灯笼
509000	510000	黑灯笼
510000	511000	壹起用
511000	514000	黑白事同时来
514000	515000	犹太人妳看看
515000	516000	这么家庭观念
516000	517000	犹太人人死了在地上躺著
517000	518000	他啥都不管
518000	520000	该吃吃该喝喝
520000	522000	他们壹点这个对死亡的概念
522000	524000	而且根本服的不服
524000	525000	管的不管的
525000	526000	只有中国人
526000	529000	就家人过世以后的悲痛
529000	531000	甚至是改变生命的
531000	536000	中国人特别是对这个死是忌讳的
536000	538000	西方妳看复活节
538000	539000	还是很开心的
539000	541000	很大的个节日
541000	543000	号称五大节日之壹
543000	545000	那么在这个重复的时候
545000	546000	我们看到了壹个什么
546000	547000	让我想起来
547000	549000	我和共产党当年
549000	551000	当年的中国旅游局局长
551000	553000	当年管旅游谁呀
553000	555000	中国的副总理吴怡
555000	558000	在那个时候都开始提倡
558000	560000	他们在壹起商量
560000	561000	今年的清明节
561000	563000	要宣传宣传
563000	564000	好好弄壹弄
564000	566000	为啥宣传清明节
566000	569000	过去的皇帝宣传清明节
569000	572000	叫塔清节
572000	573000	春暖大地
573000	575000	春回大地
575000	578000	什么春阳大地
578000	580000	什么冬天离去
580000	582000	阴去阳来
582000	583000	大地复阳
583000	585000	都是这样的词
585000	587000	他不太说死亡
587000	589000	说的是塔清节
589000	591000	大家去上山上
591000	593000	去塔清赏花
593000	594000	像现在
594000	596000	我们妳看所住的地方纽约
596000	598000	纽约这种地方和中国
598000	601000	北京和很多地方
601000	603000	它是同处壹个
603000	606000	同处壹个交界线上
606000	607000	同处壹个交界线上
607000	608000	维度是壹样的
608000	610000	所以这里的气候
610000	614000	和中国的东北和北京差不多
614000	615000	所以说
615000	616000	北京现在也什么
616000	617000	逛香山
617000	618000	塔清
618000	620000	东北差不多
620000	622000	那么在这种情况下
622000	623000	塔清是很重要的
623000	624000	春暖大地
624000	625000	大地复苏
625000	626000	是不是
626000	628000	这个冬天过去了
628000	630000	春天来了
630000	632000	就是阳气来了
632000	633000	阴气归去了
633000	635000	这从昨天开始起
635000	637000	从科学大地气候
637000	639000	中国的易经风水上
639000	641000	是阳盛阴衰
641000	643000	在昨天之前双修的
643000	645000	基本上是男人吃大亏
645000	649000	女人基本上是吸阴壮阳
649000	652000	但是妳愿意吸就被吸了
652000	653000	吸阴壮阳
653000	657000	听说慈禧还有过去的五折天
657000	660000	专门在昨天跟那几个情人
660000	662000	要轮著班来被吸阴
662000	664000	吸这壹下子就壹年了
664000	665000	我跟妳说
665000	667000	当时很多男的时候被吸完以后
667000	668000	基本上甚亏
668000	670000	所以中国共产党老换肾嘛
670000	671000	是不是
671000	672000	因为他老被吸
672000	674000	就被吸没了
674000	675000	这都是开玩笑
675000	677000	但是大家要记住
