start	end	text
640	2600	你像这个这个驼脚的这个 你看
4700	6400	是吧 打开是这样
7600	10400	是吧 这绝对是必须是真的 是吧
10800	12200	但你就这种心力
12400	14700	才能祝祝你对事情的理解和标准
14700	16400	那同样的音乐是一样的
16800	19400	就是你写这个词说我唱
20400	24100	我跟唐萍这个还有威廉王老师
24100	25200	我们录的歌
25700	27600	几乎都是每次一次都成功
28100	30000	在这之前我几乎没唱过
31200	32300	几乎没唱过
32700	35000	而且是原来第一次录唱来著
35000	37600	一个字一个字给我蹦出来的给我拼上去的
38000	39400	后来是半句半句的
39400	41200	再后来是一句一句的
41200	43400	再后来就是一整句一整句的就来了
44300	45700	它这种过程
46200	48900	它不是说我要表现我都会唱歌
49500	51400	也没想表演我唱多好
51500	52900	也没表演我有天分
52900	54300	我们就是想用这个歌
54600	58100	表达我们灭共的决心和情绪
58700	61500	我们就是想和传达一个我们的情绪
61600	63500	和我们的向往和我们的追求
63700	65200	没想说我唱多好
65200	67900	我跟威廉王兄弟和唐萍这是壹生种
67900	70200	也没想过说我们要打网啊
70200	71800	赚多少钱啊知名度
71800	73000	完全没这么想
73500	76000	而且我们会带来最多的风险
76400	77300	打压
77900	78800	威胁
79200	81600	这哪有唱歌还能带来要命的呀
81700	83900	结果呢因为我们那个歌要我们的命
84300	86900	是不是啊拿几亿美元几十亿美元的广告
87100	89300	来威胁全世界最大的音乐平台
89500	91600	不让你上你哪见过这样的歌啊
91900	92700	没有啊
93000	94800	所以说我们这个歌的不是
96000	97200	它不是歌啊
97600	98800	它不是歌
98900	100500	这是壹场这场革命
100800	102600	它是壹场歌的战争
103100	105800	这场战争中间的不是坦克
106200	108200	不是希特勒的所谓的轰炸机
108600	111400	也不是日本天皇的所谓的天皇的部队
111700	114900	也不是十字军东征的所谓的勇气和信仰
115400	117100	我们这场战争的武器
117100	118700	其中壹个就是歌
119400	120400	我们的歌
120700	121400	音乐
121500	124200	它是战两兵相争的壹场武器
124400	127100	就像中国大陆拍的那些玄妙的武侠圈
127100	129600	就就就就就就是各种力量
129600	131600	这个歌就是壹个其中的武器
131800	134800	它并不是代表著音乐的专业专业性
135000	137100	它并不是代表著我美丽的歌喉
137100	139000	和天生的所谓的唱歌的能力
139400	142700	它是代表著我们壹种追求向往
142900	143900	追求信仰
143900	147000	捍卫我的安全和信仰的壹种权利的方式
147400	149100	它跟歌没半毛关系
149400	150400	更重要的跟下载
150400	152600	人家打仿是因为我喜欢那个歌星
152800	154500	我喜欢那个歌我才去下载的
154500	155000	对吧
155200	156600	那这次下载的战友
156700	158200	不管妳唱好不好
158300	160700	没跟妳郭文贵唱的好不好
160900	162400	没半毛关系
163200	165100	是因为下载是因为战友
165500	166400	喜欢妳
166500	168000	欺歌妳唱的词
168300	169800	妳欺歌这个人
170000	171500	妳好坏我都喜欢
172500	173200	真的是
173300	175100	而且妳从任何专业角度
175100	176200	从任何角度讲
176700	178200	战友喜欢的都是
178400	179800	喜欢咱们这个革命
180200	181600	然后来了个唐平
181600	182200	未来王
182500	184000	妳说唐平未来王写出这词
184000	184800	我能唱这样
184900	186800	妳要让小福利7写的词
186800	187800	我能唱啥样出现
188100	188600	是不是
188900	190000	那不是WHO了
190000	191300	我不知道唱啥样的了
191500	193500	估计战友们下载完就不再听第二次了
193500	194000	是吧
194400	196000	那么现在大家注意到了
196500	198800	壹个温靴城的博客46万
198800	200300	我从来不知道啊
201000	202800	这是唐平的朋友才告诉我
202800	203300	才知道
203600	205000	这个博客真的很了不起
205400	207600	壹个温靴城的博客46万
207900	210000	那妳想想爆料革命的战友
210800	211700	有多少人
213000	214800	是路打脑袋最高峰的时候
214800	216000	壹万多人在那边在线吗
216500	219200	他壹个路打脑袋最牛的也就是
219200	221300	壹二十万三四五十万次观看
222500	223800	99%都不战友
224800	228500	西哥的任何壹个视频在国内
228500	230500	绝对都是上亿的次观看
230500	231500	壹定上亿次观看
231800	232800	妳们未来会知道
233200	234700	等有壹天妳会懂得啊
234700	236200	但愿那壹天不要发生
236200	238000	我们战友壹旦要出什么事妳可以明白
238400	240300	我们的每次爆料革命在国内
241000	242500	用最高端的技术穿过
242500	243800	这才是赵氏共党的恐惧
244000	245000	绝对不是海外
245700	248300	共产党从来不担心YouTube上
248800	251700	和海外GTV上给他们带来的任何事
251700	252700	它绝不在乎
253700	255500	甚至海外妳这四百多万的下载量
255500	256700	它根本就不要妳
257900	259000	它在乎的是
259500	261800	这四百多万人战友下载后
261800	263700	还有这些人把东西传到国内去了
263700	264900	它怕的是这个
265600	267300	而在国内它是屏蔽不住
267300	269100	就像那个温宣城46万
269100	271200	这绝对的是它害怕的
271200	273200	因为这些人绝对不是看完
273200	275100	在温宣城走了几个能翻墙的
275500	277500	都是到那班王回到国内去了
279300	280300	这壹点不夸张
280300	282500	可能是四亿也可能是壹亿也可能四千万
282800	284400	壹定是几百万以上的
285400	287400	那这是它真正的恐惧
288100	289100	真正的恐惧
289500	290500	就是国内的
290800	291900	潜伏的战友
292500	294600	把这些东西翻回到国内
294600	296900	再进行不同方式的传播
298500	300300	所以仓明内维廉王当我们看的时候
300600	301900	这个词有多重要
302300	303200	这两个核心
303200	304600	第壹爆料革命的精神
305100	306500	第二它是这个词
307500	308600	这个词写的是吧
308600	309600	我爱妳啊
309600	310500	妳爱我啊
310500	311300	我恨妳啊
311300	312000	妳恨我啊
312000	312600	我想妳啊
312600	313500	妳不想我啊
314000	314800	死了再上吧
314800	315700	再死壹回吧
315700	316500	死了再来吧
316700	317600	妳谁亲妳
317600	318200	妳再爱妳
318200	319300	亲哥妳也别来这个
319300	320800	妳现在都不是吗
320800	321300	是不是啊
322200	324200	所以这个词的意义
324900	327200	加上这个音乐的传播方式
327500	328300	它是个载体
328700	331200	加上这个核心是爆料革命灭共
331400	332300	永远别忘了
332600	334600	这是为什么壹切荣耀归战友
335000	335600	这个
336200	338700	咱们特别是现在看到这个在全球
338700	339500	妳看到现在
340100	342200	英国都排到前6名去了
342200	342900	英国啊
342900	343400	英国
344800	345300	厉害
346400	347500	英国这种地方
347500	348200	妳看它都玩
348200	349500	都玩前6名还了得了
350200	351100	刚刚的是
351900	353300	老窝又第2名了
354200	356200	老窝第2名第三名第4名
356700	358300	妳看看老窝都这样
358300	359200	老窝呀
361000	363800	对我昨天看机车那个战车站有壹个评论
364200	366000	壹个战友留言就是说
366100	368300	这种音乐灭共的形式特别好
368600	370300	这比上街强多了
371100	371600	对啊
371800	373500	真的妳要上街的话
