start	end	text
0	2000	江家会把中国给分了
2000	4000	他说没那么严重吧
4000	8000	今天我跟他的对话都变成现实
8000	13000	中国已经被江家和王岐山讲
13000	15000	像马明哲这样的人
15000	17000	你看三马吗
17000	20000	三马加上银声加上招商
20000	26000	你看招商银行的贷款是最多的八大银行之一
26000	29000	我说吴小辉的保险谁分走了
29000	31000	弄来弄去都弄到几个人手里去了
31000	33000	分了吗
33000	34000	是不是
34000	36000	这就是大家能看到
36000	38000	共产党的砸土豪分田地
38000	42000	最后是砸了所有的土豪成了几个土豪主
42000	46000	现在北京为啥要成立北京所
46000	48000	北交所
48000	50000	大家知道他想干什么吗
50000	51000	大家说一说
51000	54000	把刚才我说的话你们谈谈自己的看法
54000	55000	一人一分钟
55000	56000	然后咱谈谈北交所
56000	57000	好吧谢谢
60000	62000	那咱这样下来吧
62000	67000	咱们让两个妹妹
67000	68000	好
68000	69000	好的
69000	70000	那我说错了
70000	72000	大家不要怪我
72000	75000	我看应该就是
75000	77000	好
77000	78000	好
78000	80000	那我应该让七哥讲吗
80000	83000	江家马明哲跟王岐山分着这个中国
83000	84000	那如果现在
84000	87000	那个习近平要开这个交易所的话
87000	90000	是不是也是要想再分一根
90000	91000	就是
91000	92000	就是这样
92000	93000	哈
93000	94000	这根都是人家的
94000	96000	人家干嘛分你什么
96000	97000	国都是他的
97000	98000	你还分什么根
98000	99000	这傻子
99000	100000	哦
100000	101000	你这
101000	103000	你要想到说国都是他的
103000	106000	他这个性格怎么可能给你分尊呢
108000	109000	哦
109000	110000	那就是抢了对不对
110000	111000	把那个王岐山他们都抢过来
111000	112000	这不是抢了
112000	113000	他想拿就拿
113000	114000	他干嘛抢呢
114000	115000	刚才嘴角说
115000	116000	上海是我的
116000	117000	深夜是我的
117000	118000	我又分什么都是我的
118000	119000	根都是
119000	120000	这锅都是我的
120000	121000	我还分什么根啊
121000	122000	我不用分一根啊
122000	124000	王岐山我想弄死你弄死你啊
124000	125000	对不对啊
125000	126000	我干嘛分这根啊
126000	127000	你想想
131000	132000	安娜
133000	134000	你得想想去
134000	136000	我得想一想
138000	139000	稍微深想一下
139000	140000	我也不知道
140000	141000	我就不知道了
141000	142000	但是我觉得
142000	144000	反正就是利益呗
144000	146000	全部都是能尽量多分
146000	147000	全部都想
147000	148000	多拿
148000	151000	利益越拿多越好嘛
151000	152000	对他们来说
152000	153000	就是
153000	154000	而且勾兑嘛
154000	155000	互相勾兑
155000	156000	互相拍马屁
156000	157000	然后呢
157000	158000	不停的也是叫做
158000	161000	互相也是蓝金黄吧
161000	162000	这个
162000	165000	在应该是说他们慢慢会
165000	167000	这个垮台的情况下
167000	169000	肯定他们是会想要
169000	170000	越多的资源
170000	171000	越多的这个经济
171000	172000	应该是
172000	175000	那对他们来说肯定是他们想做的吧
175000	176000	谢谢
180000	181000	安红妹姐
182000	184000	安红妹姐在哪
184000	185000	安红妹姐在哪
185000	186000	我缺乏啊
186000	187000	因为国都是他的
187000	188000	提前什么
188000	189000	声插语多
189000	190000	宣传他一口
190000	191000	所谓的定义尊
191000	192000	他是有这个能力的
192000	193000	我们其实也看到了
193000	194000	从下面他上台
194000	196000	那么他下面得有人来帮他
196000	197000	他自己从现在的时候
197000	198000	他想很光明亮大
198000	200000	可是谁敢给他干这件事情
200000	201000	没有人给他干的话
201000	202000	他没有这些架子的话
202000	203000	他一人抢的话
203000	205000	最终他可能是不治的
205000	208000	因为未定能够在这个拼死拼活上
208000	209000	能够斗百姜和僧
209000	211000	我们知道这个姜的这个关系
211000	212000	是从六四之后
212000	214000	我们二十万到二十年平安
214000	215000	而这个僧
215000	216000	那简直了不起
216000	217000	他的父亲僧山
217000	218000	那当然就是
218000	220000	那个邓瑞钦之前是中组部的部长
220000	222000	一直是搞这个勤劳策务
222000	223000	搞这个组织关系的
223000	225000	所以真正从一样的来说
225000	226000	而且邓紫红这些年轻
226000	228000	他不再增加兵力
228000	229000	兴红兴环
229000	230000	不在台面上
230000	233000	可是我们时时处处都能在台面上
233000	234000	看到他们台后的你
234000	236000	那么形容这个嘴角所
236000	237000	我个人认为就是说
237000	240000	他得给自己的马百门损失好了利益
240000	241000	否则没给他干活
241000	242000	对不对
242000	243000	我是这么来的
243000	244000	谢谢
249000	251000	好 齐哥 我说两句
251000	254000	刚才我听您讲一个给大方论
