start	end	text
0	30000	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊�
30000	44520	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊
44520	47920	喊喊喊喊喊喊喊喊喊
47920	53400	喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊喊
53400	55040	十一月三十二
55040	57040	各位姐妹们 大家好
57040	61040	西哥健身让聊直播
61040	63040	打个招呼
79040	81040	累叉了
86040	88040	把你架起来
109040	111040	西哥30号休几分钟
115040	117040	腿都发抖了
119040	121040	45分钟
121040	123040	真的瘦了
124040	126040	各位姐妹们 大家好
129040	131040	大家看到星庆族
131040	133040	有多夸张的嘛
134040	136040	前方你有个小鞋
136040	149040	sized
149040	152040	在我和山镇上
152040	159280	都誇張了嗎 啊 爆料革命 準確的告示你情報
159280	163080	要待在家裡啊 許克萊德先生經常說的
163080	170400	一定要待在家裡 不要出去 千萬別嘚瑟 千萬別冒險
170400	178640	啊 兄弟姐妹們 為了全家人的健康 你們一定要小心啊
178960	183760	啊 兄弟姐妹們 務必要小心
184960	194400	就這一句話 啥都不想說了 啊 再一個千萬別投機啊
194400	200440	這股票啊 包括石油啊 都是莊家在做裝的現在
200440	205520	看到了嗎 拋拋進進 都是莊家在做
205520	210920	包括Twitter 做幾把CEO發上吊 把股票抬起來
210920	214520	很好 JK 很有可能明月5月份又回來了
214520	219480	因為業績好 搞了併購 是吧 併購什么Stripe啊
219480	225080	PairPair啊 因為這都是黑石先鋒背後的同一個股東
225080	229920	同一個爹父從的孩子 是吧 搞兩個併購
229960	237240	啊 JK又做好了 回來了 啊 這就玩緊了 把股票往上炒一炒
237240	242280	百分之十二十多的錢 上個沒有 幾十億美元 給你吸收了
242280	251120	然後炒掉 JK的 不是美國董事會 是共產黨
251120	254920	是共產黨對他不滿意 是吧 封爆料革命
254920	260600	跟美國的共和黨公的不顧徹底 都是騙局
262160	268240	大家不要搞錯了 跑步機啥牌子
268240	272960	意大利的牌子特別壞 這牌子非常壞 不要買
272960	280320	服務極差 非常漂亮 很好的事情是質量極差 服務極差
280320	284720	搬一次要你五千美金 絕對跟搶劫似的
284720	287160	意大利呀 這太差了
292680	297920	所以說 千萬別突擊進去 不要傻眼心得緊在那
300800	304800	千萬千萬不要 我跟你們說我這個機器我都先給它扔了
304800	308960	我買了七八台的機器 包括船股都用的這機器
308960	312680	但是服務太差了 這個意大利的股場早晚得倒閉
312680	316600	非常非常差 完全是敲詐
320720	326920	千萬別抄底 你抄不了底 就是你抄底了心裡就把你毀了
326920	330680	輪不到你抄底 兄弟姐妹們 千萬不要去
332320	336360	明天星期三大直播 有些問題大家可以在星期三
336360	340680	明天直播中問 好不好 想問查問查
343160	349280	你看看現在這世界亂了 大家兄弟姐妹們看看
349280	353520	到處香港的股市跌破兩萬三千點
353520	357720	啥概念 它是跟美元掛鉤的 怎麼樣
357720	362480	七哥跟你說過吧 它玩不下去的 是吧
363600	367280	這幫孫子現在天氣快穿了
373080	374200	啊
395960	398680	我現在降到十
402680	406680	降到十,不行,降到八了
432680	436680	四十五分钟
436680	438680	啊
460680	462680	四十五分钟
463680	465680	还有八分钟
466680	468680	各位姐妹们
468680	470680	傻子步伐了
470680	472680	就到这吧
472680	474680	千万不要乱跑
474680	476680	千万不要去抄底
476680	478680	待在家里
478680	480680	注意安全
484680	486680	我说过革新吧
486680	488680	会涨过六十分
488680	490680	六十七了
490680	492680	七哥跟你说的
492680	494680	啥都用看,看七哥
494680	496680	所有的海通、方正
496680	498680	方正我进的三块五
498680	500680	海通我进的十一块钱
500680	502680	还有部分十三块钱
502680	504680	看看
504680	506680	什么价格呢
506680	508680	全中国就这俩股没配钱
508680	510680	革新
510680	512680	是吧
512680	514680	但你们不要买革新
514680	516680	那个单价太高
516680	518680	挣的钱是有限的
524680	528680	我说李安德三条说这个
528680	530680	明天大直播
530680	532680	明天要换
532680	534680	做复杀器
536680	538680	没有比GTV喜币太好
538680	540680	没有Gclub太好
540680	542680	记住七哥说的话
542680	544680	他们那些都是股票
544680	546680	叫未来和希望
546680	548680	只有这个是
548680	550680	用习主席话说
550680	552680	缠尖尖的
552680	554680	缠尖尖的
556680	558680	缠尖尖的
558680	560680	扎扎实实的结果
560680	562680	缠尖尖的结果
564680	566680	缠尖尖的
566680	568680	宇宙无限大
568680	570680	地球是一粒沙
570680	572680	我让你干啥你干啥
572680	574680	干完以后就把你
574680	576680	啪杀
578680	580680	扎扎实实的扎扎实实的
580680	582680	扎扎实实的
582680	584680	扎扎实实
586680	588680	缠尖的结果
588680	590680	缠尖尖的结果
592680	594680	唉呀
594680	596680	唉呀
596680	598680	扎吧
598680	600680	扎吧
606680	608680	哎
610680	617080	今天這個很差 才一千多卡路里
623080	626440	西哥我想出國跟蹤你 給我幹啥呀兄弟姐妹們
628240	631680	滅了共了 咱想幹啥再幹啥
632120	636280	不滅共你跟著西哥那幹啥呀 從咱的風險嘛
636880	641600	啊 少得無所謂 滅了你姐
643160	646600	剛買的洗衣 太好了 我看了好多人買的
647000	651680	KVC是個最大的上賣 單純的會過的
666280	676600	啊 明天見 啊 明天見
680960	684480	哎呀 真不想離開 但我還有會呢兄弟姐妹們
685160	688880	要不然咱多聊一會 等我人家講話多聊一會
689600	693000	啊 我還沒鍛鍊完呢 還有好多動作呢
