start	end	text
0	12420	沿途
12440	18880	不等等
18880	24000	我
24000	32000	所以要不這次你們就不要用這個AR配件了
32000	36000	為什麼 還沒 出去了嗎
36000	39000	來了來了來了來了
39000	41000	為什麼
41000	46000	我是擔心這個右段椅子
46000	48000	不過 請你推出去我們
48000	52000	我就要治你這個擔心啊
52000	55000	是的 是的
55000	57000	現在已經推出去了
57000	59000	啊
82000	91000	行了吧
91000	93000	有聲音嗎
93000	95000	有的有的
95000	97000	謝謝
100000	102000	回來了 兄弟姐妹們
102000	104000	回來了啊
112000	114000	回來了
114000	116000	回來了
143000	145000	哎
145000	147000	坐一會兒也不錯
147000	148000	哎
148000	150000	也挺好感覺啊
160000	163000	我面具剛才試一試
163000	166000	試試咱們蓋特爾的面具如何
166000	168000	很一般
168000	170000	很一般
172000	174000	嗯
197000	199000	嗯 我這怎麼上不去呢
199000	201000	咱來拍
214000	216000	好
220000	221000	兄弟姐妹們
221000	222000	接著剛才說
222000	224000	就是這個郎賢平這個人啊
224000	226000	這個他的律師啊
226000	228000	就是跟我說這個人這個垃圾
228000	230000	這個天底下
230000	232000	共產黨還有中國的男人啊
232000	234000	睡女人啊
234000	235000	就不給人家錢
235000	236000	是吧
236000	238000	還老給人家談戀愛
238000	240000	這種不要臉的東西實在是太多了
240000	241000	啊
241000	242000	這這個
242000	243000	而且這人都是公知
243000	245000	你看鏡子裡什麼大導演啊
245000	246000	是吧
246000	247000	大編劇呀
247000	248000	所謂名人呢
248000	249000	是吧
249000	251000	專門睡人家小姑娘
251000	252000	還不給人家錢
252000	253000	現在流行
253000	254000	在上海是吧
254000	256000	一個饅頭睡一個十八歲的小姑娘
256000	257000	你說這王八蛋
257000	259000	這是天下哪有這種
259000	261000	這個民族這樣的國家還有救嗎
261000	263000	你能救得了嗎
263000	265000	兄弟姐妹們你去想想
265000	266000	啊
266000	268000	那些所謂的公知
268000	269000	大威
269000	270000	天天
270000	271000	天天舔這個嘴
271000	273000	給中國人民指導江山
273000	274000	都餓死個球子了
274000	275000	現在
275000	276000	是吧
276000	277000	頭兩天還說呢
277000	278000	支持上海啊
278000	280000	清廷政策那個貨叫什麼
280000	281000	死了
281000	282000	是吧
282000	284000	這老天是公平的
284000	286000	老天就把他給收了
286000	287000	是吧
287000	288000	還像郎賢廷
288000	290000	他活在中國這個世界上
290000	291000	過得那麼好
291000	293000	就是對十四億
293000	295000	善良的中國人民是個侮辱
295000	297000	就像中國共產黨一樣
297000	298000	啊
298000	300000	他在中國能執政七十年
300000	301000	一百年的中國混
301000	304000	是所有中國人的恥辱
304000	305000	對吧
305000	307000	從上海事件看什麼
307000	309000	從長春你再看看
309000	311000	長春咱們戰友說
311000	312000	啊
312000	313000	啊
313000	315000	原來我們樓下一大夜
315000	316000	天天背著手
316000	317000	啊
317000	318000	在廣場上
318000	320000	從早到晚的批評這個批評那個
320000	322000	看誰不順眼
322000	323000	啊
323000	324000	為什麼呀
324000	326000	兒子是清華的
326000	328000	兒媳婦是清華的
328000	330000	兒媳婦是上海人
330000	332000	兒子兒媳婦在上海
332000	334000	餓的不行了
334000	336000	到處求救
336000	338000	最後
338000	339000	啊
339000	340000	兒媳婦
340000	341000	啊
341000	342000	看來要做出犧牲了
342000	344000	老爺子大罵
344000	345000	正在沒罵完呢
345000	347000	他在長春也被隔離了
347000	348000	啊
348000	349000	老頭結果是什麼
349000	351000	天天喊著一切是黨的
351000	352000	聽黨的
352000	353000	黨偉大
353000	354000	黨比賤娘還親
354000	356000	老蔣是盾底子輝煌
356000	358000	老頭做三個球的
358000	359000	啊
359000	361000	不是我們心狠
361000	364000	就你替共產黨鼓吹一輩子的人
364000	367000	你得這種報應實在一點都不足
367000	368000	啊
368000	370000	到現在國內很多人啊
370000	371000	就是中老年人
371000	372000	啊
372000	374000	你看共產黨對我好
374000	376000	免費醫療
376000	378000	免費醫療免費醫療
378000	380000	聽到這詞免費醫療
380000	382000	一個基本的常識
382000	384000	政府不生產一分錢
384000	386000	這是個基本的常識
386000	389000	全世界沒有一個政府創造一分財富的
389000	391000	所有的財富都老百姓剝奪的
391000	392000	免費醫療
392000	393000	為啥免費醫療
393000	395000	你的空氣乾淨嗎
395000	398000	你在糧食賣的價格合理嗎
399000	401000	你的土地誰也是你的
401000	402000	他給你了嗎
404000	407000	你的孩子你的家人有機會嗎
407000	409000	他剝奪了你所有的
409000	410000	老天你生下來的
410000	412000	因為我的乾淨的空氣
412000	414000	應有的土地應有的尊嚴
414000	417000	和你生下孩子以後公平的一個機會
417000	418000	都給你剝奪完了
418000	420000	而且你快死求贊的時候
420000	422000	給你手上免費醫療
422000	424000	而且免費醫療的東西都是腐敗的
424000	425000	不是腐敗的結果
425000	426000	那藥都是假的
428000	430000	然後說我們老人家坐車都免費
430000	432000	你坐車本免費
432000	434000	你兒子你閨女付錢了
437000	439000	無知愚蠢到這種程度
439000	441000	到現在認為黨好
441000	443000	你認為黨好的你先想想
443000	446000	今天的上海廣州鄭州的水災
446000	448000	西藏新疆大屠殺
448000	450000	這麼好的黨
450000	451000	你問他他怎麼這麼幹
451000	453000	你未來你的子女走到全世界
453000	454000	你有生存的機會嗎
456000	457000	有嗎兄弟姐妹們
458000	459000	沒有人知道
460000	462000	他不知道叫殺雞取卵
463000	467000	他更不知道共產黨釜底抽薪
467000	470000	賣掉了你的所有的祖孫的未來
471000	475000	而且是拿你的血賣你的血
475000	477000	然後給你一點兒吃頭
477000	479000	抽的是你的血
479000	482000	給你的所謂的化學的饅頭
482000	484000	這點兒常識的沒有嗎
484000	486000	就這兒有很多人還會過來參戰
486000	487000	就這兒上海
487000	489000	就常識的老頭
489000	492000	還在那兒天天背著手指導指揮江山呢
492000	494000	我們家倆聽話
494000	495000	是吧
495000	496000	都在上海工作
496000	498000	我兒子娶上海的上海閨女
498000	499000	完了
501000	503000	但願在天堂他能醒悟過來吧
504000	505000	我們沒有人
505000	507000	你可以不醒來啊
507000	509000	我郭文貴爆料革命不求任何人醒來
510000	511000	你用幹嘛醒來
511000	512000	你可以不醒啊
512000	513000	你當我們放屁
513000	514000	我們是騙子
514000	515000	我們是流氓
515000	516000	郭三表
516000	517000	郭強姦
517000	518000	是吧
518000	519000	郭騙子
519000	520000	不要醒來
520000	521000	你就睡在那裡
521000	523000	天天喊結親娘親不如黨親
523000	524000	看看吧
524000	525000	試試
526000	527000	上海
528000	529000	還有長春
529000	530000	廣州
530000	531000	鄭州
531000	532000	深圳
532000	534000	所有這些災難性的事件
534000	535000	告訴了大家一個問題
535000	536000	我們不如新疆人
536000	538000	更不如西藏人
539000	541000	我們就更不如香港人
542000	545000	新疆人即使種族大屠殺
545000	547000	新疆還有人在呼籲
547000	548000	新疆還有人在戰鬥
548000	550000	還有人在反抗
551000	553000	西藏整了一百年了
553000	555000	西藏人在反抗
555000	557000	就像我們臺灣兄弟一樣
557000	559000	寧可一死相拼
559000	562000	也不與你這個王八蛋的流氓混在一起
565000	566000	寧可一睡
566000	568000	我也不能跟你這個瓦在這塊兒睡
568000	569000	睡在一起
569000	570000	中國人是什麼
570000	572000	寧可老子跟瓦睡
572000	574000	我寧可這玉跟瓦睡
574000	575000	我也不能讓
575000	578000	也不能讓我死掉
578000	580000	寧可我這玉變成瓦
580000	583000	我寧可受瓦的強姦和屈辱
584000	586000	你跟西藏怎麼比
586000	588000	到現在你都沒辦法
588000	590000	喜馬拉雅山不是高的問題
590000	592000	喜馬拉雅山是一個純潔的問題
592000	594000	咱們沒有
594000	596000	到香港就更不用提了
596000	598000	一個三歲的毛孩子
598000	601000	都比那周南坑的老王八蛋有勇氣
602000	603000	香港人的勇敢
603000	604000	香港人的勇氣
604000	607000	不是盛程那麼簡單
607000	610000	絕不是盛程那麼簡單
610000	614000	它已經超出了我們中國人所有的認知了
615000	618000	而且很多所謂的在香港混的上海人
618000	620000	在香港的時候有勇氣
621000	624000	從香港回到上海以後
624000	627000	全部都是僥倖、嬌氣
627000	628000	然後最下剩下什麼
628000	630000	都是洩氣
631000	632000	我就不說誰了
632000	634000	我很多上海的朋友
634000	636000	都是在香港出生的
636000	639000	這幾年回到上海就撈錢去了
639000	640000	撈著撈著
640000	643000	現在回到狗屁都不是
643000	644000	活的沒個人樣
644000	646000	滿嘴謊言
647000	649000	我們不如新疆
649000	650000	不如西藏
650000	652000	更不如香港
652000	654000	我們如臺灣嗎?
654000	656000	到現在臺灣的經濟
656000	657000	臺灣的科技
657000	658000	臺灣的人文
658000	660000	大陸人跟臺灣比
660000	662000	那不是一個世紀的差距
662000	665000	不是臺灣在那個島上待了
665000	667000	所謂一個世紀的問題
667000	669000	那是我們太慘了
669000	671000	沒法跟人家比
671000	676000	所以說兄弟姐妹們
676000	679000	真正的現在的問題
679000	682000	從上海、香港、廣州看
682000	683000	說實在話
683000	685000	中國人走到全世界以後
685000	686000	再吹狼
686000	687000	再吹狼蛋
687000	690000	狼蛋你都不配吹
690000	692000	你吹鼠蛋去
693000	694000	自己的女人
694000	695000	自己的老婆
695000	696000	自己的女兒
696000	697000	你都保不住
697000	698000	有什麼臉的
698000	700000	有什麼臉說話呀
700000	702000	像吳征這個孫子
702000	705000	天天拿著自己的老婆到處去找鑰匙
705000	708000	現在吳征在上海啥感覺啊?
708000	710000	就吳征那樣上海人是嗎?
710000	713000	就上海男生那樣是嗎?
713000	716000	就吳征這種天揍的東西
716000	718000	這是不得好這王八蛋
718000	720000	壞到極致了
720000	721000	壞到極致了
721000	723000	出這麼個上海人是吧?
723000	725000	這也是老天的報應
727000	728000	所以說這上海
728000	729000	大家記住
729000	732000	上海的荒唐的亂象
733000	737000	老的沒人問
737000	738000	沒人管
738000	741000	更不要說什麼共產黨的敬老
741000	744000	幼的死了沒人問
744000	746000	更不要談敬老愛幼
746000	748000	沒敬老人不敬
748000	750000	幼兒得不到照
751000	752000	尊重女性
752000	754000	女性得不到半點尊重
754000	757000	一個饅頭就換睡一次
758000	759000	是吧?
759000	760000	黨員
760000	762000	黨員是啥用啊?
762000	763000	什麼什麼什麼
763000	765000	什麼衛生辦主任
765000	766000	社區主任
766000	768000	自殺的壹堆壹堆的
769000	771000	吳征這個孫子到處吹牛
771000	774000	他家裏面背了好幾噸糧食
775000	778000	而且裝病進醫院
778000	780000	行賄當地政府官員
781000	784000	楊瀾要到前線問候去的
784000	786000	楊瀾要到前線問候去
786000	788000	也就到前線去找鑰匙去吧
789000	790000	是吧?
790000	793000	這孫子妳怎麽弄妳說妳怎麽弄啊?
793000	795000	這就是吳征啊
795000	797000	所以說兄弟姐妹們
797000	802000	這就是整個現在中國的社會的整個的災難
802000	806000	第二個現在我們要談壹下這個關於臺灣的問題
806000	809000	今天我們直播給臺灣戰友們說壹下
809000	810000	臺灣什麽情況
810000	812000	我也告訴大家啊
812000	814000	臺灣什麽情況呢
815000	818000	臺灣的情報部門
818000	821000	臺灣的軍隊絕大多數都已經被收買了
822000	824000	仗壹開打
824000	826000	臺灣的壹定老百姓
826000	828000	第壹個賣老百姓的啊
828000	832000	壹定是臺灣的軍方和情資部門
833000	836000	臺灣最近買了很多這個無人機
836000	838000	無人機妳知道是哪兒造的嗎?
838000	840000	無人機都是大陸造的
840000	842000	記住聽科技的說話啊
842000	843000	記住啊
843000	845000	4月14號
845000	846000	郭文貴說的
846000	849000	臺灣買的無人機都是大陸造的
849000	851000	大陸就把無人機賣哪兒了
851000	853000	賣給澳大利亞
853000	857000	臺灣的軍人再從澳大利亞把無人機買回去
857000	859000	買回到臺灣
859000	860000	妳打什麽仗
861000	864000	現在大陸
864000	866000	上海
866000	869000	管給臺灣的美金現金
869000	871000	包括黃金
871000	873000	現在是大批量的給
874000	876000	給到他們上海的家人
876000	879000	有些是給到這個臺灣
880000	881000	不但如此
881000	882000	而且向他們許諾
882000	883000	壹旦開戰
883000	886000	都會把他們家人安坐好
886000	888000	戰後呢拿出這個臺灣
888000	889000	土地都分好了
889000	891000	什麽人有什麽人有
891000	892000	臺灣威嚴
892000	895000	我今天說的話大家走著看啊
895000	897000	我向全世界政府
897000	900000	我向他們保證郭文貴重來責任的
901000	905000	臺灣的無人機是來中國共產黨的
905000	907000	所以說美國人到時候得氣死
907000	909000	發現幫臺灣打仗
909000	912000	結果臺灣的無人機是買自己大陸的
912000	913000	走著看啊
913000	914000	走著看
914000	916000	所以臺灣威嚴了吧
918000	921000	另外壹個現在關於大家剛才我看到
921000	923000	有人來問這個烏克蘭的事啊
923000	926000	銀行限制轉款金額
927000	930000	Aloha 12
931000	934000	這個5月12號是那些人們
934000	937000	也就是說我認為是4月底5月份
937000	939000	5月初應該打臺灣了
939000	940000	應該可能啊
941000	945000	因為世界局勢目前是在千變萬化中
945000	946000	如果打臺灣的話
946000	948000	他們壹定限制妳取錢
948000	951000	現在我法律上讓妳不取了
951000	953000	我限制額度了
953000	957000	到時候我是名正言順
957000	958000	不讓妳取錢
959000	960000	這就這樣
960000	961000	是吧
961000	962000	耍流氓嘛
962000	963000	對吧
964000	965000	所以說
965000	967000	現在就是做好戰爭的準備
967000	969000	壓力測試讓妳不取錢
969000	971000	他也沒錢讓妳取了
971000	972000	以戰爭為名
973000	974000	以戰爭時機為名
975000	976000	不讓妳取了
976000	977000	我發現這個
977000	979000	美元這個我得給它關了
979000	980000	來
982000	983000	關了
983000	984000	它老晃啥
984000	985000	晃啊
985000	986000	美啥眼
986000	987000	其他人的臉比美顏好看嗎
988000	989000	這美顏真差
989000	991000	我發現真差
991000	992000	真差
993000	995000	這個Kinley 約翰 波波
995000	996000	這幾個小子
997000	999000	約翰真是差
999000	1000000	不是壹般的差
1009000	1011000	所以說 兄弟姐妹們
1012000	1016000	整個銀行所有的準備
1016000	1017000	就是為戰爭準備的
1018000	1019000	所以說
1019000	1020000	現取也沒錢
1020000	1021000	而且找理由
1025000	1026000	替個牛屁
1026000	1027000	牛屁
1027000	1028000	牛屁
1028000	1029000	還有啥 兄弟姐妹們
1029000	1030000	還有啥要問的
1031000	1032000	替個廣州還能逃出來嗎
1032000	1033000	這個我不知道
1034000	1035000	說了四五年了
1035000	1036000	妳現在才逃
1036000	1037000	現在才逃
1038000	1039000	馬努
1039000	1041000	馬努吉諾比利老戰友
1044000	1046000	現在很多地方打疫苗
1046000	1047000	抬頭式的
1047000	1048000	這個特別是在福建
1048000	1049000	廣西
1049000	1050000	西藏
1050000	1051000	專門給老人打
1051000	1052000	多少錢了知道嗎
1053000	1054000	5000塊錢打壹個老人家
1056000	1057000	這個世界上
1057000	1059000	不用七哥說
1060000	1061000	如果有人說
1061000	1062000	我幫妳打針給妳吃病
1062000	1063000	我給妳錢
1064000	1065000	妳覺得這個針妳還能打嗎
1066000	1068000	特別是給妳5000塊錢
1069000	1070000	妳還能打嗎
1072000	1075000	竟然有人帶著自己的爹媽去打球
1075000	1076000	打兩針
1076000	1077000	壹萬塊錢
1077000	1079000	孩子立馬拿壹萬塊錢去買個iPhone
1079000	1082000	他不知道這個iPhone就是他爹他媽的命
1083000	1084000	妳怎麼辦呢
1086000	1087000	不是無知的問題
1087000	1089000	不是無辯真假的問題
1089000	1090000	這已經是到了
1090000	1092000	人不如畜
1092000	1094000	人比畜生心還惡
1095000	1097000	連死路的心都比他善良的情況
1098000	1099000	妳怎麼辦呢
1100000	1102000	現在在中國很多農村
1102000	1103000	很多偏遠地區
1103000	1105000	專找老人打
1105000	1107000	記住這幾個關鍵詞
1107000	1108000	專找老人打
1109000	1111000	他打了還給妳錢
1111000	1113000	還給妳壹個5000
1115000	1117000	昨天晚上咱們壹個北京的戰友
1118000	1120000	是原來大村的壹派出所壹警察
1122000	1123000	他說七哥
1124000	1126000	我真是知道了
1126000	1128000	我真的是懂了
1128000	1130000	他是他叔叔帶大的
1131000	1135000	他叔叔在東北被弄了去打針去了
1135000	1136000	所謂的沖宿
