start	end	text
0	1000	是
1000	2000	是
2000	3000	是
3000	4000	是
4000	5000	是
5000	6000	是
6000	7000	是
7000	8000	是
8000	9000	是
9000	10000	是
10000	11000	是
11000	12000	是
12000	13000	是
13000	14000	是
14000	15000	是
15000	16000	是
16000	17000	是
17000	18000	是
18000	19000	是
19000	20000	是
20000	21000	是
21000	22000	是
22000	23000	是
23000	24000	是
24000	25000	是
25000	26000	是
26000	27000	是
27000	28000	是
28000	29000	是
29000	30000	是
30000	31000	是
31000	32000	是
32000	33000	是
33000	34000	是
34000	35000	是
35000	36000	是
36000	37000	是
37000	38000	是
38000	39000	是
39000	40000	是
40000	41000	是
41000	42000	是
42000	43000	是
43000	44000	是
44000	45000	是
45000	46000	是
46000	47000	是
47000	48000	是
48000	49000	是
49000	50000	是
50000	51000	是
51000	52000	是
52000	53000	是
53000	54000	是
54000	55000	是
55000	56000	是
56000	57000	是
57000	58000	是
58000	59000	是
59000	60000	是
60000	61000	是
61000	62000	是
62000	63000	是
63000	64000	是
64000	65000	是
65000	66000	是
66000	67000	是
67000	68000	是
68000	69000	是
69000	70000	是
70000	71000	是
71000	72000	是
72000	73000	是
73000	74000	是
74000	75000	是
75000	76000	是
76000	77000	是
77000	78000	是
78000	79000	是
79020	80120	五
81000	82000	尊敬的战友们好
82000	83000	战友们好
83000	84000	战友们好
84000	85000	今天4月21号
85000	89000	4月21号刚才是没开声音,现在是有声音了吧?
89500	92500	有声音了啊,有声音了吧?
93000	94000	好了好了啊
95000	97000	兄弟姐妹们大家好,大家好啊
97000	102000	咱们是这个突然直播,突然直播,不是紧急直播啊
102500	106000	这个上午的时候呢,很多战友发信息啊
106000	109000	说七哥你要录个小视频啊,你还没录视频呢
109000	112000	实际我录了,录了大概十分钟
112000	115000	结果你七嫂找我吃饭,死都一叫唤
115000	117000	不是咋回事,等我再回来小视频没了
117000	121000	我就算了吧,我说今天到办公室啊
121000	123000	在开会前我们简单的直播一下
124000	126000	我们有几个问题啊,兄弟姐妹们啊
126000	130000	首先第一个,兄弟姐妹们记住啊,广泛传播
130000	133000	北京啊,北京的战友们一定要注意啊
133000	139000	我们得到确切的情报在五环,七环,还有六环和七环之间
139000	142000	五环和六环没有啊,五环这个里边
142000	148000	六环和七环之间大量的武警已经布置进去
148000	152000	那么在北京大概十几个点,突然来了很多武警
152000	155000	应该是准备北京大隔离的前奏
155000	158000	北京的战友要做好准备啊,要做好准备
158000	162000	这是一个今天要突然直播的一个消息
162000	168000	第二个上海要解封,但解封以后听说政治上要算账
168000	171000	要在媒体上找出所谓的反党的
171000	177000	有其他用心的,给海外媒体递刀子的人要清算
178000	181000	上海的兄弟姐妹们,你们要注意了
181000	184000	这个消息很准确啊
184000	188000	而且目前所谓的净网、搜网
188000	191000	跟咱们419的大直播是有关系的
191000	195000	因为国内很多平台呢,有很多是关于419的消息
195000	198000	看来419直播真的是影响巨大
200000	203000	另外一个呢,就兄弟姐妹们,目前看来哈尔滨啊
203000	207000	大连啊,青岛啊,海口啊,接下去还会更糟糕
208000	210000	大家要做好心理准备
210000	214000	那么另外一个,我觉得今天给台湾的
214000	217000	台湾的兄弟姐妹们再给说一下啊
218000	221000	我这爆大料了,爆大料了
221000	223000	你们做好准备啊,很吓人啊
223000	228000	这个4月26号Nancy Pelosi访问台湾
232000	235000	4月26号Nancy Pelosi访问台湾
235000	238000	这回我估计不会再有任何阳性的借口
238000	240000	不去台湾了,我估计不可能了
241000	245000	听说,听说就在几个小时前
245000	248000	紧急开会,紧急开会
248000	251000	而且向美方表达所谓的严重关切
252000	256000	美方非常的直接的、严厉的
256000	259000	我就觉得那个画面特别难看,小白人
259000	261000	白不死灵,你看这个多好看
261000	263000	那啥意思啊
265000	267000	你这整得我们一点自信都没了
267000	269000	整得我们都不敢看了
270000	273000	4月26号,对了,你看看那多好看
273000	275000	刚才木兰人家不下线
275000	278000	人家就那个清楚,你看你这玩意啥意思
281000	283000	你整得我们都像病人一样
283000	285000	看著咋播呀
285000	287000	4月26号台湾的战友
287000	291000	大牛、巴黎、郑青
291000	293000	还有我们的伏击
293000	295000	还有我们的艾米利
295000	299000	兄弟姐妹们,台湾4月26号很紧张
301000	304000	4月26号到4月30号这几天
304000	306000	我觉得到5月6号之前
306000	308000	台湾很严肃
308000	311000	就是刚才就几个小时前
311000	313000	美国的朋友说
313000	315000	中共向他们表达严重关切
315000	318000	人家美方说你关切个蛋呢你关切
318000	320000	原话就是你关切啥
320000	323000	你们在俄罗斯的事上你关切啥
323000	324000	你关切什么
324000	326000	美方的关切你回复了吗
326000	327000	现在你关切了
327000	329000	那利普洛基是议长
329000	331000	我们管不了他吗
331000	332000	管不了
332000	334000	美国国务院听说很严厉
334000	336000	然后中方料先狠话
336000	341000	4月26号那将是个分水岭的日子
343000	344000	兄弟姐妹们
344000	346000	七哥为啥现在大直播
346000	348000	做好准备吧
348000	350000	4月26号到5月6号
350000	352000	我认为这是个大日子
352000	355000	我很不幸的刚才听了很多战友说
355000	356000	七哥
356000	358000	包括还有我家的人
358000	360000	听说也跟他一起
360000	363000	炒了什么连华清军的股
363000	366000	95%赔了
366000	369000	我真的头疼
