start	end	text
0	7000	我想吃的太小了
7000	11000	吃吧
11000	20000	小V
20000	21000	V来了
21000	23000	肉长两上去了
23000	26000	福利他俩你看
27000	32000	我发到你那个Map上了
32000	36000	就在那个那里面进行设计
37000	38000	哎
42000	44000	你推出去的吗
44000	48000	推出去的
54000	56000	你找个地方
56000	58000	找个独立的地方吃点啊
58000	61000	你千万别在别的旁边房子
66000	77000	这是这是哪家人这是你们找的
77000	79000	希腊的
79000	87000	我觉得一点不好吃啊
87000	89000	就简单一种吧
89000	91000	不好吃
91000	99000	我喜欢吃肉
99000	102000	不太好吃
102000	106000	还有啥羊肉吗
106000	108000	你给我弄点吧
108000	109000	这点不过瘾
110000	114000	羊肉有点不香
121000	122000	不好吃啊
122000	124000	今天你点的饭一半啊
124000	126000	不过瘾
132000	133000	哎
133000	134000	已经吃掉了啊
134000	136000	哇塞
136000	138000	可以你看
138000	141000	你看这边
141000	144000	欧洲万一
144000	145000	不好意思啊
145000	146000	兄弟啊
146000	147000	追随机哥
147000	149000	不好意思不好意思
149000	150000	我们尝尝肉
150000	151000	我们来试镜头啊
151000	153000	你看这个iPad触及效果
153000	154000	你看咱俩这个
154000	155000	还有人的眼色啊
155000	161000	是吧
161000	163000	跟我们电视上的一样
163000	166000	你那是好
166000	167000	屏风兄
167000	168000	TOOPAC
168000	170000	随机自夹
170000	171000	微蓝
171000	172000	小福利
172000	173000	你们先说吧
173000	176000	今天你们有啥想问的
176000	178000	咱是今天啊
178000	179000	今天啊
179000	181000	今天是我们是乱聊
181000	182000	乱聊
182000	183000	乱说
183000	186000	因为我们和常大哥的准备6月4号
186000	189000	咱们的两周年纪念啊
189000	190000	建国两周年
190000	191000	所以说我们在这块呢
191000	192000	就是试试啊
192000	194000	这是个不同的场景
194000	196000	今天有我们的这个
196000	198000	新一代的豹二代啊
198000	200000	这个摄像师设计啊
200000	201000	啊
201000	203000	赶紧解成
203000	204000	小福利
204000	205000	你刚才那一盆缠得我
205000	207000	已经受不了了
207000	208000	行啊
208000	209000	现在开始吧
209000	210000	屏风大哥
210000	211000	神奇自侠大哥
211000	212000	TOOPAC大哥
212000	213000	福利
213000	214000	微蓝
214000	215000	不好意思
215000	216000	那我
216000	219000	那我先请教TOOPAC一个问题吧
219000	220000	那个
220000	223000	这个这个官司的进展方面说一下嘛
223000	224000	是
224000	226000	撤诉是怎么回事
226000	227000	啊
227000	229000	方面透露一些这个打光
229000	230000	撤诉就是
230000	231000	就是
231000	233000	撤诉就是因为咱们不破产了嘛
233000	234000	破产不了了
234000	236000	所以说就撤诉了
236000	237000	因为
237000	239000	你要这个破产要花好多钱啊
239000	241000	人家这个
241000	242000	儿子还有家族啊
242000	244000	人家借很多钱
244000	245000	人家现在
245000	246000	就一借钱的时候
246000	247000	反而出现麻烦了
247000	248000	所以人家不借了
248000	249000	不借了
249000	250000	不借了
250000	251000	就破不了产了
251000	252000	就不破吧
252000	253000	那咋办
253000	254000	反正我这饭钱不是我的
254000	256000	都常常说话的
257000	258000	挺好
258000	259000	现在还很难说
259000	261000	以后你慢慢就懂了
263000	264000	好的 谢谢
264000	265000	屏风兄
265000	266000	你知道中国有句话啊
266000	268000	水来降党
270000	271000	冰来降党
271000	272000	水来土烟
272000	274000	第三句话是什么意思
275000	276000	对
276000	277000	反正人家出什么招
277000	279000	我们硬什么招就是了
280000	281000	共产党出什么招
281000	282000	我们不能对付
282000	283000	就这意思
284000	285000	你想想
285000	286000	对任何人来讲
286000	288000	破产都是个灾难性事件
288000	289000	但是七哥一身灭共
289000	291000	一心灭共
291000	292000	所以说
292000	294000	任何共产党的发动的
294000	295000	所谓抄袭战
295000	296000	对我都不灵
296000	297000	都不灵
297000	299000	因为我没有欲望了
299000	301000	没有人可以制约我
301000	302000	只要我不犯法
302000	304000	就像那个Ellen Musk
305000	306000	是吧
306000	308000	你在共产党那开的工厂
308000	310000	你想玩推特
310000	311000	那共产党能愿意吗
311000	312000	是吧
312000	313000	爱黑力量能愿意吗
313000	315000	你受人家
315000	316000	是不是
316000	318000	你吃人家你喝人家的
318000	319000	是吧
319000	320000	你受人家把控
320000	321000	那你怎么行啊
321000	322000	是吧
322000	323000	所以说他搞不成
323000	324000	必须让他离开
325000	326000	对
326000	328000	七哥这叫做无欲则刚
328000	329000	对吧
329000	330000	对啊
331000	333000	反正是欲坏人啊
333000	335000	越欲坏人他越强
336000	338000	坏人越多咱越强啊
339000	340000	太棒了
340000	341000	这就是咱每次用
341000	343000	七哥用亲身
344000	346000	行动证明给你们看
347000	348000	那你说那个
348000	349000	非常感谢
349000	350000	谢谢
350000	351000	下一位
352000	353000	你刚才的钱
353000	355000	我不是就催两个星期之前吗
355000	357000	我们收到很多信息就觉得
357000	359000	佛拜德你先问吧
359000	361000	佛拜德他谈成了
361000	363000	你会不会觉得有可能谈不成
363000	365000	那个时候他也觉得他可以谈成
365000	366000	他觉得他能谈成
366000	367000	绝对的
367000	368000	这对不
368000	369000	你看啊
369000	372000	我今天下午这个开两个会
373000	374000	其中他们说我谈的观点
374000	375000	我告诉大家
375000	377000	你看大家没有注意到
378000	380000	我七哥给你的观点
380000	381000	你很简单啊
381000	383000	就刚才他到底能不能认为成
383000	385000	他一定想弄成的
385000	387000	因为对待艾勒马斯克来讲
387000	388000	现在他想去买这个推特
388000	390000	推特是他的一生中的
390000	391000	最重要的是赌注
393000	394000	这不是搞企业
394000	396000	企业成功失败赔钱都正常
396000	398000	但你要买推特这件事情
398000	400000	涉及到美国左派和右派
401000	403000	你涉及到共产党和你的合作
403000	405000	你涉及到你对媒体的态度
405000	406000	他还没去呢
406000	409000	推特里面的百分之九十人
409000	410000	就开始害怕他去
411000	412000	人家准备要离开
412000	414000	和准备好艾勒马斯克来
414000	415000	对他的威胁
416000	419000	这真的是鸡飞狗跳啊
420000	421000	然后他还没来呢
421000	423000	董事会开始里边开始吵起来了
423000	424000	他还没来呢
424000	426000	共产党和美国两派就掐起来了
426000	428000	他是个政治
429000	431000	这个时候你就想想啊
431000	432000	我就跟他比喻
432000	434000	就像一个公主
434000	435000	是吧
435000	437000	一个漂亮的公主
437000	438000	突然来了
438000	439000	说谁呀
439000	440000	路大脑袋要跟他求婚
440000	441000	哇塞
441000	442000	这公主一下逃了
443000	444000	是吧
444000	446000	这个公主被路大脑袋求婚
446000	447000	还差点结婚
447000	448000	下回再一起
448000	449000	这俩人多好看
449000	450000	你看看
450000	451000	威蓝和真的是
451000	452000	和这个
452000	453000	你看这小福利大人穿着
453000	454000	真好看
454000	455000	真好看
455000	456000	哎这太好了
456000	457000	哎呦这个好
458000	459000	没有牛肉啊
460000	461000	我上回就跟你们一起
461000	462000	我不知道就上一次
462000	463000	就上上次的时候
463000	465000	我在那不吃了几块牛肉吗
466000	468000	我回去以后吐了十几次
469000	471000	你看这就是一个信仰的力量
472000	473000	实际上我没有任何
473000	474000	你发了誓你就不能吃
475000	476000	所以说大家看到啊
476000	478000	一个公主被路大脑袋求过婚
478000	479000	他完了吧
479000	480000	如果这个公主
480000	482000	被比尔盖斯求过婚
482000	483000	大家都等着
483000	485000	哎呀这个嫁妆不好
485000	487000	比尔盖斯走了
488000	489000	路大脑袋来了
489000	490000	或者下一个
490000	492000	什么鸡腿盘来了
492000	493000	这个公主就嫁不出去了
494000	495000	因为谁都想着
495000	497000	都知道这公主完蛋了
498000	500000	不管是王子求过婚
500000	502000	还是说路大脑袋这种
502000	503000	垃圾求过婚
503000	504000	对这个公主来讲
504000	505000	一意深敬悔
507000	508000	大家意识到了吧
508000	509000	平风兄
509000	510000	你们服吧
510000	511000	这观点
511000	512000	第二个
512000	513000	兄弟姐妹们
513000	514000	第二观点还是啥
514000	515000	你知道吗
515000	516000	对待推特
516000	517000	最大的伤害是什么
518000	519000	咱新中国联邦现在
519000	520000	最大的伤害是稳定
521000	522000	咱们这人都很稳定
522000	523000	从开始爆料到今天
523000	525000	几乎九十以上的人
525000	526000	都是一直跟着的
527000	528000	可以说九十九以上
529000	530000	你对待推特来讲
530000	532000	人家七千七百个员工
532000	533000	是百分之五十到六十
533000	534000	是老员工啊
534000	535000	这在美国这儿
535000	536000	很少这样企业的
537000	539000	结果这一次完了
539000	541000	大家都没有安全感了
541000	543000	说下一个艾勒马斯克是谁呢
544000	545000	想过这个问题吧
547000	548000	下一个艾勒马斯克是谁
548000	549000	一定会有
550000	551000	这回有了艾勒马斯克
551000	552000	你说会发生什么事
552000	553000	兄弟姐妹们
553000	555000	会有无数个艾勒马斯克要来玩
556000	558000	我发现跟这个公主玩一次
558000	559000	她出名了
559000	560000	引起关注
560000	562000	我也去收购这个推特去
563000	564000	谁该来了
564000	565000	什么沈南鹏啊
566000	567000	什么马云的
567000	569000	马毛毛李毛毛啊
569000	570000	都想来尝试
570000	571000	玩这个公主
571000	572000	这个公主就成了玩物了
574000	575000	所有的推特的团队
575000	577000	就进入过山车了
577000	578000	然后股价
578000	579000	你想想
579000	580000	哪个公司享受这个股价
580000	581000	一买涨二三十
581000	583000	一跌跌二三十
583000	584000	你还活不活了呀
585000	586000	就完了
586000	587000	推特就被她玩死了
587000	588000	然后团队不稳定
588000	589000	技术不稳定
590000	591000	然后这个公主被完成了
591000	593000	整个小姐了
594000	595000	连小三都不识
595000	596000	因为啥
596000	597000	你没有任何人
597000	599000	再觉得你有安全感
599000	600000	内部和外部
601000	603000	所以艾勒马斯克
603000	604000	就把推特给杀了
605000	606000	随着我
606000	607000	要一个投资者开会的时候
607000	608000	他们说
608000	609000	啊 盖特完了
610000	611000	我说你们不懂
611000	612000	这是盖特最大的机会
613000	614000	现在你们意识到了吧
614000	615000	七哥一生
615000	617000	在投资战场上
617000	618000	没有失败过
619000	620000	从来没有过
622000	623000	咋样
623000	624000	牛
624000	626000	但是我觉得那个时候
626000	627000	你说这个
627000	628000	因为他公开说的
629000	630000	所以他肯定弄不成
631000	634000	这个我觉得太豪强了
634000	635000	不是
635000	636000	这个再继续两个判断
636000	637000	兄弟
638000	639000	你记住
639000	640000	这个世界判断的事情
640000	641000	就两个东西
641000	642000	你就把这个判断
642000	643000	就把这个判断
643000	644000	就把这个判断
644000	645000	就把这个判断
645000	646000	就把这个判断
646000	647000	就把这个判断
647000	648000	就把这个判断
648000	649000	就把这个判断
649000	650000	就把这个判断
650000	651000	就把这个判断
651000	652000	就把这个判断
652000	653000	这个世界判断的事情
653000	654000	就两个东西
