start	end	text
0	10000	- 但是你知道,我第一次看到这个,我觉得中国人,
10000	13000	- 比较50%的孩子不喜欢这个。
13000	14000	- 或者你知道。
30000	35000	- 这样 来 看看ô sunlight
37340	40540	- 是,这是第一次看它的资料,
40540	40600	- 是,这是第一次看它的资料,
40600	43200	- 是,是,这是第一次看它的资料,
43200	44640	- 他的 tidal Racing 网上就有这个。
44640	45640	- 对。
45640	46640	- 你看这个诶。
46640	48640	- 嗯。
48640	50240	- 哇。
50240	52240	- 你看,到头AdIns 有很多,
52240	55000	- 我的天啊。
55000	58700	- 看 screen看 formul 好了。
58700	59700	- 过來說看SUR。
59700	89700	I want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I don't want this color,I
89700	95080	don't want this color,I don't want this color,I don't want this color,I don't want this color,I
105080	108640	don't want this color,I don't want this color,I don't want this color,I don't want this
108920	114180	color,I don't want this color,I don't want this color,I don't want this color,I don't
114180	117180	给人们监测一下数据
117180	120180	早上早上
130180	132180	来了来了
132180	133180	朋友们
133180	134180	哈哈哈
141180	143180	你看现在没有任何吧
143180	144180	哎
144180	145180	让他
145180	146180	谢谢
146180	147180	明天
147180	148180	明天
148180	150180	哈哈哈
153180	154180	那个什么
154180	155180	那个
155180	156180	对啊
156180	157180	就这么来
157180	158180	就播播他们看数据来
158180	159180	看个电脑数据来
164180	167180	现在是大陆时间7点钟
168180	170180	现在5点多
170180	171180	5点多
171180	172180	所以现在你看外边
172180	173180	现在是很清楚的
173180	174180	你看
174180	175180	很漂亮吧
176180	178180	现在就是你出去的效果
178180	179180	现在
180180	181180	这是为什么
181180	182180	他们放到盖特上
182180	184180	为什么就就不一样呢
194180	195180	我
196180	197180	我不知道压缩
197180	198180	你就连压缩都不懂吗
200180	202180	人家YouTube能压缩吗
202180	203180	人家微标没压缩吗
203180	205180	人家压缩咋那样啊
205180	206180	就是你盖特技术不行吧
209180	210180	对啊
213180	214180	那你看
214180	215180	这个
215180	216180	你过来你看那iPad
216180	217180	你看这个感觉
217180	219180	这就是要真实就是
219180	220180	放这
220180	221180	对啊
221180	223180	所以你跟黄啥关系跟你这
226180	227180	对啊
227180	228180	那没有任何黄
228180	229180	这就是一个
229180	231180	已经能出去网络效果了吧
231180	232180	对对对
232180	233180	那就是现在是盖特上去
233180	234180	有问题吗
235180	237180	你盖特压缩技术有问题吗
237180	238180	这就是盖特上的吗
238180	240180	这不已经是直播了吗
241180	242180	我说你这个
242180	244180	孩子你的脑子就倔
244180	245180	真是
245180	247180	我说是你直播完上船上啊
247180	248180	兄弟啊
248180	250180	你这每次直播中很好
251180	253180	你上船完很差
253180	255180	这真就像娶了个媳妇似的
255180	256180	这个平常都很好
256180	257180	早上起来
257180	258180	一起床完了
258180	259180	变了个人了
260180	261180	你能受得了吗
261180	262180	是不是在晚上
262180	263180	灯光打的
263180	264180	这么忙
264180	265180	公共房很漂亮
265180	266180	是不是啊
266180	267180	太美了
267180	268180	早上一见太阳
268180	269180	变了
269180	270180	是吧
271180	272180	关了灯都一样
272180	273180	关了灯都一样
273180	274180	是吧
274180	275180	你现在是亮灯吗
275180	276180	你这什么情况这是
276180	277180	你看效果很好
277180	278180	战友们都说很好
279180	281180	替哥黑长到白
281180	282180	绝对是
282180	284180	俺俩是两大周的
285180	287180	我现在是太白了
287180	288180	很多这个国内聊天
288180	289180	我说替哥
289180	290180	你现在怎么那么白了呀
291180	293180	我时日我比他黑的多
294180	295180	因为我最近没晒太阳
302180	303180	今天抬高一点
303180	304180	感觉好像是
304180	305180	今天抬高一点
305180	306180	感觉不一样
306180	307180	完全不一样
307180	308180	是吧
308180	309180	等我们坐高了以后
309180	310180	对呀
310180	311180	所以说
311180	312180	你说啊干
312180	313180	你们就这人播摄影
313180	314180	现在抬高了
314180	315180	不一样啊
316180	317180	你看这个高一口
317180	318180	就被坐低了
319180	320180	完全不一样的效果
322180	323180	你看啊
323180	324180	这就是你们的设计啊
325180	326180	你们老拍电影了
326180	327180	你把我们拍成俘虏了
327180	328180	也是拍电影了
330180	331180	本来我们俩个就不高
331180	332180	你们再往矮的整
332180	333180	我们俩就成了猪
334180	335180	猪卢了
335180	336180	这就是你们想要的效果
336180	337180	现在这一看
337180	338180	我们俩很高大嘛
338180	339180	是不是
340180	341180	我们比窗户台高那么多
342180	343180	是不是
343180	344180	昨天我们的窗户台以下
345180	346180	行了
346180	347180	拜托了兄弟
347180	348180	你们挺会整啊
350180	352180	你看出他们对我俩的仇恨有多深
361180	362180	从阿甘来还不错
362180	363180	还改变了很多
364180	366180	阿甘这个简直是值得改变
366180	367180	改变很多
367180	368180	值得改变
368180	370180	就这二十几块钱的膜一贴
370180	371180	就是不一样
371180	372180	对啊
373180	374180	还有个就是现在这个现场
374180	375180	感觉就不一样了
375180	376180	这个灯光
376180	377180	它就是不是咱们胡扯的了
378180	380180	咱就差拿一电灯泡
380180	381180	搁到脸上去了
381180	382180	咱原来
383180	384180	就是个笑
384180	385180	这啥玩意啊
386180	387180	这什么东西做的呀
387180	389180	现在你们是不管啥都整
389180	390180	我都不敢吃
390180	391180	说实在话
